snr_db,l_value,n_users,n_tx,mean_grid_channel_nmse_db,mean_source_alpha_channel_nmse_db,mean_source_alpha_gain_vs_grid_db,mean_bounded_refine_channel_nmse_db,mean_bounded_gain_vs_grid_db,mean_oracle_alpha_channel_nmse_db,mean_oracle_alpha_gain_vs_grid_db,mean_source_alpha_gap_vs_oracle_db,mean_oracle_alpha,mean_support_recall,mean_dominant_energy_recall,mean_delay_bin_rmse,mean_tx_bin_rmse
0.0,4.0,100.0,8.0,-2.3076558587359624,-3.2867274625742944,0.9790716038383315,-3.3938238338955475,1.0861679751595845,-3.49640933871495,1.1887534799789876,0.20968187614065598,0.8540000000000001,0.8425,0.4066453792734851,0.23726700079653618,0.46504888523829807
0.0,8.0,100.0,8.0,-4.083304265478113,-5.244821828329848,1.1615175628517356,-5.257792617946356,1.1744883524682441,-5.451094787728903,1.3677905222507898,0.20627295939905438,0.8059999999999999,0.84125,0.6025881936852141,0.4982725695276413,0.5162995719117535
0.0,16.0,100.0,8.0,-5.947883876458198,-7.310566115304715,1.3626822388465185,-7.222522561820312,1.274638685362115,-7.537659821328571,1.589775944870373,0.22709370602385423,0.706,0.8375,0.7769390674848441,1.9832683465083472,0.522337284855977
10.0,4.0,100.0,8.0,-2.430925467797399,-3.542358940282422,1.1114334724850221,-3.6499367235230706,1.2190112557256712,-3.750980437109287,1.3200549693118888,0.2086214968268668,0.8259999999999998,0.93,0.4164784962163796,0.08207106781186548,0.2513473755692403
10.0,8.0,100.0,8.0,-4.418496684949794,-5.738053562508521,1.3195568775587285,-5.740270648594267,1.321773963644472,-5.963861012486598,1.545364327536803,0.22580744997807436,0.7179999999999999,0.94,0.6165980239461013,0.1236163722690757,0.28704447715201725
10.0,16.0,100.0,8.0,-7.260492553490268,-9.038172345308682,1.7776797918184144,-8.788381037508334,1.5278884840180669,-9.287436220119586,2.026943666629318,0.24926387481090317,0.6880000000000002,0.945,0.8000833185521796,0.2647655853305102,0.28590176008661394
20.0,4.0,100.0,8.0,-2.444867902046496,-3.555489173031449,1.110621270984953,-3.6692367449937215,1.224368842947226,-3.7779109636368013,1.3330430615903055,0.22242179060535236,0.8539999999999998,0.985,0.4177550339303388,0.022071067811865474,0.06898979485566356
20.0,8.0,100.0,8.0,-4.456722367498934,-5.798353115210416,1.3416307477114842,-5.773266119997194,1.3165437524982608,-6.00105795199296,1.5443355844940276,0.20270483678254356,0.7519999999999999,0.98375,0.6184199609398551,0.026213203435596428,0.08255631169781612
20.0,16.0,100.0,8.0,-7.381107012442411,-9.260709237479842,1.8796022250374298,-9.043310577338564,1.6622035648961548,-9.512713336103552,2.13160632366114,0.25200409862370937,0.7040000000000001,0.98,0.8018826895747043,0.09870110207966803,0.12564184000019898
30.0,4.0,100.0,8.0,-2.4462998465267476,-3.5670498807037974,1.1207500341770507,-3.6791100157790253,1.232810169252278,-3.7915092806711415,1.345209434144395,0.2244593999673442,0.846,0.995,0.4178859775990862,0.0,0.02
30.0,8.0,100.0,8.0,-4.459536520451862,-5.798411224602151,1.3388747041502893,-5.776084077801969,1.3165475573501075,-6.001100118113272,1.5415635976614082,0.202688893511119,0.7239999999999998,0.99625,0.6185096788775136,0.008535533905932736,0.016730326074756156
30.0,16.0,100.0,8.0,-7.3939352294932155,-9.231349634856205,1.837414405362989,-8.985822417718476,1.5918871882252612,-9.461451810125805,2.0675165806325895,0.23010217526960056,0.67,0.994375,0.8020763501477047,0.021625703849682213,0.031786941605297166
