seed,snr_db,n_targets,sample_index,method,measurement_nmse_db,per_component_half_bin_hit,all_components_half_bin_hit,gate_pass,minimum_candidate_margin,boundary_saturation_rate,fft_support_ms,local_update_ms,grid_ls_ms,final_ls_ms,gate_decision_ms,wall_clock_ms
20260630,0.0,2,4,axiswise_quadratic_peak_joint_ls,-8.680382142376958,1.0,1,0,nan,nan,1.6677,1.6491,0.0,4.045,0.0,7.512099999999999
20260630,0.0,2,4,axiswise_candan_joint_ls,-39.526819952650094,1.0,1,0,nan,nan,1.6457,1.6506,0.0,3.8153,0.0,7.1437
20260630,0.0,2,4,residual_gated_candan_joint_ls,-39.526819952650094,1.0,1,1,nan,nan,1.6407,1.5983,3.8007,3.812,0.7297,11.679300000000001
20260630,0.0,2,5,cartesian_local_joint_ls,-14.001462986243403,1.0,1,0,0.03845584290565179,0.0,1.6707,0.5979,0.0,3.8671,0.0,6.1429
20260630,0.0,2,5,residual_gated_cartesian_local_joint_ls,-14.001462986243403,1.0,1,1,0.03845584290565179,0.0,1.7122,0.6528,4.0321,3.9504,0.7333,11.1204
20260630,0.0,2,5,grid_fft_topL_joint_ls,-4.243406962189445,1.0,1,0,nan,nan,1.6684,0.0,0.0,3.8357,0.0,5.495
20260630,0.0,2,5,axiswise_quadratic_peak_joint_ls,-4.819121105642971,1.0,1,0,nan,nan,1.7616,1.6086,0.0,3.9683,0.0,7.3565000000000005
20260630,0.0,2,5,axiswise_candan_joint_ls,-37.8250790148694,1.0,1,0,nan,nan,1.7307,1.5903,0.0,3.9583,0.0,7.2757000000000005
20260630,0.0,2,5,residual_gated_candan_joint_ls,-37.8250790148694,1.0,1,1,nan,nan,1.7117,1.6012,3.8741,3.8577,0.72,11.7752
20260630,0.0,2,5,one_step_fixed_support_newton_joint_ls,-6.051284914440048,1.0,1,0,nan,nan,1.8745,12.4469,0.0,3.9587,0.0,18.3021
20260630,0.0,2,6,residual_gated_cartesian_local_joint_ls,-12.9124740000898,1.0,1,1,0.0111002449150675,0.16666666666666666,1.7248,0.6374,3.8327,3.8591,0.7635,10.9778
20260630,0.0,2,6,grid_fft_topL_joint_ls,-6.9275559096645125,1.0,1,0,nan,nan,1.7771,0.0,0.0,4.0897,0.0,5.8436
20260630,0.0,2,6,axiswise_quadratic_peak_joint_ls,-7.495865062784502,1.0,1,0,nan,nan,1.6317,1.8654,0.0,4.0391,0.0,7.5362
20260630,0.0,2,6,axiswise_candan_joint_ls,-33.76049128358729,1.0,1,0,nan,nan,1.7339,1.6863,0.0,4.059,0.0,7.4782
20260630,0.0,2,6,residual_gated_candan_joint_ls,-33.76049128358729,1.0,1,1,nan,nan,1.6679,1.5832,3.9448,3.9126,0.7327,11.9851
20260630,0.0,2,6,one_step_fixed_support_newton_joint_ls,-9.543031907073772,1.0,1,0,nan,nan,1.7145,12.5729,0.0,3.9727,0.0,18.3301
20260630,0.0,2,6,cartesian_local_joint_ls,-12.9124740000898,1.0,1,0,0.0111002449150675,0.16666666666666666,1.7115,0.6047,0.0,4.0252,0.0,6.2697
20260630,0.0,2,7,grid_fft_topL_joint_ls,-3.6355574754597524,1.0,1,0,nan,nan,1.6554,0.0,0.0,3.9765,0.0,5.7012
20260630,0.0,2,7,axiswise_quadratic_peak_joint_ls,-4.35045897622088,1.0,1,0,nan,nan,1.6692,1.5803,0.0,3.9441,0.0,7.220000000000001
20260630,0.0,2,7,axiswise_candan_joint_ls,-36.72124758892087,1.0,1,0,nan,nan,1.6376,1.5462,0.0,4.0894,0.0,7.289000000000001
20260630,0.0,2,7,residual_gated_candan_joint_ls,-36.72124758892087,1.0,1,1,nan,nan,1.6782,1.6823,3.9506,4.0237,0.7343,12.0384
20260630,0.0,2,7,one_step_fixed_support_newton_joint_ls,-3.773404582892632,1.0,1,0,nan,nan,1.676,12.4059,0.0,4.0268,0.0,18.0177
20260630,0.0,2,7,cartesian_local_joint_ls,-13.38099066758893,1.0,1,0,0.04258372036269985,0.0,1.6635,0.5927,0.0,3.9069,0.0,6.1631
20260630,0.0,2,7,residual_gated_cartesian_local_joint_ls,-13.38099066758893,1.0,1,1,0.04258372036269985,0.0,1.6517,0.6191,3.8622,3.8254,0.7201,10.702599999999999
20260630,0.0,2,8,axiswise_quadratic_peak_joint_ls,-5.211149680155932,1.0,1,0,nan,nan,1.6751,1.6112,0.0,4.0978,0.0,7.423500000000001
20260630,0.0,2,8,axiswise_candan_joint_ls,-38.78615974776649,1.0,1,0,nan,nan,1.6465,1.6262,0.0,4.1102,0.0,7.3947
20260630,0.0,2,8,residual_gated_candan_joint_ls,-38.78615974776649,1.0,1,1,nan,nan,1.7659,1.655,3.9915,3.7959,0.7316,11.9668
20260630,0.0,2,8,one_step_fixed_support_newton_joint_ls,-10.49648205117904,1.0,1,0,nan,nan,1.6788,10.8262,0.0,3.8821,0.0,16.2952
20260630,0.0,2,8,cartesian_local_joint_ls,-12.994799827616552,1.0,1,0,0.012140071859434862,0.0,1.6974,0.6118,0.0,3.9593,0.0,6.2537
20260630,0.0,2,8,residual_gated_cartesian_local_joint_ls,-12.994799827616552,1.0,1,1,0.012140071859434862,0.0,1.6507,0.6082,3.8572,3.8343,0.7294,10.6519
20260630,0.0,2,8,grid_fft_topL_joint_ls,-4.47009312678013,1.0,1,0,nan,nan,1.6689,0.0,0.0,3.8243,0.0,5.4932
20260630,0.0,2,9,axiswise_candan_joint_ls,-39.506067043931296,1.0,1,0,nan,nan,1.684,1.5514,0.0,3.9854,0.0,7.1947
20260630,0.0,2,9,residual_gated_candan_joint_ls,-39.506067043931296,1.0,1,1,nan,nan,1.6818,1.6053,3.8505,3.8035,0.7738,11.7457
20260630,0.0,2,9,one_step_fixed_support_newton_joint_ls,-9.769135358080232,1.0,1,0,nan,nan,1.6424,10.7745,0.0,3.9306,0.0,16.4071
20260630,0.0,2,9,cartesian_local_joint_ls,-16.116462689999054,1.0,1,0,0.04943830134882833,0.0,1.702,0.5684,0.0,3.8704,0.0,6.2141
20260630,0.0,2,9,residual_gated_cartesian_local_joint_ls,-16.116462689999054,1.0,1,1,0.04943830134882833,0.0,1.7027,0.6468,3.9354,4.0671,0.7299,11.079
20260630,0.0,2,9,grid_fft_topL_joint_ls,-4.737063686944431,1.0,1,0,nan,nan,1.6992,0.0,0.0,4.3377,0.0,6.0647
20260630,0.0,2,9,axiswise_quadratic_peak_joint_ls,-5.483930591095487,1.0,1,0,nan,nan,1.6674,1.6916,0.0,4.0846,0.0,7.4395
20260630,0.0,2,10,residual_gated_candan_joint_ls,-40.562485838539494,1.0,1,1,nan,nan,1.682,1.7369,4.0323,4.0222,0.7608,12.268
20260630,0.0,2,10,one_step_fixed_support_newton_joint_ls,-7.67809025005746,1.0,1,0,nan,nan,1.645,10.7606,0.0,3.9516,0.0,16.3036
20260630,0.0,2,10,cartesian_local_joint_ls,-13.138935401753962,1.0,1,0,0.016368032088125213,0.0,1.6275,0.6775,0.0,3.9377,0.0,6.2834
