user_index,sample_index,snr_db,l_value,grid_channel_nmse_db,source_alpha_channel_nmse_db,source_alpha_gain_vs_grid_db,bounded_refine_channel_nmse_db,bounded_gain_vs_grid_db,oracle_alpha_channel_nmse_db,oracle_alpha_gain_vs_grid_db,source_alpha_gap_vs_oracle_db,oracle_alpha,support_recall,dominant_energy_recall,delay_bin_rmse,tx_bin_rmse,noise_variance,rx_x_m,rx_y_m,rx_z_m
31614.0,0.0,0.0,4.0,-2.1245867347804377,-5.657151113399435,3.5325643786189977,-5.069824166943989,2.9452374321635513,-5.809378638967467,3.6847919041870294,0.15222752556803165,0.8,0.75,0.40229431079541306,0.0,1.224744871391589,1.0000000000000002,266.4230041503906,331.97100830078125,2.0
63229.0,1.0,0.0,4.0,-2.810506614991108,-4.750221690340163,1.9397150753490546,-4.661714409551781,1.8512077945606729,-4.850970184502565,2.0404635695114566,0.10074849416240195,0.8,0.75,0.4909458165743348,0.0,1.224744871391589,0.9999999999999999,254.42300415039062,366.97100830078125,2.0
142265.0,2.0,0.0,4.0,-2.8758169485654426,-2.5382278302627954,-0.33758911830264715,-2.3173862088100723,-0.5584307397553703,-2.87581694856545,7.549516567451064e-15,0.3375891183026547,0.0,1.0,0.49457495379163774,0.0,0.0,1.0,278.4230041503906,454.1709899902344,2.0
173880.0,3.0,0.0,4.0,-1.6195720113884071,-2.553903228508169,0.9343312171197617,-2.57308580171144,0.9535137903230331,-2.6095121658052953,0.9899401544168882,0.05560893729712646,0.8,0.75,0.31556682654790613,0.5,1.0,1.0000000000000002,266.4230041503906,489.1709899902344,2.0
189687.0,4.0,0.0,4.0,-0.830757418872196,-1.048281605543261,0.2175241866710651,-1.0986394735162215,0.2678820546440255,-1.1052487326282168,0.27449131375602076,0.05696712708495566,1.2,0.5,0.1970656755109608,0.5,1.224744871391589,1.0,278.4230041503906,506.5710144042969,2.0
229205.0,5.0,0.0,4.0,-1.7603574605341952,-2.585885695238697,0.8255282347045019,-2.4503526967253113,0.6899952361911161,-2.597390781644025,0.8370333211098298,0.01150508640532788,0.6,0.75,0.3398110861975564,0.5,0.7071067811865476,0.9999999999999998,254.22300720214844,550.3709716796875,2.0
276627.0,6.0,0.0,4.0,-2.284415021243722,-2.9010232557075835,0.6166082344638615,-3.226721280131826,0.9423062588881042,-3.363973213062738,1.0795581918190162,0.46294995735515476,1.2,0.75,0.42258883216769155,0.5,0.5,0.9999999999999998,254.22300720214844,602.77099609375,2.0
292435.0,7.0,0.0,4.0,-7.194802663666778,-7.934671883337275,0.7398692196704975,-7.950030585656665,0.7552279219898876,-7.980699682847922,0.7858970191811441,0.046027799510646616,0.8,1.0,0.8147158716384385,0.0,0.0,0.9999999999999998,266.4230041503906,620.1710205078125,2.0
339856.0,8.0,0.0,4.0,-3.935341590585104,-3.3557948650806333,-0.5795467255044708,-2.918391893340702,-1.016949697244402,-3.9353415905850895,-1.4654943925052066e-14,0.5795467255044562,0.0,1.0,0.6024188632462698,0.0,0.0,1.0,266.2229919433594,672.5709838867188,2.0
371471.0,9.0,0.0,4.0,-1.803565497692906,-4.170908842435187,2.367343344742281,-4.495824525482643,2.6922590277897367,-4.495824525482643,2.6922590277897367,0.32491568304745577,1.0,1.0,0.35082333774268404,0.0,0.0,1.0,254.22300720214844,707.5709838867188,2.0
403086.0,10.0,0.0,4.0,-1.2862362847042035,-2.548359589660381,1.2621233049561775,-2.775405444525293,1.4891691598210897,-2.775405444525293,1.4891691598210897,0.22704585486491213,1.0,0.75,0.26135806160679864,0.0,0.7071067811865476,1.0000000000000004,278.4230041503906,742.3709716796875,2.0
410989.0,11.0,0.0,4.0,-1.759343212815627,-2.4989276650275687,0.7395844522119417,-2.3503506192330814,0.5910074064174544,-2.4900750962197,0.7307318834040728,-0.008852568807868888,0.6,1.0,0.34327163182017084,0.0,0.0,1.0,266.2229919433594,751.1710205078125,2.0
426797.0,12.0,0.0,4.0,-1.5845476945384853,-2.084729369232768,0.5001816746942829,-2.1002308377485184,0.5156831432100331,-2.119129740030588,0.5345820454921026,0.03440037079781977,0.8,0.75,0.3112351998751994,1.0,0.7071067811865476,1.0000000000000004,278.4230041503906,768.5709838867188,2.0
450508.0,13.0,0.0,4.0,-1.0954023161483804,-1.3187457601227692,0.22334344397438888,-1.3374363036441237,0.24203398749574334,-1.3374363036441237,0.24203398749574334,0.018690543521354464,1.0,0.75,0.22600994717042514,0.5,1.5,0.9999999999999997,278.4230041503906,794.77099609375,2.0
458411.0,14.0,0.0,4.0,-1.4672835272725118,-1.4683490648902378,0.0010655376177259868,-1.4156520899006093,-0.051631437371902456,-1.4847248111264033,0.017441283853891543,0.016375746236165556,0.4,0.75,0.29308499014980904,0.0,0.8660254037844386,0.9999999999999998,266.2229919433594,803.5709838867188,2.0
466315.0,15.0,0.0,4.0,-2.9654609418945643,-4.773425422510998,1.8079644806164339,-5.2722505926010665,2.306789650706502,-5.299298154346505,2.3338372124519404,0.5258727318355065,1.2,1.0,0.5007318183400294,0.0,0.0,0.9999999999999999,254.22300720214844,812.3709716796875,2.0
31614.0,0.0,0.0,8.0,-3.240210138555732,-6.05868027013564,2.818470131579908,-6.106952212996716,2.866742074440984,-6.292981064150086,3.0527709255943543,0.23430079401444637,0.8,0.75,0.5502060829551971,0.6123724356957945,1.0,1.0000000000000002,266.4230041503906,331.97100830078125,2.0
63229.0,1.0,0.0,8.0,-4.554535490575613,-5.428509671560745,0.8739741809851322,-5.329660309271372,0.7751248186957591,-5.440513244526883,0.8859777539512708,0.01200357296613852,0.8,0.875,0.6651023949947164,0.0,1.0606601717798212,0.9999999999999999,254.42300415039062,366.97100830078125,2.0
