seed,n_targets,sample_index,selected_threshold_db,gate_depth,gate_nmse_db,fixed_depth_nmse_db,gate_gap_vs_fixed_db,gate_depth_savings_percent
20260624.0,16.0,0.0,0.5,6.0,-15.370142286824017,-15.814934622465305,0.4447923356412886,25.0
20260624.0,16.0,1.0,0.5,7.0,-17.155011020258307,-17.30233593756333,0.14732491730502417,12.5
20260624.0,32.0,0.0,0.75,6.0,-16.248928368906682,-16.636873679298763,0.38794531039208024,25.0
20260624.0,32.0,1.0,0.75,5.0,-12.261828948237302,-12.67556424085443,0.4137352926171278,37.5
20260624.0,64.0,0.0,0.75,6.0,-14.826449978167505,-15.218984706597551,0.39253472843004644,25.0
20260624.0,64.0,1.0,0.75,6.0,-15.026692874185992,-15.293553255437569,0.2668603812515773,25.0
20260625.0,16.0,0.0,0.75,5.0,-13.422140996242058,-13.942252608591861,0.5201116123498029,37.5
20260625.0,16.0,1.0,0.75,5.0,-13.783263373501427,-14.359142826393946,0.5758794528925186,37.5
20260625.0,32.0,0.0,0.75,6.0,-16.682570319357335,-17.094767328508144,0.4121970091508089,25.0
20260625.0,32.0,1.0,0.75,6.0,-14.935741169983554,-15.229439538913816,0.29369836893026147,25.0
20260625.0,64.0,0.0,0.75,6.0,-14.432794803830348,-14.69262602336834,0.25983121953799326,25.0
20260625.0,64.0,1.0,0.75,6.0,-14.661390779586947,-14.91113270297721,0.24974192339026224,25.0
