seed,n_targets,selected_threshold_db,train_mean_depth_savings_percent,train_mean_nmse_gap_db,test_mean_depth,test_mean_depth_savings_percent,test_min_depth_savings_percent,test_mean_nmse_gap_db
20260624.0,16.0,0.5,37.5,0.47626279786933257,6.5,18.75,12.5,0.2960586264731564
20260624.0,32.0,0.75,31.25,0.4099881442065092,5.5,31.25,25.0,0.40084030150460404
20260624.0,64.0,0.75,31.25,0.43878093656083106,6.0,25.0,25.0,0.32969755484081187
20260625.0,16.0,0.75,31.25,0.34337258072459864,5.0,37.5,37.5,0.5479955326211607
20260625.0,32.0,0.75,25.0,0.4159059777213798,6.0,25.0,25.0,0.3529476890405352
20260625.0,64.0,0.75,31.25,-0.016597297997668292,6.0,25.0,25.0,0.25478657146412775
