n_targets,mean_depth_savings_percent,std_depth_savings_percent,min_depth_savings_percent,mean_nmse_gap_db,max_nmse_gap_db,n_seed_cells
16.0,28.125,13.258252147247767,18.75,0.42202707954715857,0.5479955326211607,2.0
32.0,28.125,4.419417382415922,25.0,0.3768939952725696,0.40084030150460404,2.0
64.0,25.0,0.0,25.0,0.2922420631524698,0.32969755484081187,2.0
