seed,n_targets,alpha,test_grid_nmse_db,test_torch_nmse_db,test_full_refine_nmse_db,test_gain_vs_grid_db,test_gap_vs_full_refine_db,n_test
20260624.0,2.0,0.6422042682600452,-5.897151180781892,-12.1279248262615,-13.120949646902217,6.2307736454796085,0.9930248206407164,30.0
20260624.0,4.0,0.6422042682600452,-5.712665445519707,-11.71063168976633,-12.70260641448198,5.997966244246624,0.9919747247156501,30.0
20260624.0,8.0,0.6422042682600452,-5.316894542206431,-11.084098851367818,-12.42309013366322,5.767204309161387,1.3389912822954013,30.0
20260625.0,2.0,0.6420764241909801,-5.43893732066712,-12.266659158393145,-14.231813679095808,6.827721837726025,1.9651545207026633,30.0
20260625.0,4.0,0.6420764241909801,-5.582426355229015,-11.320187366338283,-12.29220596758366,5.737761011109268,0.9720186012453773,30.0
20260625.0,8.0,0.6420764241909801,-5.395909357390624,-10.782258139463925,-11.981123541160267,5.386348782073301,1.1988654016963416,30.0
20260626.0,2.0,0.641611329350258,-5.70176041192255,-11.611760714949844,-13.236935188363985,5.910000303027294,1.6251744734141411,30.0
20260626.0,4.0,0.641611329350258,-5.36955189016042,-11.452398369775404,-12.927331814405042,6.082846479614984,1.474933444629638,30.0
20260626.0,8.0,0.641611329350258,-5.621263766401379,-11.062198628957551,-12.380342898852886,5.440934862556173,1.3181442698953347,30.0
20260627.0,2.0,0.6418668523715144,-5.240574758281938,-11.338695183911108,-13.039397323706003,6.09812042562917,1.7007021397948954,30.0
20260627.0,4.0,0.6418668523715144,-5.373492922906605,-11.22884392615352,-12.974629582170726,5.8553510032469145,1.7457856560172065,30.0
20260627.0,8.0,0.6418668523715144,-5.6574458389781315,-11.143537261066518,-12.168000119935801,5.4860914220883865,1.024462858869283,30.0
20260628.0,2.0,0.6417274922181747,-4.730699218325148,-10.5137083654262,-13.181284270164872,5.783009147101053,2.667575904738671,30.0
20260628.0,4.0,0.6417274922181747,-5.980056793230232,-12.05534181431847,-13.025024002463603,6.075285021088239,0.9696821881451321,30.0
20260628.0,8.0,0.6417274922181747,-5.760027493001476,-11.51502806724031,-12.623347182068063,5.755000574238834,1.1083191148277525,30.0
