n_targets,snr_db,mean_nmse_db,mean_support_recall,mean_crlb_proxy_db,mean_nmse_minus_crlb_proxy_db,mean_recovery_seconds
2.0,20.0,-66.29900811989795,1.0,-65.15449934959716,-1.1445087703007737,0.004186850000000006
4.0,20.0,-62.05214431093588,1.0,-62.14419939295737,0.09205508202149382,0.004067224999999998
8.0,20.0,-59.351447499468776,1.0,-59.13389943631754,-0.21754806315121833,0.004366666666666676
16.0,20.0,-56.38358258231815,1.0,-56.12359947967775,-0.25998310264040764,0.0047284749999999915
32.0,20.0,-53.10459303762778,1.0,-53.11329952303793,0.008706485410153064,0.004067241666666693
64.0,20.0,-49.89820217818138,1.0,-50.102999566398125,0.20479738821673976,0.003836108333333338
