profile,sigma_phi_degrees,iq_gain,iq_phase_degrees,coupling_rho,coupling_phi0_degrees,clean_trained_alpha,oracle_alpha,grid_nmse_db,clean_alpha_nmse_db,oracle_alpha_nmse_db,degradation_vs_clean_db,oracle_recovery_db,grid_gap_vs_clean_alpha_db,n_test
clean,0.0,1.0,0.0,0.0,0.0,0.7999999999999999,0.7999999999999999,-5.536128589779532,-12.464560329347119,-12.464560329347119,0.0,0.0,6.928431739567587,5.0
phase_only_2deg,2.0,1.0,0.0,0.0,0.0,0.7999999999999999,0.7999999999999999,-5.536122949194889,-12.464524131281113,-12.464524131281113,3.619806600596576e-05,0.0,6.928401182086224,5.0
iq_coupling_medium,0.0,1.05,3.0,0.2,5.0,0.7999999999999999,0.7999999999999999,-4.494429430498559,-8.020824984186326,-8.020824984186326,4.443735345160793,0.0,3.5263955536877676,5.0
combined_v23r,2.0,1.05,3.0,0.2,5.0,0.7999999999999999,0.7999999999999999,-4.4959031434493735,-8.025023236579253,-8.025023236579253,4.439537092767866,0.0,3.5291200931298796,5.0
combined_high,3.0,1.1,5.0,0.3,10.0,0.7999999999999999,0.7999999999999999,-3.429872345279983,-5.860911306292699,-5.860911306292699,6.60364902305442,0.0,2.4310389610127165,5.0
