user_index,sample_index,snr_db,l_value,grid_channel_nmse_db,source_alpha_channel_nmse_db,source_alpha_gain_vs_grid_db,bounded_refine_channel_nmse_db,bounded_gain_vs_grid_db,oracle_alpha_channel_nmse_db,oracle_alpha_gain_vs_grid_db,source_alpha_gap_vs_oracle_db,oracle_alpha,support_recall,dominant_energy_recall,delay_bin_rmse,tx_bin_rmse,noise_variance,rx_x_m,rx_y_m,rx_z_m
0.0,0.0,0.0,4.0,-1.573765744755999,-4.086873459452524,2.513107714696525,-5.309755411155273,3.7359896663992744,-5.309755411155273,3.7359896663992744,1.2228819517027496,1.0,0.75,0.31131721816148566,0.5,0.0,0.9999999999999998,242.42300415039062,297.1709899902344,2.0
1247.0,1.0,0.0,4.0,-1.1787597244773966,-1.4188095401229537,0.24004981564555705,-1.4065498503066305,0.22779012582923386,-1.4268952187135608,0.2481354942361642,0.00808567859060716,0.8,0.75,0.24197668898979402,1.5,1.224744871391589,1.0,274.62298583984375,298.3710021972656,2.0
2495.0,2.0,0.0,4.0,-1.1835044031133974,-1.8857671780797798,0.7022627749663823,-1.9017308214008752,0.7182264182874778,-1.9164454523347405,0.7329410492213431,0.030678274254960725,0.8,0.75,0.24406457557336508,0.5,1.118033988749895,1.0000000000000002,270.822998046875,299.77099609375,2.0
4991.0,3.0,0.0,4.0,-2.3519144977994975,-4.388973300069055,2.0370588022695575,-5.346940674297573,2.995026176498076,-5.701143460760828,3.3492289629613303,1.3121701606917728,1.2,1.0,0.42417433906896973,0.0,0.0,1.0000000000000002,263.2229919433594,302.5710144042969,2.0
11231.0,4.0,0.0,4.0,-3.8691468301881033,-5.434972600581936,1.565825770393833,-5.592469365256382,1.7233225350682786,-5.592469365256382,1.7233225350682786,0.15749676467444562,1.0,1.0,0.5973420065145684,0.0,0.0,1.0000000000000004,244.22300720214844,309.5710144042969,2.0
12479.0,5.0,0.0,4.0,-2.3945092326359325,-2.973744998543964,0.5792357659080314,-3.1426260542176685,0.748116821581736,-3.194831491742592,0.8003222591066597,0.22108649319862828,1.2,1.0,0.4317117726272255,0.0,0.0,1.0,276.62298583984375,310.77099609375,2.0
16223.0,6.0,0.0,4.0,-4.442042179377912,-6.22017136733819,1.7781291879602774,-5.738559120491454,1.2965169411135413,-6.191894752382614,1.749852573004702,-0.02827661495557532,0.6,1.0,0.6506331623906343,0.0,0.0,0.9999999999999999,265.2229919433594,314.97100830078125,2.0
17471.0,7.0,0.0,4.0,-1.0566902555169135,-1.662662200173316,0.6059719446564025,-1.8425879069217594,0.7858976514048459,-1.8425879069217594,0.7858976514048459,0.17992570674844344,1.0,0.5,0.22285794133574222,1.0,1.224744871391589,1.0,261.4230041503906,316.3710021972656,2.0
18719.0,8.0,0.0,4.0,-3.026410891238578,-3.6591602820468907,0.6327493908083128,-3.406769219942393,0.38035832870381503,-3.6616945553063864,0.6352836640678086,0.002534273259495734,0.6,0.75,0.5087502601712939,0.0,1.224744871391589,0.9999999999999999,257.62298583984375,317.77099609375,2.0
22463.0,9.0,0.0,4.0,-2.983109413219223,-4.08828904893404,1.1051796357148174,-3.9951725633261477,1.0120631501069246,-4.106541571352605,1.1234321581333822,0.018252522418564787,0.8,1.0,0.5045751439938159,0.0,0.0,1.0000000000000002,246.22300720214844,321.97100830078125,2.0
26206.0,10.0,0.0,4.0,-2.8599269847148796,-4.956514070785798,2.0965870860709184,-5.0535600032494985,2.193633018534619,-5.135755102815974,2.2758281181010944,0.17924103203017605,0.8,1.0,0.4932339324396168,0.0,0.0,0.9999999999999999,270.822998046875,325.97100830078125,2.0
31198.0,11.0,0.0,4.0,-1.8968463544129732,-4.540980677551754,2.6441343231387804,-4.301817680060031,2.404971325647058,-4.69077323991021,2.793926885497237,0.1497925623584564,0.8,0.75,0.35764243534906254,1.0,1.224744871391589,1.0,255.6230010986328,331.5710144042969,2.0
36190.0,12.0,0.0,4.0,-1.4817835916941737,-2.086602310134416,0.6048187184402423,-2.2129579760615163,0.7311743843673426,-2.2710733609484532,0.7892897692542795,0.18447105081403725,1.2,0.75,0.294380564163974,0.5,1.0,1.0,276.62298583984375,336.97100830078125,2.0
43678.0,13.0,0.0,4.0,-2.721887347982814,-4.907556357594698,2.1856690096118845,-5.330312112913762,2.608424764930948,-5.330312112913762,2.608424764930948,0.42275575531906373,1.0,1.0,0.4684394284415907,0.0,0.0,1.0000000000000002,253.822998046875,345.3710021972656,2.0
44926.0,14.0,0.0,4.0,-1.5649615407592758,-3.1468800098767953,1.5819184691175194,-3.174161302958516,1.60919976219924,-3.271094674945325,1.7061331341860493,0.12421466506852985,0.8,1.0,0.3115082070059099,0.0,0.0,1.0,250.0229949951172,346.77099609375,2.0
46173.0,15.0,0.0,4.0,-2.6568311539033695,-2.658327137559684,0.0014959836563144258,-2.4819182128554385,-0.1749129410479311,-2.715765402520896,0.058934248617526386,0.05743826496121196,0.4,0.75,0.4679937671965879,0.0,1.118033988749895,0.9999999999999999,246.0229949951172,348.1709899902344,2.0
53661.0,16.0,0.0,4.0,-3.266665934592588,-3.9425567986326664,0.6758908640400785,-3.7027899172221908,0.43612398262960284,-3.9481803659695553,0.6815144313769674,0.005623567336888957,0.6,1.0,0.5379909249646864,0.0,0.0,1.0000000000000004,259.4230041503906,356.3710021972656,2.0
61149.0,17.0,0.0,4.0,-3.523890175976323,-4.097576877827203,0.57368670185088,-4.146443293609118,0.622553117632795,-4.1472659748170155,0.6233757988406925,0.0496890969898125,1.2,1.0,0.5632204936597179,0.0,0.0,1.0,272.822998046875,364.5710144042969,2.0
68636.0,18.0,0.0,4.0,-2.3784775684131874,-3.398272263756612,1.0197946953434247,-3.46820502081165,1.0897274523984626,-3.4844499276747016,1.1059723592615143,0.08617766391808956,0.8,0.75,0.42823868337379617,0.0,1.224744871391589,1.0,249.822998046875,372.97100830078125,2.0
