seed,snr_db,n_targets,sample_index,method,measurement_nmse_db,per_component_half_bin_hit,gate_pass,ls_skipped,projection_delta,minimum_zeta,clipping_rate,fft_support_ms,local_update_ms,grid_path_ms,candan_ls_ms,gate_decision_ms,wall_clock_ms
20260630,0.0,2,7,axiswise_candan_joint_ls,-36.72124758892087,1.0,1,0,nan,0.8285790402905074,0.0,1.7553,1.6847,0.0,3.6053,0.0,7.114000000000001
20260630,0.0,2,7,legacy_explicit_residual_gate,-36.72124758892087,1.0,1,0,nan,0.8285790402905074,0.0,1.8862,1.7041,3.7451,3.7689,0.6256,12.066199999999998
20260630,0.0,2,7,projection_energy_gate,-36.72124758892087,1.0,1,0,0.21820700860381376,0.8285790402905074,0.0,2.0055,1.816,0.0,3.7631,0.103,7.7586
20260630,0.0,2,8,axiswise_candan_joint_ls,-38.78615974776649,1.0,1,0,nan,0.8215253717020105,0.0,1.9079,1.8021,0.0,3.9977,0.0,7.6739
20260630,0.0,2,8,legacy_explicit_residual_gate,-38.78615974776649,1.0,1,0,nan,0.8215253717020105,0.0,1.9921,1.8285,3.8151,3.9615,0.7026,12.341
20260630,0.0,2,8,projection_energy_gate,-38.78615974776649,1.0,1,0,0.17589542810445438,0.8215253717020105,0.0,1.996,1.8954,0.0,4.1371,0.0969,8.0823
20260630,0.0,2,8,stage1_projection_energy_gate,-38.78615974776649,1.0,1,0,0.17589542810445438,0.8215253717020105,0.0,1.856,1.8176,0.0,3.8948,0.0944,7.6462
20260630,0.0,2,9,legacy_explicit_residual_gate,-39.506067043931296,1.0,1,0,nan,0.8275941498221083,0.0,1.8879,1.7008,3.6369,3.6889,0.6253,11.546100000000001
20260630,0.0,2,9,projection_energy_gate,-39.506067043931296,1.0,1,0,0.1688222642728129,0.8275941498221083,0.0,1.8549,1.7662,0.0,3.7022,0.0849,7.519800000000001
20260630,0.0,2,9,stage1_projection_energy_gate,-39.506067043931296,1.0,1,0,0.1688222642728129,0.8275941498221083,0.0,1.937,1.7864,0.0,3.6837,0.0898,7.5194
20260630,0.0,2,9,axiswise_candan_joint_ls,-39.506067043931296,1.0,1,0,nan,0.8275941498221083,0.0,1.8245,1.7441,0.0,3.7063,0.0,7.206300000000001
20260630,0.0,2,10,projection_energy_gate,-40.562485838539494,1.0,1,0,0.14107212084592485,0.8158146444458783,0.0,1.8518,1.8195,0.0,3.7442,0.1105,7.5802000000000005
20260630,0.0,2,10,stage1_projection_energy_gate,-40.562485838539494,1.0,1,0,0.14107212084592485,0.8158146444458783,0.0,1.8366,1.8261,0.0,3.8411,0.1159,7.5157
20260630,0.0,2,10,axiswise_candan_joint_ls,-40.562485838539494,1.0,1,0,nan,0.8158146444458783,0.0,1.8569,1.8402,0.0,3.7682,0.0,7.4653
20260630,0.0,2,10,legacy_explicit_residual_gate,-40.562485838539494,1.0,1,0,nan,0.8158146444458783,0.0,1.9248,1.7154,3.6114,3.5395,0.62,11.415
20260630,0.0,2,11,stage1_projection_energy_gate,-41.05582383731631,1.0,1,0,0.10164639783598124,0.8520013449037936,0.0,1.8071,1.6681,0.0,3.6956,0.1052,7.4163
20260630,0.0,2,11,axiswise_candan_joint_ls,-41.05582383731631,1.0,1,0,nan,0.8520013449037936,0.0,1.8097,1.6606,0.0,3.7423,0.0,7.3704
20260630,0.0,2,11,legacy_explicit_residual_gate,-41.05582383731631,1.0,1,0,nan,0.8520013449037936,0.0,1.8978,1.7621,3.6804,3.5309,0.6479,11.7963
20260630,0.0,2,11,projection_energy_gate,-41.05582383731631,1.0,1,0,0.10164639783598124,0.8520013449037936,0.0,1.8196,1.7065,0.0,3.6382,0.0659,7.2499
20260630,0.0,2,12,axiswise_candan_joint_ls,-9.363254574709295,0.5,1,0,nan,0.8127177991264423,0.16666666666666666,1.7752,1.7881,0.0,3.6888,0.0,7.2521
20260630,0.0,2,12,legacy_explicit_residual_gate,-9.363254574709295,0.5,1,0,nan,0.8127177991264423,0.16666666666666666,1.8857,1.7506,3.7693,4.0109,0.7434,12.2989
20260630,0.0,2,12,projection_energy_gate,-9.363254574709295,0.5,1,0,0.0868967330888635,0.8127177991264423,0.16666666666666666,1.8967,2.013,0.0,3.966,0.1201,8.1306
20260630,0.0,2,12,stage1_projection_energy_gate,-9.363254574709295,0.5,1,0,0.0868967330888635,0.8127177991264423,0.16666666666666666,1.9363,1.7829,0.0,3.676,0.0884,7.6901
20260630,0.0,2,13,legacy_explicit_residual_gate,-38.02214437879914,1.0,1,0,nan,0.8282798178148374,0.0,1.9215,1.7759,3.7493,3.8036,0.6885,11.827
20260630,0.0,2,13,projection_energy_gate,-38.02214437879914,1.0,1,0,0.23006012595053563,0.8282798178148374,0.0,1.9619,1.814,0.0,4.0407,0.1176,7.8912
20260630,0.0,2,13,stage1_projection_energy_gate,-38.02214437879914,1.0,1,0,0.23006012595053563,0.8282798178148374,0.0,2.0567,2.1985,0.0,4.0684,0.1296,8.453199999999999
20260630,0.0,2,13,axiswise_candan_joint_ls,-38.02214437879914,1.0,1,0,nan,0.8282798178148374,0.0,2.1289,2.0336,0.0,4.1237,0.0,8.3155
20260630,0.0,2,14,projection_energy_gate,-37.33416636908063,1.0,1,0,0.17967436729201547,0.8272294744578013,0.0,1.9429,1.992,0.0,3.7673,0.0924,7.7501
20260630,0.0,2,14,stage1_projection_energy_gate,-37.33416636908063,1.0,1,0,0.17967436729201547,0.8272294744578013,0.0,1.9431,1.8896,0.0,3.7144,0.1106,7.7576
20260630,0.0,2,14,axiswise_candan_joint_ls,-37.33416636908063,1.0,1,0,nan,0.8272294744578013,0.0,1.8926,1.8639,0.0,3.9297,0.0,7.8093
20260630,0.0,2,14,legacy_explicit_residual_gate,-37.33416636908063,1.0,1,0,nan,0.8272294744578013,0.0,1.9354,1.766,3.6951,3.6401,0.6372,11.6286
20260630,0.0,2,15,stage1_projection_energy_gate,-8.282628197535168,0.5,1,0,0.07557842949399299,0.8253397490976522,0.16666666666666666,1.8288,1.7263,0.0,3.6781,0.0793,7.3378
20260630,0.0,2,15,axiswise_candan_joint_ls,-8.282628197535168,0.5,1,0,nan,0.8253397490976522,0.16666666666666666,1.9552,1.7551,0.0,3.6416,0.0,7.3105
20260630,0.0,2,15,legacy_explicit_residual_gate,-8.282628197535168,0.5,1,0,nan,0.8253397490976522,0.16666666666666666,1.9336,1.7199,3.7721,3.7711,0.6681,11.9739
20260630,0.0,2,15,projection_energy_gate,-8.282628197535168,0.5,1,0,0.07557842949399299,0.8253397490976522,0.16666666666666666,1.9229,1.7051,0.0,3.6956,0.1013,7.3989
20260630,0.0,2,16,axiswise_candan_joint_ls,-18.568220129684295,0.5,1,0,nan,0.8138991125213614,0.16666666666666666,1.8271,1.7434,0.0,3.7076,0.0,7.2607
20260630,0.0,2,16,legacy_explicit_residual_gate,-18.568220129684295,0.5,1,0,nan,0.8138991125213614,0.16666666666666666,1.8592,1.7207,3.7622,3.6827,0.6098,11.5914
20260630,0.0,2,16,projection_energy_gate,-18.568220129684295,0.5,1,0,0.2059864788026933,0.8138991125213614,0.16666666666666666,1.8525,1.7178,0.0,3.7103,0.0814,7.418200000000001
20260630,0.0,2,16,stage1_projection_energy_gate,-18.568220129684295,0.5,1,0,0.2059864788026933,0.8138991125213614,0.16666666666666666,1.8553,1.7537,0.0,3.7163,0.0826,7.424500000000001
20260630,0.0,2,17,legacy_explicit_residual_gate,-38.30848180253456,1.0,1,0,nan,0.8250160083073476,0.0,1.9657,1.7618,3.6441,3.6313,0.6746,11.7104
20260630,0.0,2,17,projection_energy_gate,-38.30848180253456,1.0,1,0,0.13107611306149666,0.8250160083073476,0.0,1.8199,1.6772,0.0,3.6033,0.0575,7.1519
20260630,0.0,2,17,stage1_projection_energy_gate,-38.30848180253456,1.0,1,0,0.13107611306149666,0.8250160083073476,0.0,1.8023,1.6902,0.0,3.5743,0.069,7.1438
20260630,0.0,2,17,axiswise_candan_joint_ls,-38.30848180253456,1.0,1,0,nan,0.8250160083073476,0.0,1.7989,1.6853,0.0,3.6987,0.0,7.2626
20260630,0.0,2,18,projection_energy_gate,-34.81791454635634,1.0,1,0,0.09256876566900808,0.8042686005038451,0.0,1.8126,1.7184,0.0,3.5832,0.0581,7.1579999999999995
20260630,0.0,2,18,stage1_projection_energy_gate,-34.81791454635634,1.0,1,0,0.09256876566900808,0.8042686005038451,0.0,1.8129,1.7062,0.0,3.6172,0.0692,7.1935
20260630,0.0,2,18,axiswise_candan_joint_ls,-34.81791454635634,1.0,1,0,nan,0.8042686005038451,0.0,1.9408,1.7817,0.0,3.689,0.0,7.402
20260630,0.0,2,18,legacy_explicit_residual_gate,-34.81791454635634,1.0,1,0,nan,0.8042686005038451,0.0,1.9904,1.8506,3.8848,3.9045,0.7188,12.3628
20260630,0.0,2,19,stage1_projection_energy_gate,-41.0542711494654,1.0,1,0,0.07264132446517413,0.8640508904711397,0.0,1.9398,1.8339,0.0,3.8961,0.1053,7.770700000000001
