method,scene_count,mean_measurement_nmse_db,measurement_nmse_ci95_low_db,measurement_nmse_ci95_high_db,mean_per_component_half_bin_hit,hit_ci95_low,hit_ci95_high,mean_gain_vs_grid_db
grid_fft_topL_joint_ls,1200,-3.599627652181919,-3.693098261818521,-3.506157042545317,0.5196875000000001,0.5067260444094064,0.5326489555905938,0.0
axiswise_quadratic_peak_joint_ls,1200,-5.028791827616177,-5.118798035772984,-4.938785619459371,0.5817708333333332,0.574760772389745,0.5887808942769215,1.4291641754342577
axiswise_candan_joint_ls,1200,-18.04527296883785,-18.591108340708274,-17.499437596967425,0.6521874999999999,0.6442354563390883,0.6601395436609115,14.445645316655925
one_step_fixed_support_newton_joint_ls,1200,-4.243295404977987,-4.366684669552421,-4.119906140403553,0.5211458333333334,0.5083696205574468,0.53392204610922,0.6436677527960672
cartesian_local_joint_ls,1200,-10.223156909488058,-10.48996459977342,-9.956349219202695,0.6525000000000001,0.6436046421005638,0.6613953578994364,6.623529257306136
residual_gated_cartesian_local_joint_ls,1200,-10.220172023228878,-10.486780249139422,-9.953563797318335,0.6525000000000001,0.6436046421005638,0.6613953578994364,6.620544371046958
