method,axis,offset_bucket,component_axis_count,mean_absolute_bin_error,half_bin_axis_hit_rate,candidate_axis_correctness
one_step_fixed_support_newton_joint_ls,delay,"[0.00,0.10)",1162,0.9276339507543706,0.725473321858864,nan
one_step_fixed_support_newton_joint_ls,delay,"[0.10,0.20)",1171,1.1064663478906769,0.6976942783945346,nan
one_step_fixed_support_newton_joint_ls,delay,"[0.20,0.30)",1108,1.2299003974222666,0.6787003610108303,nan
one_step_fixed_support_newton_joint_ls,delay,"[0.30,0.40)",1136,1.4653996805571972,0.573943661971831,nan
one_step_fixed_support_newton_joint_ls,delay,"[0.40,0.49]",1023,1.6548640956979925,0.4222873900293255,nan
one_step_fixed_support_newton_joint_ls,doppler,"[0.00,0.10)",1164,2.146130264654598,0.6881443298969072,nan
one_step_fixed_support_newton_joint_ls,doppler,"[0.10,0.20)",1069,2.1252991731247275,0.6884939195509823,nan
one_step_fixed_support_newton_joint_ls,doppler,"[0.20,0.30)",1133,2.5984956130153543,0.6063548102383054,nan
one_step_fixed_support_newton_joint_ls,doppler,"[0.30,0.40)",1132,2.6883355142403587,0.5706713780918727,nan
one_step_fixed_support_newton_joint_ls,doppler,"[0.40,0.49]",1102,3.180541168400455,0.4482758620689655,nan
cartesian_local_joint_ls,angle,"[0.00,0.10)",1088,8.165802789075057,0.6691176470588235,0.6847426470588235
cartesian_local_joint_ls,angle,"[0.10,0.20)",1166,8.62296845755561,0.660377358490566,0.6715265866209262
cartesian_local_joint_ls,angle,"[0.20,0.30)",1144,9.301277356209225,0.6520979020979021,0.6678321678321678
cartesian_local_joint_ls,angle,"[0.30,0.40)",1196,9.826169481349899,0.6145484949832776,0.6262541806020067
cartesian_local_joint_ls,angle,"[0.40,0.49]",1006,12.892015903933407,0.5278330019880716,0.5497017892644135
cartesian_local_joint_ls,delay,"[0.00,0.10)",1162,0.9707566045187837,0.7211703958691911,0.7125645438898451
cartesian_local_joint_ls,delay,"[0.10,0.20)",1171,1.1458852123854488,0.6857386848847139,0.6643894107600341
cartesian_local_joint_ls,delay,"[0.20,0.30)",1108,1.1311087732823724,0.6850180505415162,0.6732851985559567
cartesian_local_joint_ls,delay,"[0.30,0.40)",1136,1.3463617714927087,0.641725352112676,0.6144366197183099
cartesian_local_joint_ls,delay,"[0.40,0.49]",1023,1.4573187111944905,0.5718475073313783,0.5669599217986315
cartesian_local_joint_ls,doppler,"[0.00,0.10)",1164,2.198434526821345,0.6890034364261168,0.686426116838488
cartesian_local_joint_ls,doppler,"[0.10,0.20)",1069,2.162024117298081,0.6847521047708138,0.6903648269410664
cartesian_local_joint_ls,doppler,"[0.20,0.30)",1133,2.5599479758290173,0.6195939982347749,0.6310679611650486
cartesian_local_joint_ls,doppler,"[0.30,0.40)",1132,2.548136297151711,0.6439929328621908,0.6448763250883393
cartesian_local_joint_ls,doppler,"[0.40,0.49]",1102,2.9967464988373314,0.5607985480943739,0.5689655172413793
residual_gated_cartesian_local_joint_ls,angle,"[0.00,0.10)",1088,8.165802789075057,0.6691176470588235,nan
residual_gated_cartesian_local_joint_ls,angle,"[0.10,0.20)",1166,8.623069701907875,0.660377358490566,nan
residual_gated_cartesian_local_joint_ls,angle,"[0.20,0.30)",1144,9.301277356209225,0.6520979020979021,nan
residual_gated_cartesian_local_joint_ls,angle,"[0.30,0.40)",1196,9.826169481349899,0.6145484949832776,nan
residual_gated_cartesian_local_joint_ls,angle,"[0.40,0.49]",1006,12.892015903933407,0.5278330019880716,nan
residual_gated_cartesian_local_joint_ls,delay,"[0.00,0.10)",1162,0.9707566045187837,0.7211703958691911,nan
residual_gated_cartesian_local_joint_ls,delay,"[0.10,0.20)",1171,1.1459981168172557,0.6857386848847139,nan
residual_gated_cartesian_local_joint_ls,delay,"[0.20,0.30)",1108,1.1311087732823724,0.6850180505415162,nan
residual_gated_cartesian_local_joint_ls,delay,"[0.30,0.40)",1136,1.3463617714927087,0.641725352112676,nan
residual_gated_cartesian_local_joint_ls,delay,"[0.40,0.49]",1023,1.4577585938924378,0.5718475073313783,nan
residual_gated_cartesian_local_joint_ls,doppler,"[0.00,0.10)",1164,2.198434526821345,0.6890034364261168,nan
residual_gated_cartesian_local_joint_ls,doppler,"[0.10,0.20)",1069,2.162024117298081,0.6847521047708138,nan
residual_gated_cartesian_local_joint_ls,doppler,"[0.20,0.30)",1133,2.5601070241947865,0.6195939982347749,nan
residual_gated_cartesian_local_joint_ls,doppler,"[0.30,0.40)",1132,2.548136297151711,0.6439929328621908,nan
residual_gated_cartesian_local_joint_ls,doppler,"[0.40,0.49]",1102,2.9967464988373314,0.5607985480943739,nan
