split,seed,snr_db,n_targets,sample_index,dynamic_range_db,minimum_true_separation_bins,coarse_design_condition,refined_design_condition,refined_collision_rate,candidate_axis_correctness,minimum_candidate_margin,mean_candidate_margin,boundary_saturation_rate,residual_reduction_fraction,local_gain_vs_grid_db,harmful_local_update,q_sup,duplicate_neighborhood_rate,coarse_mean_absolute_bin_error,coarse_maximum_absolute_bin_error,theory_ratio_min,theory_ratio_mean,theory_condition_fraction,theory_any_component_condition,theory_all_components_condition,noiseless_candidate_gap_min,interference_envelope_max,noise_envelope,theory_eta,grid_fft_topL_joint_ls_nmse_db,grid_fft_topL_joint_ls_per_component_half_bin_hit,grid_fft_topL_joint_ls_all_components_half_bin_hit,axiswise_quadratic_peak_joint_ls_nmse_db,axiswise_quadratic_peak_joint_ls_per_component_half_bin_hit,axiswise_quadratic_peak_joint_ls_all_components_half_bin_hit,axiswise_candan_joint_ls_nmse_db,axiswise_candan_joint_ls_per_component_half_bin_hit,axiswise_candan_joint_ls_all_components_half_bin_hit,one_step_fixed_support_newton_joint_ls_nmse_db,one_step_fixed_support_newton_joint_ls_per_component_half_bin_hit,one_step_fixed_support_newton_joint_ls_all_components_half_bin_hit,cartesian_local_joint_ls_nmse_db,cartesian_local_joint_ls_per_component_half_bin_hit,cartesian_local_joint_ls_all_components_half_bin_hit,gate_pass,gated_gain_vs_grid_db,residual_gated_cartesian_local_joint_ls_nmse_db,residual_gated_cartesian_local_joint_ls_per_component_half_bin_hit,residual_gated_cartesian_local_joint_ls_all_components_half_bin_hit
validation,20260808,0.0,2,0,18.815481004196293,35.92849053985905,1.0000000000000002,11.008830379030979,1.0,0.5,0.020932660157285427,0.02108448791615764,0.3333333333333333,0.10258671527799013,5.887175363884816,0.0,0.5,0.5,8.24763507597095,33.01374421608193,1.536079352523382e-08,0.202454479323941,0.0,0.0,0.0,6.793033913331183e-08,2.184264222015572,0.026895605818836855,0.05,-5.70987591367103,0.5,0.0,-7.268178529902485,0.5,0.0,-18.829270365773542,0.5,0.0,-5.70987591367103,0.5,0.0,-11.597051277555845,0.5,0.0,1,5.887175363884816,-11.597051277555845,0.5,0.0
validation,20260808,0.0,2,1,17.486204051616113,35.40737912975078,1.0000000000000002,3.3373873689932325,0.0,0.5,0.020610144338448197,0.021420127289918732,0.16666666666666666,0.15685175982745847,8.028933120338184,0.0,0.0,0.5,7.932595796444413,32.60215738231318,3.9880423723458695e-07,0.1877954195256828,0.0,0.0,0.0,1.5827383867001848e-06,1.9611256910139916,0.02322933700089033,0.05,-4.293706914130536,0.0,0.0,-4.992472010408053,0.0,0.0,-17.54143009614227,0.5,0.0,-4.293706914130536,0.0,0.0,-12.32264003446872,0.5,0.0,1,8.028933120338184,-12.32264003446872,0.5,0.0
validation,20260808,0.0,2,2,1.0300981973522285,44.36119386461586,1.0,1.0000109770737509,0.0,1.0,0.012675230754771805,0.029604394237789104,0.16666666666666666,0.12026662544971245,8.232847991134156,0.0,1.0,0.0,0.14422232836795512,0.34721601917540745,0.23154192383653918,0.4723038880522894,0.0,0.0,0.0,0.0047448056081382806,1.741030174450707e-05,0.010232586470972067,0.05,-5.448760467586535,1.0,1.0,-6.356824452628754,1.0,1.0,-41.36881936902994,1.0,1.0,-6.15231383437067,1.0,1.0,-13.68160845872069,1.0,1.0,1,8.232847991134156,-13.68160845872069,1.0,1.0
validation,20260808,0.0,2,3,0.029648620839786692,14.60045607422389,1.0000000000000002,1.000132975486581,0.0,1.0,0.04654638012801692,0.06207816031202393,0.5,0.2711785911597744,13.125990376260134,0.0,1.0,0.0,0.29839197657275207,0.4525429773927492,0.6336453153057859,0.9151536803021862,0.5,1.0,0.0,0.01906562565286596,0.0005351252910926154,0.014793547177791713,0.05,-2.430929175512584,1.0,1.0,-4.177277002173688,1.0,1.0,-32.04491263986547,1.0,1.0,-2.633118699991938,1.0,1.0,-15.556919551772717,1.0,1.0,1,13.125990376260134,-15.556919551772717,1.0,1.0
validation,20260808,0.0,2,4,2.5472293986276413,19.331797221842326,1.0,1.0000000000000002,0.0,1.0,0.04032299308377801,0.06873684245944844,0.16666666666666666,0.19953706242323277,13.669008626509527,0.0,1.0,0.0,0.14956388798582232,0.4749677288929277,0.5025603876534397,1.1041007426796225,0.5,1.0,0.0,0.02830334566225612,0.00014201996859690907,0.028017129018861497,0.05,-3.8299515139667557,1.0,1.0,-8.893290228330695,1.0,1.0,-36.94951681308898,1.0,1.0,-4.077808247825477,1.0,1.0,-17.49896014047628,1.0,1.0,1,13.669008626509527,-17.49896014047628,1.0,1.0
validation,20260808,0.0,2,5,1.1712208109651914,55.689924722040814,1.0000000000000002,1.0,0.0,1.0,0.01355645310900859,0.036881212688241405,0.16666666666666666,0.1719933339402605,9.73745204155788,0.0,1.0,0.0,0.1797542998163856,0.3806354555514151,0.21409909402000676,0.5601162467200237,0.0,0.0,0.0,0.007413693597276838,2.6058173045151244e-05,0.017292194238993735,0.05,-4.0964308962531115,1.0,1.0,-5.314228615046982,1.0,1.0,-41.80172967078918,1.0,1.0,-5.830748505559643,1.0,1.0,-13.83388293781099,1.0,1.0,1,9.73745204155788,-13.83388293781099,1.0,1.0
validation,20260808,0.0,2,6,3.712988924437513,25.247534381552274,1.0000000000000002,11.013856728228616,1.0,0.6666666666666666,0.027967181227821887,0.028354931176667913,0.6666666666666666,0.14717278559164848,2.8397613589379764,0.0,0.5,0.5,5.632801065779346,23.2588261552158,1.5345969547454663e-05,0.25849471952618597,0.0,0.0,0.0,2.2341194621837738e-05,0.7174095155315344,0.010507823048852935,0.05,-2.0528681890007086,0.5,0.0,-2.839905296486454,0.5,0.0,-5.251370153985365,0.5,0.0,-2.0528681890007086,0.5,0.0,-4.892629547938685,0.5,0.0,1,2.8397613589379764,-4.892629547938685,0.5,0.0
validation,20260808,0.0,2,7,0.4928217615633901,39.174353579740874,1.0,1.0000000000000002,0.0,1.0,0.03234557816260063,0.05984387061002386,0.16666666666666666,0.18160531749664255,10.745903065715934,0.0,1.0,0.0,0.18928753802669882,0.366125432646367,0.4464882518563179,0.8334849531612398,0.5,1.0,0.0,0.022214604827354822,0.0017128033599444986,0.02322318263027145,0.05,-4.060764170102148,1.0,1.0,-5.02374783263998,1.0,1.0,-35.885142665245155,1.0,1.0,-4.406042795136867,1.0,1.0,-14.806667235818082,1.0,1.0,1,10.745903065715934,-14.806667235818082,1.0,1.0
validation,20260808,0.0,2,8,12.630015982784194,15.749308570605516,1.0000000000000002,11.008830379030979,1.0,0.5,0.056584000872082194,0.056654104983021106,0.3333333333333333,0.12845908530116845,6.273732284363741,0.0,0.0,0.5,4.062440343127826,13.370880744860656,9.363893065747007e-07,0.6213371859800625,0.5,1.0,0.0,2.28706504186225e-06,1.2068644718658852,0.014350372111937773,0.05,-4.662804037910274,0.0,0.0,-7.2786764296660875,0.5,0.0,-12.85850233400674,0.5,0.0,-4.662804037910274,0.0,0.0,-10.936536322274016,0.5,0.0,1,6.273732284363741,-10.936536322274016,0.5,0.0
validation,20260808,0.0,2,9,3.334710851085107,51.03946966654927,1.0,1.0,0.0,1.0,0.03203738894086596,0.08129848065416256,0.16666666666666666,0.23467396230971638,16.43126239031631,0.0,1.0,0.0,0.2501392984765361,0.45707762265370633,0.3111617131618587,1.3831347934004377,0.5,1.0,0.0,0.012852301201615957,9.410978046207651e-05,0.02055801523681231,0.05,-3.1905183473284353,1.0,1.0,-4.660548256097627,1.0,1.0,-36.976377132722014,1.0,1.0,-3.1905183473284353,1.0,1.0,-19.621780737644745,1.0,1.0,1,16.43126239031631,-19.621780737644745,1.0,1.0
