snr_db,l_value,n_users,n_bs,mean_grid_channel_nmse_db,mean_source_alpha_channel_nmse_db,mean_source_alpha_gain_vs_grid_db,mean_bounded_refine_channel_nmse_db,mean_bounded_gain_vs_grid_db,mean_oracle_alpha_channel_nmse_db,mean_oracle_alpha_gain_vs_grid_db,mean_source_alpha_gap_vs_oracle_db,mean_oracle_alpha,mean_support_recall,mean_dominant_energy_recall,mean_delay_bin_rmse,mean_tx_bin_rmse
0.0,4.0,100.0,2.0,-8.767381509132722,-10.011839655089549,1.244458145956827,-9.554733580285395,0.787352071152673,-10.229924282143323,1.4625427730106002,0.2180846270537735,0.536,0.625,0.9406444217813172,9.423115579599765,0.3207106781186548
0.0,8.0,100.0,2.0,-6.357457765978943,-6.553409687064568,0.1959519210856232,-6.406092879755888,0.048635113776943316,-6.812663733606573,0.45520596762762877,0.2592540465420055,0.514,0.40625,0.948495651164493,12.881262917693926,0.45412386799722576
0.0,16.0,100.0,2.0,-4.178836178790408,-3.9936664967755053,-0.1851696820149028,-3.9482589426494177,-0.23057723614098982,-4.283792295312426,0.10495611652201838,0.29012579853692116,0.3920000000000001,0.30875,0.9587255708085894,13.795682753103186,0.5214319225270359
10.0,4.0,100.0,2.0,-14.200348989261656,-20.680345802982544,6.479996813720887,-19.475976604361755,5.275627615100101,-21.62770291694793,7.4273539276862754,0.9473571139653868,0.6979999999999998,0.93,0.9635412920655692,0.20466104946019054,0.09
10.0,8.0,100.0,2.0,-14.838906601509672,-18.79091124379086,3.952004642281185,-18.665354548094648,3.826447946584972,-19.299008270980224,4.460101669470548,0.5080970271893633,0.8880000000000001,0.76125,0.9771119472213422,4.6427093834001125,0.2699689102102337
10.0,16.0,100.0,2.0,-13.599990847468714,-15.079430348112833,1.4794395006441206,-15.065128262248528,1.465137414779816,-15.406082734398888,1.8060918869301765,0.3266523862860557,0.982,0.57,0.9830743449803764,9.35886920911228,0.46043386095729916
20.0,4.0,100.0,2.0,-14.70446926045903,-23.545647496577253,8.84117823611822,-21.50533400773502,6.800864747275991,-25.027594749299126,10.323125488840098,1.481947252721882,0.6759999999999999,0.985,0.9646331674167544,0.035355339059327376,0.025
20.0,8.0,100.0,2.0,-17.54308572950924,-27.936038226633638,10.3929524971244,-28.141731923439615,10.598646193930374,-29.435403144920137,11.8923174154109,1.4993649182864985,0.89,0.93,0.9821683493094585,0.37957611430535265,0.1075304832720494
20.0,16.0,100.0,2.0,-19.843553556774307,-27.294041943598955,7.45048838682465,-27.571982016584606,7.728428459810304,-27.95847894276089,8.114925385986588,0.6644369991619392,1.028,0.89125,0.9907708943749352,1.4260410205433203,0.1662113810409489
30.0,4.0,100.0,2.0,-14.750832413373622,-23.99970820555791,9.248875792184286,-21.87252088839487,7.121688475021244,-25.805433606124996,11.054601192751374,1.805725400567094,0.6920000000000001,0.995,0.9646769998898977,0.007071067811865475,0.01
30.0,8.0,100.0,2.0,-17.806726922915928,-31.402684006994086,13.595957084078162,-31.92244064013799,14.115713717222052,-34.06741683950722,16.260689916591286,2.6647328325131205,0.8939999999999999,0.97625,0.9825808800415239,0.13156489770562874,0.04949747468305834
30.0,16.0,100.0,2.0,-20.83638436233813,-35.056942569191136,14.220558206853005,-36.34905568778085,15.512671325442723,-37.167954494768054,16.331570132429928,2.1110119255769217,1.0919999999999999,0.961875,0.9914185785042876,0.3166848778656586,0.08207106781186548
