sample_index,n_targets,sigma_phi_degrees,clean_trained_alpha,oracle_alpha,grid_nmse_db,clean_alpha_nmse_db,oracle_alpha_nmse_db,degradation_vs_clean_db,oracle_recovery_db
0.0,8.0,0.0,0.7999999999999999,0.7999999999999999,-4.834451968404292,-13.044032676273837,-13.044032676273837,-0.5794723469267176,0.0
1.0,8.0,0.0,0.7999999999999999,0.7999999999999999,-7.602540930213899,-12.569509630394986,-12.569509630394986,-0.10494930104786704,0.0
2.0,8.0,0.0,0.7999999999999999,0.7999999999999999,-4.359934078767453,-11.531655818985609,-11.531655818985609,0.9329045103615101,0.0
3.0,8.0,0.0,0.7999999999999999,0.7999999999999999,-4.443809252646343,-11.461952436861695,-11.461952436861695,1.0026078924854236,0.0
4.0,8.0,0.0,0.7999999999999999,0.7999999999999999,-6.4399067188656725,-13.715651084219477,-13.715651084219477,-1.251090754872358,0.0
0.0,8.0,0.5,0.7999999999999999,0.7999999999999999,-4.834452185861707,-13.04403546577047,-13.04403546577047,-0.5794751364233512,0.0
1.0,8.0,0.5,0.7999999999999999,0.7999999999999999,-7.602542073331412,-12.569512343652915,-12.569512343652915,-0.10495201430579648,0.0
2.0,8.0,0.5,0.7999999999999999,0.7999999999999999,-4.359934103994435,-11.531656206782262,-11.531656206782262,0.9329041225648567,0.0
3.0,8.0,0.5,0.7999999999999999,0.7999999999999999,-4.443809234226893,-11.461953373193063,-11.461953373193063,1.0026069561540556,0.0
4.0,8.0,0.5,0.7999999999999999,0.7999999999999999,-6.4399070812296175,-13.71565378188767,-13.71565378188767,-1.2510934525405517,0.0
0.0,8.0,1.0,0.7999999999999999,0.7999999999999999,-4.834453840315684,-13.04404151811948,-13.04404151811948,-0.5794811887723608,0.0
1.0,8.0,1.0,0.7999999999999999,0.7999999999999999,-7.602538281339841,-12.569499050337916,-12.569499050337916,-0.1049387209907966,0.0
2.0,8.0,1.0,0.7999999999999999,0.7999999999999999,-4.359931881041947,-11.53165081813006,-11.53165081813006,0.9329095112170585,0.0
3.0,8.0,1.0,0.7999999999999999,0.7999999999999999,-4.44380987262286,-11.461952020643814,-11.461952020643814,1.002608308703305,0.0
4.0,8.0,1.0,0.7999999999999999,0.7999999999999999,-6.439903661505834,-13.715639718767761,-13.715639718767761,-1.2510793894206422,0.0
0.0,8.0,2.0,0.7999999999999999,0.7999999999999999,-4.83445356579099,-13.044024887676889,-13.044024887676889,-0.5794645583297697,0.0
1.0,8.0,2.0,0.7999999999999999,0.7999999999999999,-7.602541090657806,-12.569497119492514,-12.569497119492514,-0.10493679014539481,0.0
2.0,8.0,2.0,0.7999999999999999,0.7999999999999999,-4.359931804219951,-11.531633382107387,-11.531633382107387,0.9329269472397321,0.0
3.0,8.0,2.0,0.7999999999999999,0.7999999999999999,-4.443811045569078,-11.461938289991696,-11.461938289991696,1.0026220393554226,0.0
4.0,8.0,2.0,0.7999999999999999,0.7999999999999999,-6.439900941183713,-13.715649547854962,-13.715649547854962,-1.2510892185078433,0.0
0.0,8.0,3.0,0.7999999999999999,0.7999999999999999,-4.834432760023495,-13.04386309235539,-13.04386309235539,-0.5793027630082719,0.0
1.0,8.0,3.0,0.7999999999999999,0.7999999999999999,-7.602507598200681,-12.569376548666602,-12.569376548666602,-0.10481621931948304,0.0
2.0,8.0,3.0,0.7999999999999999,0.7999999999999999,-4.359908481529135,-11.531507380434487,-11.531507380434487,0.933052948912632,0.0
3.0,8.0,3.0,0.7999999999999999,0.7999999999999999,-4.44377679829329,-11.461755472955383,-11.461755472955383,1.0028048563917356,0.0
4.0,8.0,3.0,0.7999999999999999,0.7999999999999999,-6.439866608077452,-13.715439550389767,-13.715439550389767,-1.2508792210426485,0.0
