sigma_phi_degrees,clean_trained_alpha,oracle_alpha,grid_nmse_db,clean_alpha_nmse_db,oracle_alpha_nmse_db,degradation_vs_clean_db,oracle_recovery_db,grid_gap_vs_clean_alpha_db,n_test
0.0,0.7999999999999999,0.7999999999999999,-5.536128589779532,-12.464560329347119,-12.464560329347119,0.0,0.0,6.928431739567587,5.0
0.5,0.7999999999999999,0.7999999999999999,-5.536128935728813,-12.464562234257277,-12.464562234257277,-1.9049101585011385e-06,0.0,6.928433298528464,5.0
1.0,0.7999999999999999,0.7999999999999999,-5.536127507365234,-12.464556625199807,-12.464556625199807,3.7041473124332924e-06,0.0,6.928429117834573,5.0
2.0,0.7999999999999999,0.7999999999999999,-5.5361276894843074,-12.46454864542469,-12.46454864542469,1.1683922428673554e-05,0.0,6.928420955940383,5.0
3.0,0.7999999999999999,0.7999999999999999,-5.536098449224811,-12.464388408960327,-12.464388408960327,0.000171920386792479,0.0,6.928289959735515,5.0
