profile,seed,snr_db,l_value,n_samples,source_alpha,delay_alpha,angle_alpha,estimator_mode,mean_grid_channel_nmse_db,mean_trained_refinement_channel_nmse_db,mean_trained_refinement_gain_vs_grid_db,mean_grid_physical_delay_rmse_ns,mean_trained_refinement_physical_delay_rmse_ns,mean_physical_delay_rmse_reduction_vs_grid_ns,mean_grid_projected_broadside_angle_rmse_deg,mean_trained_refinement_projected_broadside_angle_rmse_deg,mean_projected_angle_rmse_reduction_vs_grid_deg,mean_support_recall,mean_topk_energy_efficiency
D,20260626.0,0.0,4.0,50.0,0.6419195571509573,0.9783584592703947,0.4559182165090425,source-trained-feature-controller,-11.320325386295828,-10.917368812153265,-0.4029565741425628,1451.3578592711417,1451.8771031643548,-0.519243893213461,36.733601807814715,36.67992355062747,0.05367825718724429,0.435,0.9878303865235496
D,20260626.0,0.0,8.0,50.0,0.6419195571509573,1.0883763920103833,0.16942504686392204,source-trained-feature-controller,-8.745680264235142,-8.423401339776744,-0.322278924458398,1786.8244523129945,1784.9375131876177,1.8869391253765662,42.555455884723024,42.74252225985558,-0.18706637513257157,0.2925,0.982878891315547
D,20260626.0,0.0,16.0,50.0,0.6419195571509573,1.1118812503054885,0.021592418890906958,source-trained-feature-controller,-6.397802124600926,-6.230214082560403,-0.16758804204052288,1331.2076807979265,1330.270119379321,0.9375614186056237,47.82228739509127,48.12732044381459,-0.30503304872331716,0.21625,0.9832073646754478
D,20260626.0,10.0,4.0,50.0,0.6419195571509573,1.0730954858424995,0.5909432887057068,source-trained-feature-controller,-18.408789814179787,-17.65660785514955,-0.7521819590302353,256.26781636333175,279.7969845835984,-23.529168220266694,18.581443714617347,16.201188030374155,2.380255684243189,0.805,0.9987667284254141
D,20260626.0,10.0,8.0,50.0,0.6419195571509573,1.1271086132441286,0.25571277298265627,source-trained-feature-controller,-18.477075072825848,-17.585915202757352,-0.891159870068498,869.5719441130079,881.803595526682,-12.231651413674097,37.590466664592235,35.610579446705714,1.979887217886521,0.6825,0.997084995131702
D,20260626.0,10.0,16.0,50.0,0.6419195571509573,1.1407088519021478,0.025729991640101414,source-trained-feature-controller,-16.295607683559027,-15.797339022978024,-0.4982686605809999,735.1186520005016,740.951553217201,-5.832901216699457,45.88197098620332,45.88554807087541,-0.003577084672089228,0.465,0.9957916456343857
D,20260626.0,20.0,4.0,50.0,0.6419195571509573,1.0995023423878094,0.5352646522889599,source-trained-feature-controller,-19.749551619089917,-18.56118350283967,-1.1883681162502537,99.06217731897121,128.39962857196636,-29.33745125299511,15.42538368192887,13.381732204433662,2.0436514774952044,0.925,0.9999069795451243
D,20260626.0,20.0,8.0,50.0,0.6419195571509573,1.108143497037739,0.3360213317284905,source-trained-feature-controller,-23.365787955869862,-21.374049796289878,-1.9917381595799872,246.55525936405948,276.69562168951995,-30.1403623254605,36.33379299300559,33.51651635967861,2.817276633326976,0.9125,0.9998182971032995
D,20260626.0,20.0,16.0,50.0,0.6419195571509573,1.1411696298517224,0.048769490467868104,source-trained-feature-controller,-25.632141309915358,-23.38018927817138,-2.251952031743978,187.1909306943779,208.51491303216187,-21.323982337783885,35.583529678040136,37.497018084913464,-1.9134884068733264,0.83625,0.9996331529448942
D,20260626.0,30.0,4.0,50.0,0.6419195571509573,1.0956899051757978,0.5263932881825734,source-trained-feature-controller,-19.84540236233252,-18.80025744352945,-1.0451449188030744,100.96930493175745,128.3017532025244,-27.332448270766946,16.671203976215164,14.38762308778194,2.2835808884332205,0.955,0.9999685888339198
D,20260626.0,30.0,8.0,50.0,0.6419195571509573,1.113501933893114,0.32810690740067794,source-trained-feature-controller,-23.927491404509247,-21.736156368094203,-2.19133503641505,221.23738484470132,250.85590586483863,-29.618521020137305,36.432123835623436,33.12107181612034,3.3110520195030926,0.975,0.9999788995696435
D,20260626.0,30.0,16.0,50.0,0.6419195571509573,1.136505283290222,0.0532752977025197,source-trained-feature-controller,-28.65362276111342,-25.22829302170119,-3.425329739412224,177.92317526799306,194.9319721245724,-17.00879685657935,33.212522828201315,32.70329616582374,0.5092266623775775,0.9575,0.9999763676750377
D,20260627.0,0.0,4.0,50.0,0.6419195571509573,0.9796352860060946,0.42340677624494505,source-trained-feature-controller,-10.871056652105398,-10.628810624784451,-0.2422460273209466,1780.5908790257424,1782.1169591609441,-1.5260801352014925,33.91012188824991,34.033038824957984,-0.12291693670807174,0.365,0.9855717759820054
D,20260627.0,0.0,8.0,50.0,0.6419195571509573,1.1020614214019044,0.12411733835979864,source-trained-feature-controller,-8.501333757065906,-8.260655668025398,-0.24067808904051058,1881.466966792955,1883.8452470305751,-2.378280237619708,43.05607600327195,43.5854248767206,-0.5293488734486548,0.235,0.9802472936412747
D,20260627.0,0.0,16.0,50.0,0.6419195571509573,1.1150018770276304,0.020291897921365352,source-trained-feature-controller,-6.317644849961064,-6.138387587752914,-0.1792572622081491,1453.7714334675018,1455.8306041212868,-2.059170653784772,47.636236756105724,48.148296772387084,-0.5120600162813456,0.1825,0.9806276835993141
D,20260627.0,10.0,4.0,50.0,0.6419195571509573,1.0698913416084894,0.5376763706834093,source-trained-feature-controller,-18.446065173073805,-17.394937265808508,-1.0511279072652961,325.08100343344717,349.6261245154583,-24.545121082011125,19.44724899652793,17.434420575869574,2.012828420658352,0.765,0.9983689039944725
D,20260627.0,10.0,8.0,50.0,0.6419195571509573,1.1165461911181267,0.22691208035261085,source-trained-feature-controller,-18.304022118739383,-17.11037237691087,-1.1936497418285112,968.8295870133264,972.3525682849303,-3.522981271603888,39.49894891854851,37.06948590317627,2.429463015372236,0.665,0.9963401151100406
D,20260627.0,10.0,16.0,50.0,0.6419195571509573,1.1358668084213628,0.022960469029933414,source-trained-feature-controller,-16.408891156027664,-15.544736546823717,-0.8641546092039458,814.0602073601394,813.8741132263934,0.18609413374597325,45.869487883007466,46.16446579896331,-0.2949779159558492,0.46875,0.9957273135274463
D,20260627.0,20.0,4.0,50.0,0.6419195571509573,1.0676949682119012,0.5283899194813698,source-trained-feature-controller,-19.869402279905803,-18.49585819338406,-1.373544086521748,116.74493793445197,144.80815319125904,-28.06321525680707,15.936587799735161,13.806600620857564,2.1299871788776006,0.945,0.9998794246598538
D,20260627.0,20.0,8.0,50.0,0.6419195571509573,1.0954406602651618,0.362349826862971,source-trained-feature-controller,-23.609790813106297,-20.91793702898753,-2.6918537841187633,258.0588511736393,282.5417318400651,-24.4828806664258,38.60733054505904,35.349121663722556,3.2582088813364947,0.9125,0.9998053576690212
D,20260627.0,20.0,16.0,50.0,0.6419195571509573,1.1367661583361464,0.04901310975515764,source-trained-feature-controller,-25.97707829023787,-22.758011832342255,-3.2190664578956154,206.38856948179316,226.41907629261482,-20.030506810821613,36.73500655701396,38.03321308312652,-1.2982065261125584,0.81375,0.999629852098263
D,20260627.0,30.0,4.0,50.0,0.6419195571509573,1.067511083230626,0.5234262695919728,source-trained-feature-controller,-20.00913146582117,-18.689786705620776,-1.3193447602003954,100.53683231047381,127.28036992380116,-26.743537613327316,14.76189089268855,12.434560725528236,2.327330167160317,0.98,0.9999927257848721
D,20260627.0,30.0,8.0,50.0,0.6419195571509573,1.0895500299345304,0.3786660548212503,source-trained-feature-controller,-24.201061418649434,-21.43188126389653,-2.7691801547529025,270.12095402704,295.7267394507922,-25.605785423752124,38.18368519919585,34.31833605950476,3.8653491396910886,0.96,0.9999740189645061
