profile,seed,sample_index,snr_db,l_value,source_alpha,delay_alpha,angle_alpha,estimator_mode,grid_channel_nmse_db,trained_refinement_channel_nmse_db,trained_refinement_gain_vs_grid_db,grid_physical_delay_rmse_ns,trained_refinement_physical_delay_rmse_ns,physical_delay_rmse_reduction_vs_grid_ns,grid_projected_broadside_angle_rmse_deg,trained_refinement_projected_broadside_angle_rmse_deg,projected_angle_rmse_reduction_vs_grid_deg,matched_physical_paths,support_recall,topk_energy_efficiency
D,20260626.0,0.0,0.0,4.0,0.6419195571509573,1.0506173029120478,0.13109229197412878,source-trained-feature-controller,-10.872125803145892,-10.709041417844332,-0.1630843853015591,1436.7860268538366,1418.4897457776756,18.296281076160994,52.34895931487223,52.34895931487223,0.0,4.0,0.25,0.9893834921242635
D,20260626.0,1.0,0.0,4.0,0.6419195571509573,1.0809186603592298,0.021141710035709617,source-trained-feature-controller,-11.047275168324502,-10.503118504727063,-0.5441566635974393,1236.112076623204,1246.6370626323944,-10.524986009190343,16.81510328459152,16.81510328459152,0.0,4.0,0.5,0.9859355507472141
D,20260626.0,2.0,0.0,4.0,0.6419195571509573,0.7535078323002559,0.35670562843142894,source-trained-feature-controller,-9.656411675175653,-9.656411675175624,-2.842170943040401e-14,1800.084275808077,1800.084275808077,0.0,46.168531510642794,46.168531510642794,0.0,4.0,0.25,0.9716781134513437
D,20260626.0,3.0,0.0,4.0,0.6419195571509573,0.9710737581039605,0.06035360858518431,source-trained-feature-controller,-10.13298848739983,-10.330765191793507,0.1977767043936769,2447.1425072095853,2435.804488646979,11.338018562606521,53.8816119376157,53.859926789716695,0.02168514789900655,4.0,0.25,0.9893416092211548
D,20260626.0,4.0,0.0,4.0,0.6419195571509573,1.021314829638197,0.040517755850930176,source-trained-feature-controller,-9.791796030482015,-9.774435359855605,-0.017360670626409558,1837.793937818892,1829.110050574621,8.683887244270863,8.107889025743978,8.107889025743978,0.0,4.0,0.25,0.9826617702800776
D,20260626.0,5.0,0.0,4.0,0.6419195571509573,0.9621210170879935,0.9582517725044154,source-trained-feature-controller,-10.666255521380663,-10.272053963540513,-0.3942015578401499,1643.6674770756913,1619.4024750646595,24.26500201103181,57.13091266702714,56.611496610100424,0.5194160569267154,4.0,0.25,0.9823068691547161
D,20260626.0,6.0,0.0,4.0,0.6419195571509573,1.0797972543042367,0.7305638313912445,source-trained-feature-controller,-11.050671771682442,-10.376934323498526,-0.6737374481839158,1365.6076355585724,1335.8893384707928,29.718297087779547,48.761193528820705,45.62176795923862,3.1394255695820874,4.0,0.5,0.9853656442786872
D,20260626.0,7.0,0.0,4.0,0.6419195571509573,0.9037903084617006,0.3260094404366819,source-trained-feature-controller,-12.01421475555094,-11.082220341485574,-0.9319944140653664,1549.769310064169,1562.7821522161448,-13.012842151975747,46.79782254628424,46.527648151620426,0.27017439466381177,4.0,0.5,0.9923888351788005
D,20260626.0,8.0,0.0,4.0,0.6419195571509573,1.0488114647099118,0.4979610384322785,source-trained-feature-controller,-12.25537021759906,-12.081584502533092,-0.17378571506596785,792.0534942096907,810.2531144662714,-18.199620256580715,17.597175337780477,16.562351537431358,1.0348238003491197,4.0,0.5,0.9845517023957342
D,20260626.0,9.0,0.0,4.0,0.6419195571509573,1.0946255120519526,0.3552765311651421,source-trained-feature-controller,-10.312441536892877,-10.83300216894417,0.5205606320512928,1980.6670018848208,1965.1763667800021,15.490635104818693,27.51240753705865,26.10857080027712,1.4038367367815283,4.0,0.5,0.9872665577621543
D,20260626.0,10.0,0.0,4.0,0.6419195571509573,0.9409093986918281,0.9691797458486453,source-trained-feature-controller,-11.599926472429946,-9.443807580642211,-2.1561188917877345,278.50898393044844,289.8919311320515,-11.382947201603088,46.30337504178514,45.46480375158332,0.8385712902018199,4.0,0.75,0.989917816416555
D,20260626.0,11.0,0.0,4.0,0.6419195571509573,0.9700615034130478,0.9917548472418372,source-trained-feature-controller,-11.386455498141338,-12.888934339783482,1.5024788416421444,521.8708227055365,507.5765480227267,14.294274682809828,40.26159962886599,39.09060323628447,1.1709963925815146,4.0,0.75,0.9876321957824193
D,20260626.0,12.0,0.0,4.0,0.6419195571509573,0.7773613873135002,1.0477354861737598,source-trained-feature-controller,-10.5479218907339,-10.840767455222654,0.2928455644887542,276.21268268295756,294.5248704029612,-18.312187720003635,9.763033856793504,10.989890693933214,-1.2268568371397102,4.0,0.25,0.9806074524806347
D,20260626.0,13.0,0.0,4.0,0.6419195571509573,0.874443264799022,0.32183387960732757,source-trained-feature-controller,-10.399940879601115,-10.117112054043568,-0.2828288255575462,1888.1272355064657,1898.5728994800895,-10.445663973623823,37.33601970262291,36.61269209871195,0.7233276039109597,4.0,0.25,0.9810712299110818
D,20260626.0,14.0,0.0,4.0,0.6419195571509573,1.1196128695659728,0.20716463595016374,source-trained-feature-controller,-10.709965491701945,-11.041659533452426,0.331694041750481,1613.192521324781,1644.8373293791738,-31.644808054392797,56.517177479734606,56.517177479734606,0.0,4.0,0.5,0.9812544344695793
D,20260626.0,15.0,0.0,4.0,0.6419195571509573,0.8844634307176329,0.28503236633136414,source-trained-feature-controller,-11.169681714073272,-10.94373008234454,-0.22595163172873178,2305.4697584515484,2321.109588849647,-15.639830398098638,47.23998532365201,46.909046983466965,0.33093834018504253,4.0,0.25,0.9918069992303894
D,20260626.0,16.0,0.0,4.0,0.6419195571509573,1.0188413738975708,0.04130723792997434,source-trained-feature-controller,-9.467988133002436,-9.016452000872379,-0.45153613213005706,1300.1092470669296,1296.939835838166,3.1694112287636926,39.94185947342447,39.94185947342447,0.0,4.0,0.5,0.9778496190475722
D,20260626.0,17.0,0.0,4.0,0.6419195571509573,1.0938169170657652,0.1437585865452792,source-trained-feature-controller,-11.677774409604257,-11.073353950816509,-0.6044204587877484,2096.975007514751,2096.570172765347,0.4048347494040172,41.66226929151255,41.82315131755247,-0.1608820260399213,4.0,0.5,0.992077840766643
D,20260626.0,18.0,0.0,4.0,0.6419195571509573,0.88480871532266,0.06382281553753108,source-trained-feature-controller,-9.683589542355346,-9.683589542355339,-7.105427357601002e-15,2148.8310936427742,2148.8310936427742,0.0,34.22084618680864,34.22084618680864,0.0,4.0,0.25,0.9745355901001972
D,20260626.0,19.0,0.0,4.0,0.6419195571509573,1.045772786635564,0.47986001391231736,source-trained-feature-controller,-10.056010101108214,-9.506554003234278,-0.5494560978739358,2612.2474044552105,2597.8195284397457,14.42787601546479,47.93964204801783,48.02153137393329,-0.08188932591546205,4.0,0.25,0.9800854679818161
D,20260626.0,20.0,0.0,4.0,0.6419195571509573,0.9815555831141533,0.15556035645703253,source-trained-feature-controller,-11.540674435473433,-11.304661072148573,-0.23601336332485978,1049.1488378318281,1038.4863955606413,10.66244227118682,53.92359699979765,53.863547323427085,0.060049676370567795,4.0,0.25,0.9968451722842193
D,20260626.0,21.0,0.0,4.0,0.6419195571509573,0.7685277447924751,0.17986018200982376,source-trained-feature-controller,-9.774275206759885,-9.67119389548978,-0.10308131127010434,2908.4970634010765,2916.070405258169,-7.5733418570926005,28.353242357646934,28.70236644234864,-0.34912408470170675,4.0,0.25,0.978676080606133
D,20260626.0,22.0,0.0,4.0,0.6419195571509573,1.0747866024150587,0.13336700874188057,source-trained-feature-controller,-10.840416822344537,-10.75611671460241,-0.08430010774212704,1559.9998857294013,1563.2310365434887,-3.231150814087414,34.42225605545127,34.83961176817939,-0.4173557127281171,4.0,0.5,0.9934482682201767
D,20260626.0,23.0,0.0,4.0,0.6419195571509573,1.0484377710077029,0.8087427453701436,source-trained-feature-controller,-11.209817268080236,-11.739533938527241,0.5297166704470051,1760.6139655792692,1745.4836765378222,15.130289041446986,27.48335829396655,25.208211528799797,2.2751467651667525,4.0,0.25,0.9895073609659588
D,20260626.0,24.0,0.0,4.0,0.6419195571509573,1.0717682679792848,0.7688274169906038,source-trained-feature-controller,-11.90631288619664,-9.690361568340123,-2.2159513178565167,1212.0397605885887,1221.213958415878,-9.17419782728939,21.152024034675335,25.03018983213436,-3.878165797459026,4.0,0.5,0.987796954899783
D,20260626.0,25.0,0.0,4.0,0.6419195571509573,0.9699012014427165,0.06105896512222803,source-trained-feature-controller,-10.861362394589753,-10.867353395331394,0.0059910007416412725,2076.8252614694725,2086.6065300086643,-9.781268539191842,41.435564633219066,41.36748307544122,0.06808155777784464,4.0,0.25,0.9902155544300973
D,20260626.0,26.0,0.0,4.0,0.6419195571509573,0.9762679173410912,0.5021703477041602,source-trained-feature-controller,-12.738766994496647,-10.907223929228657,-1.83154306526799,414.7563417827008,412.333345811311,2.4229959713898097,30.116894764218557,30.67984652130717,-0.5629517570886122,4.0,0.5,0.9955947219982104
D,20260626.0,27.0,0.0,4.0,0.6419195571509573,1.008628112628619,0.9664489485012069,source-trained-feature-controller,-14.256730191493594,-13.287444843579602,-0.969285347913992,218.8547155270892,259.5503615203852,-40.69564599329598,46.47801504451771,45.6690994181702,0.8089156263475132,4.0,0.75,0.9985280719169373
D,20260626.0,28.0,0.0,4.0,0.6419195571509573,1.0934545386632935,0.6171774679025314,source-trained-feature-controller,-14.127975578018537,-14.188059224176264,0.06008364615772699,722.8724595730494,743.9457046438195,-21.0732450707701,17.284386339779992,18.342990214624336,-1.0586038748443443,4.0,0.75,0.9960860926830957
D,20260626.0,29.0,0.0,4.0,0.6419195571509573,1.0294865284919834,0.5702738095262251,source-trained-feature-controller,-11.283519959270158,-9.442015983092148,-1.8415039761780108,1112.3292347103459,1092.3245521478798,20.004682562466087,46.49372302361013,47.24366469752258,-0.7499416739124527,4.0,0.5,0.9932529002770977
D,20260626.0,30.0,0.0,4.0,0.6419195571509573,0.9776380127190508,0.9845930547870054,source-trained-feature-controller,-13.982383607978852,-11.817335915843257,-2.1650476921355946,1500.6480918377304,1488.6389892212273,12.009102616503014,18.72073529046571,24.82635484834737,-6.10561955788166,4.0,0.75,0.9975982561284125
