seed,snr_db,n_targets,sample_index,method,measurement_nmse_db,angle_bin_rmse,delay_bin_rmse,doppler_bin_rmse,normalized_joint_bin_rmse,matched_fraction_within_half_bin,wall_clock_ms,gain_vs_grid_db,newton_updates,final_residual_energy
20260629,20.0,2,0,grid_fft_topk_plus_ls,-3.961868099078501,2.7436805894654297,0.7320347207957463,4.950689672991722,0.3338621848106901,0.0,0.8662000000185799,0.0,,
20260629,20.0,2,0,deterministic_cartesian_local_refinement_plus_ls,-11.53089256985076,2.899570549878504,0.7293053408398495,5.106996447244606,0.3440954808006933,0.5,9.564499999214604,7.569024470772259,,
20260629,20.0,2,0,fixed_source_trained_scalar_interpolation_plus_ls,-9.727874798020572,2.842685354357432,0.7100866097829901,5.050430021673262,0.33971466878102585,0.5,9.702300000753894,5.766006698942071,,
20260629,20.0,2,0,tensor_nomp3d_known_order_v1,-11.594842070544383,2.8765682603729257,0.7695612652444028,5.117845765282698,0.34590181433050465,0.5,14.038299999810988,7.632973971465882,8.0,0.06645651325793941
20260629,20.0,2,1,grid_fft_topk_plus_ls,-3.0511949982287137,0.31336231277846427,0.2252975299125283,0.2657940460861285,0.03413160236273482,1.0,0.49450000005890615,0.0,,
20260629,20.0,2,1,deterministic_cartesian_local_refinement_plus_ls,-12.214046225648175,0.08876399500743572,0.07700651867619918,0.07528986061273482,0.011067678958630563,1.0,9.95260000036069,9.162851227419463,,
20260629,20.0,2,1,fixed_source_trained_scalar_interpolation_plus_ls,-8.040003979085029,0.16906553713720784,0.10171420110842379,0.13152672280899533,0.01603562715623974,1.0,9.258900000531867,4.988808980856315,,
20260629,20.0,2,1,tensor_nomp3d_known_order_v1,-5.5234532554259985,0.22850726749916458,0.20367889457457267,0.2299082479674877,0.03009438691492043,1.0,21.065899999484827,2.472258257197285,7.0,1.3970261785101807
20260629,20.0,2,2,grid_fft_topk_plus_ls,-3.110118493267654,0.1596440158006184,0.25543873135184836,0.31099692828583736,0.037712234019147715,1.0,0.5203999999139342,0.0,,
20260629,20.0,2,2,deterministic_cartesian_local_refinement_plus_ls,-11.761802830822226,0.05663472673584879,0.08160806327090753,0.08700427019821054,0.011694536662500933,1.0,9.173999999802618,8.651684337554572,,
20260629,20.0,2,2,fixed_source_trained_scalar_interpolation_plus_ls,-7.5890184604364705,0.07325820193279661,0.12650245925767822,0.16690049946393387,0.019081338698602325,1.0,9.456499999942025,4.478899967168816,,
20260629,20.0,2,2,tensor_nomp3d_known_order_v1,-4.282461956050544,0.05583350182226343,0.22794637232401738,0.23060543489616298,0.03197877752118149,1.0,14.076899999963643,1.17234346278289,4.0,1.3320385018122836
20260629,20.0,4,0,grid_fft_topk_plus_ls,-4.152919111363336,4.183177367208897,1.2015077340147828,4.621206864756212,0.3508069906916491,0.25,0.7965000004332978,0.0,,
20260629,20.0,4,0,deterministic_cartesian_local_refinement_plus_ls,-10.818291369333226,4.18043468441972,1.212485222442868,4.861861273083091,0.3638293794129615,0.5,18.73390000037034,6.6653722579698895,,
20260629,20.0,4,0,fixed_source_trained_scalar_interpolation_plus_ls,-8.481096318920367,4.1810691111354075,1.2013228241329357,4.774949267771068,0.35872594294851456,0.5,21.74269999977696,4.32817720755703,,
20260629,20.0,4,0,tensor_nomp3d_known_order_v1,-14.717192313462713,2.6407868389838667,1.9532216782561116,4.680387889209257,0.3898605984502103,0.5,47.652799999923445,10.564273202099375,20.0,0.2165109621828676
20260629,20.0,4,1,grid_fft_topk_plus_ls,-4.978510409371279,5.564462037233153,1.938715136085267,2.6504741764626267,0.3411852520796983,0.5,5.040799999733281,0.0,,
20260629,20.0,4,1,deterministic_cartesian_local_refinement_plus_ls,-11.686152179907182,5.814604732809886,1.9645296743401777,2.5181702120864604,0.3436425720327227,0.5,18.401899999844318,6.707641770535903,,
20260629,20.0,4,1,fixed_source_trained_scalar_interpolation_plus_ls,-10.168813140491103,5.724765195684241,2.0051785954664014,2.564061530057321,0.3471457865648796,0.5,17.505200000414334,5.190302731119824,,
20260629,20.0,4,1,tensor_nomp3d_known_order_v1,-14.314666954068375,2.7086845481065858,1.705170045098813,0.30726829794664373,0.23014156931301974,0.75,67.60010000016337,9.336156544697097,23.0,0.31355488238364176
20260629,20.0,4,2,grid_fft_topk_plus_ls,-5.198261173425336,0.8590978673377736,0.9362235938632456,3.522205189175154,0.2507527740989783,0.75,0.8642000002510031,0.0,,
20260629,20.0,4,2,deterministic_cartesian_local_refinement_plus_ls,-11.057836258371015,4.204204171934679,0.8990063415132071,3.0191705511829547,0.25592260797091504,0.5,18.38820000011765,5.859575084945679,,
20260629,20.0,4,2,fixed_source_trained_scalar_interpolation_plus_ls,-10.042474516254192,0.842411739039899,0.8560830753438875,3.661544132560062,0.25399797571446736,0.75,18.21419999942009,4.844213342828856,,
20260629,20.0,4,2,tensor_nomp3d_known_order_v1,-9.565054761004816,0.11049589435110302,0.09881661983826232,0.14066205282929684,0.015549448115998241,1.0,46.29060000024765,4.3667935875794806,19.0,0.2589434624559321
20260630,20.0,2,0,grid_fft_topk_plus_ls,-8.153878037338098,1.6291978073199462,1.8808045502636341,4.977777105132871,0.39326130043461655,0.0,0.5814999994981918,0.0,,
20260630,20.0,2,0,deterministic_cartesian_local_refinement_plus_ls,-10.61561968518684,1.6291978073199462,1.8808045502636341,5.110877876634925,0.3998747219290702,0.5,9.195599999657134,2.4617416478487417,,
20260630,20.0,2,0,fixed_source_trained_scalar_interpolation_plus_ls,-10.518333616348315,1.6291978073199462,1.8808045502636341,5.060745791148939,0.397376269862931,0.0,10.576399999990826,2.364455579010217,,
20260630,20.0,2,0,tensor_nomp3d_known_order_v1,-16.321287065664322,0.21483455831456064,0.242169716044038,0.0038056083724093658,0.031007662862893994,1.0,14.198399999258982,8.167409028326224,5.0,0.00803221843847481
20260630,20.0,2,1,grid_fft_topk_plus_ls,-5.2735406095216515,0.3018419918689059,0.0916223658486378,0.07061164589343302,0.015479545884765723,1.0,0.5230999995546881,0.0,,
20260630,20.0,2,1,deterministic_cartesian_local_refinement_plus_ls,-13.036139734276723,0.1077928890142075,0.06771300621539854,0.07061164589343302,0.010122498940554961,1.0,9.017799999128329,7.762599124755072,,
20260630,20.0,2,1,fixed_source_trained_scalar_interpolation_plus_ls,-11.949732894775465,0.10483966121345485,0.011440935270197529,0.07061164589343302,0.005679397792145368,1.0,9.173899999950663,6.676192285253814,,
