n_targets,trained_alpha,train_nmse_db,test_grid_nmse_db,test_trained_nmse_db,test_full_refine_nmse_db,test_gain_vs_grid_db,test_gap_vs_full_refine_db
2.0,0.8999999999999999,-13.234863772167785,-5.67215716041076,-13.369414290865572,-12.968917011677085,7.697257130454813,-0.4004972791884871
4.0,1.0999999999999999,-13.475418929674081,-6.184110164747477,-12.044606250186325,-12.630386456470683,5.8604960854388475,0.5857802062843582
8.0,0.9999999999999999,-12.560607012986257,-5.337362457083915,-12.567588484048285,-12.567588484048285,7.2302260269643694,0.0
