snr_db,l_value,n_users,n_bs,mean_grid_channel_nmse_db,mean_source_alpha_channel_nmse_db,mean_source_alpha_gain_vs_grid_db,mean_bounded_refine_channel_nmse_db,mean_bounded_gain_vs_grid_db,mean_oracle_alpha_channel_nmse_db,mean_oracle_alpha_gain_vs_grid_db,mean_source_alpha_gap_vs_oracle_db,mean_oracle_alpha,mean_support_recall,mean_dominant_energy_recall,mean_delay_bin_rmse,mean_tx_bin_rmse
0.0,4.0,16.0,2.0,-8.568728099520744,-9.947392886777163,1.3786647872564173,-9.123381799354386,0.5546536998336399,-10.090838849595874,1.5221107500751292,0.14344596281871208,0.55,0.65625,0.9448812496663415,9.335612852707467,0.1875
0.0,8.0,16.0,2.0,-6.199704670142774,-6.588774948868144,0.3890702787253697,-6.290809444389989,0.09110477424721514,-6.734747269976131,0.5350425998333563,0.1459723211079867,0.5625,0.421875,0.9519792596252639,12.761233625003557,0.4419256303964263
0.0,16.0,16.0,2.0,-4.1033144396239,-3.9563720322269376,-0.14694240739696274,-3.8417371871874786,-0.26157725243642127,-4.1854818635869195,0.08216742396301954,0.22910983135998228,0.2625,0.33203125,0.961689628475239,13.302923305936586,0.4906832707481341
10.0,4.0,16.0,2.0,-14.07940396763281,-19.948025480215684,5.868621512582873,-18.42100128562785,4.341597317995039,-20.88843012177815,6.809026154145338,0.9404046415624646,0.675,0.90625,0.9613532541554171,0.29084799341766454,0.09375
10.0,8.0,16.0,2.0,-14.836842430414576,-19.06195083932385,4.225108408909271,-19.28799767512325,4.451155244708672,-19.577726071372446,4.74088364095787,0.5157752320485978,1.0,0.765625,0.9768414156955665,3.9643537307645667,0.27052669529663687
10.0,16.0,16.0,2.0,-13.62560163934478,-15.302927555473309,1.6773259161285312,-15.370169816615034,1.7445681772702544,-15.527886142209145,1.9022845028643656,0.22495858673583435,0.8875,0.55859375,0.9824870403097219,10.039357238341704,0.44378550813299233
20.0,4.0,16.0,2.0,-14.740335230354859,-23.91822458248255,9.177889352127691,-21.20097498402192,6.460639753667062,-25.668570743824695,10.928235513469836,1.7503461613421458,0.7125,1.0,0.9632986481168712,0.0,0.0
20.0,8.0,16.0,2.0,-17.5640479376029,-29.640621742985545,12.076573805382647,-29.972085909103814,12.408037971500917,-30.97982126606226,13.415773328459355,1.3391995230767102,0.9124999999999999,0.953125,0.981024003036738,0.270381457560927,0.08838834764831845
20.0,16.0,16.0,2.0,-19.843320656534047,-27.89493060142383,8.051609944889783,-28.361649287974338,8.518328631440294,-28.635910049138836,8.792589392604789,0.7409794477150065,1.1375,0.8671875,0.9901433605419859,1.1080191538601436,0.23169417382415922
30.0,4.0,16.0,2.0,-14.77460517578035,-24.189540183987333,9.414935008206978,-20.99362268260814,6.2190175068277895,-26.069008317540384,11.294403141760032,1.8794681335530532,0.675,1.0,0.9632986481168712,0.0,0.0
30.0,8.0,16.0,2.0,-17.791419209889202,-32.32788848413276,14.536469274243554,-32.90129776857012,15.10987855868091,-35.00194552962413,17.210526319734925,2.6740570454913706,0.9125,0.984375,0.9814673184694797,0.08838834764831845,0.04419417382415922
30.0,16.0,16.0,2.0,-20.81020795290436,-35.464699565382,14.654491612477635,-36.7559448468934,15.945736893989045,-37.60843712008851,16.798229167184147,2.14373755470651,1.0875,0.9765625,0.9908906947680278,0.23374155953202114,0.0625
