seed,n_targets,sample_index,selected_threshold_db,gate_depth,gate_nmse_db,fixed_depth_nmse_db,gate_gap_vs_fixed_db,gate_depth_savings_percent
20260624.0,16.0,0.0,0.5,6.0,-15.370142286824034,-15.814934622465326,0.44479233564129217,25.0
20260624.0,16.0,1.0,0.5,7.0,-17.155011020258307,-17.302335937563324,0.14732491730501707,12.5
20260624.0,16.0,2.0,0.5,6.0,-15.027582317697918,-15.305684376553492,0.2781020588555734,25.0
20260624.0,16.0,3.0,0.5,7.0,-15.8423636780016,-15.991724440434123,0.14936076243252216,12.5
20260624.0,16.0,4.0,0.5,7.0,-17.213810328772276,-17.347825043022084,0.13401471424980826,12.5
20260624.0,32.0,0.0,0.75,6.0,-16.248928368906675,-16.636873679298752,0.3879453103920767,25.0
20260624.0,32.0,1.0,0.75,5.0,-12.261828948237305,-12.675564240854433,0.4137352926171278,37.5
20260624.0,32.0,2.0,0.75,7.0,-18.776084916948317,-19.006720200339295,0.23063528339097772,12.5
20260624.0,32.0,3.0,0.75,6.0,-14.07726582099591,-14.329780424152258,0.25251460315634766,25.0
20260624.0,32.0,4.0,0.75,7.0,-16.799552728734785,-16.895901740320173,0.09634901158538867,12.5
20260624.0,64.0,0.0,0.75,6.0,-14.826449978167503,-15.218984706597524,0.3925347284300216,25.0
20260624.0,64.0,1.0,0.75,6.0,-15.026692874185992,-15.29355325543757,0.26686038125157907,25.0
20260624.0,64.0,2.0,0.75,6.0,-14.766819494418378,-15.063334529671755,0.2965150352533765,25.0
20260624.0,64.0,3.0,0.75,5.0,-14.012704644467224,-14.596480840266512,0.5837761957992882,37.5
20260624.0,64.0,4.0,0.75,5.0,-14.685144357015965,-15.401823662831218,0.7166793058152532,37.5
20260625.0,16.0,0.0,0.75,5.0,-13.422140996242044,-13.942252608591854,0.52011161234981,37.5
20260625.0,16.0,1.0,0.75,5.0,-13.783263373501436,-14.35914282639395,0.5758794528925133,37.5
20260625.0,16.0,2.0,0.75,7.0,-18.57266439293459,-18.783091309972445,0.21042691703785366,12.5
20260625.0,16.0,3.0,0.75,6.0,-14.189119113418812,-14.47003462382943,0.2809155104106189,25.0
20260625.0,16.0,4.0,0.75,5.0,-13.854405454346148,-14.410793531743586,0.5563880773974379,37.5
20260625.0,32.0,0.0,0.75,6.0,-16.682570319357314,-17.094767328508134,0.4121970091508196,25.0
20260625.0,32.0,1.0,0.75,6.0,-14.935741169983574,-15.22943953891384,0.2936983689302668,25.0
20260625.0,32.0,2.0,0.75,5.0,-13.378227448341242,-13.950849706131084,0.5726222577898419,37.5
20260625.0,32.0,3.0,0.75,5.0,-11.992940220434821,-12.301319563631212,0.3083793431963908,37.5
20260625.0,32.0,4.0,0.75,6.0,-14.077945265664356,-14.29450683254639,0.21656156688203332,25.0
20260625.0,64.0,0.0,0.75,6.0,-14.43279480383036,-14.69262602336835,0.2598312195379897,25.0
20260625.0,64.0,1.0,0.75,6.0,-14.661390779586947,-14.91113270297721,0.24974192339026224,25.0
20260625.0,64.0,2.0,0.75,6.0,-14.50210293413779,-14.758992776942495,0.2568898428047053,25.0
20260625.0,64.0,3.0,0.75,6.0,-15.594031573533712,-16.0281354250277,0.4341038514939868,25.0
20260625.0,64.0,4.0,0.75,6.0,-16.99752343568719,-17.490669589094953,0.49314615340776413,25.0
20260626.0,16.0,0.0,0.5,6.0,-17.548345507549232,-17.992800250711596,0.444454743162364,25.0
20260626.0,16.0,1.0,0.5,6.0,-15.808228221602349,-16.123855496589858,0.3156272749875093,25.0
20260626.0,16.0,2.0,0.5,6.0,-15.5773522562696,-15.935063292701976,0.35771103643237545,25.0
20260626.0,16.0,3.0,0.5,6.0,-14.477058429205696,-14.726957805340417,0.2498993761347208,25.0
20260626.0,16.0,4.0,0.5,6.0,-14.593462331200413,-14.846710977378109,0.2532486461776955,25.0
20260626.0,32.0,0.0,0.75,6.0,-15.338671383389528,-15.651348738127007,0.31267735473747926,25.0
20260626.0,32.0,1.0,0.75,6.0,-18.146737489508876,-18.845882153534063,0.6991446640251873,25.0
20260626.0,32.0,2.0,0.75,6.0,-15.875006306094381,-16.210547610020573,0.33554130392619186,25.0
20260626.0,32.0,3.0,0.75,6.0,-14.835413697311651,-15.09790722112345,0.26249352381179847,25.0
20260626.0,32.0,4.0,0.75,6.0,-16.508099311759068,-16.979380660529202,0.47128134877013395,25.0
20260626.0,64.0,0.0,0.5,6.0,-15.679168916917938,-15.973669648195731,0.2945007312777932,25.0
20260626.0,64.0,1.0,0.5,6.0,-15.212559905909117,-15.479469857767798,0.2669099518586808,25.0
20260626.0,64.0,2.0,0.5,6.0,-16.12055550137596,-16.482731242534097,0.36217574115813633,25.0
20260626.0,64.0,3.0,0.5,6.0,-15.628206403038849,-15.973163497978648,0.3449570949397991,25.0
20260626.0,64.0,4.0,0.5,6.0,-14.969817911786826,-15.256212210046428,0.2863942982596015,25.0
20260627.0,16.0,0.0,0.5,8.0,-20.062436910350797,-20.062436910350797,0.0,0.0
20260627.0,16.0,1.0,0.5,6.0,-14.859038575820156,-15.11801696768357,0.25897839186341365,25.0
20260627.0,16.0,2.0,0.5,7.0,-18.232530997730393,-18.45808821626712,0.2255572185367285,12.5
20260627.0,16.0,3.0,0.5,6.0,-13.767979748048909,-13.960807362306738,0.1928276142578298,25.0
20260627.0,16.0,4.0,0.5,6.0,-14.789567775816582,-15.070710776372811,0.281143000556229,25.0
20260627.0,32.0,0.0,0.75,5.0,-14.934607328331179,-15.732135935891144,0.7975286075599648,37.5
20260627.0,32.0,1.0,0.75,5.0,-13.930420252923,-14.466886275169557,0.5364660222465574,37.5
20260627.0,32.0,2.0,0.75,6.0,-17.226804773748025,-17.77145754878474,0.5446527750367132,25.0
20260627.0,32.0,3.0,0.75,6.0,-16.08215491679324,-16.49549692034659,0.4133420035533497,25.0
20260627.0,32.0,4.0,0.75,6.0,-15.124273767056097,-15.310824718804755,0.1865509517486572,25.0
20260627.0,64.0,0.0,0.75,6.0,-15.951894488451552,-16.323945183745508,0.3720506952939555,25.0
20260627.0,64.0,1.0,0.75,6.0,-17.697012606633844,-18.260667481349124,0.5636548747152794,25.0
20260627.0,64.0,2.0,0.75,6.0,-15.876040215448349,-16.193551086783554,0.3175108713352053,25.0
20260627.0,64.0,3.0,0.75,6.0,-15.145353402262296,-15.38548971595338,0.24013631369108346,25.0
20260627.0,64.0,4.0,0.75,6.0,-15.893371681063176,-16.297400194693957,0.40402851363078085,25.0
20260628.0,16.0,0.0,0.35,6.0,-12.272853107282426,-12.404691510264767,0.13183840298234095,25.0
20260628.0,16.0,1.0,0.35,8.0,-18.369230937163287,-18.369230937163287,0.0,0.0
20260628.0,16.0,2.0,0.35,6.0,-14.179772468359273,-14.400811939577014,0.22103947121774148,25.0
20260628.0,16.0,3.0,0.35,8.0,-22.45419051899973,-22.45419051899973,0.0,0.0
20260628.0,16.0,4.0,0.35,7.0,-15.255226847194445,-15.352192751234776,0.09696590404033145,12.5
20260628.0,32.0,0.0,0.75,7.0,-17.29884960974696,-17.491922624874412,0.19307301512745312,12.5
20260628.0,32.0,1.0,0.75,6.0,-17.435799459117952,-18.00697772538641,0.5711782662684577,25.0
20260628.0,32.0,2.0,0.75,6.0,-15.906696610003731,-16.143293654702862,0.23659704469913123,25.0
20260628.0,32.0,3.0,0.75,5.0,-14.693829414040799,-15.494450820180335,0.8006214061395358,37.5
20260628.0,32.0,4.0,0.75,6.0,-14.980948862026022,-15.32505942049074,0.3441105584647186,25.0
20260628.0,64.0,0.0,0.75,6.0,-16.41491927964355,-16.827051009353905,0.4121317297103566,25.0
20260628.0,64.0,1.0,0.75,6.0,-16.62901728325148,-17.120980416783954,0.4919631335324759,25.0
20260628.0,64.0,2.0,0.75,6.0,-16.355898287021084,-16.71808015218757,0.3621818651664874,25.0
20260628.0,64.0,3.0,0.75,5.0,-14.288721212027692,-14.916241657374151,0.6275204453464589,37.5
20260628.0,64.0,4.0,0.75,5.0,-13.935928660192165,-14.34648500037158,0.410556340179415,37.5
