parameter,rmse_log10_slope_per_db,crlb_log10_slope_per_db,rmse_slope_error_vs_expected,crlb_slope_error_vs_expected,rmse_crlb_ratio_at_30db
angle,-0.049843092100632105,-0.05000000000000001,0.0001569078993678974,6.938893903907228e-18,0.9388984266352093
delay,-0.03606000101382724,-0.05000000000000001,0.013939998986172764,6.938893903907228e-18,1.5008733999068284
doppler,-0.04149790500191371,-0.05000000000000004,0.008502094998086296,3.469446951953614e-17,0.8751263963493529
gain_re,-0.05558835761900612,-0.05000000000000005,0.005588357619006119,4.85722573273506e-17,0.6996857655509221
gain_im,-0.04458503641542049,-0.05000000000000004,0.005414963584579512,3.469446951953614e-17,1.018896068534051
