seed,snr_db,split,threshold_db,mean_depth,mean_depth_savings_percent,min_depth_savings_percent,mean_nmse_gap_db,max_nmse_gap_db
20260624.0,30.0,test,0.2,7.0,12.5,12.5,0.10480595054248631,0.10598554167353136
20260624.0,30.0,test,0.25,7.0,12.5,12.5,0.10480595054248631,0.10598554167353136
20260624.0,30.0,test,0.35,7.0,12.5,12.5,0.10480595054248631,0.10598554167353136
20260624.0,30.0,test,0.5,6.0,25.0,25.0,0.2440243822236674,0.2977184172563909
20260624.0,30.0,test,0.75,6.0,25.0,25.0,0.2440243822236674,0.2977184172563909
20260624.0,30.0,test,1.0,5.5,31.25,25.0,0.45544848325961595,0.613178549262841
20260625.0,10.0,train,0.005,8.0,0.0,0.0,0.0,0.0
20260625.0,10.0,train,0.01,8.0,0.0,0.0,0.0,0.0
20260625.0,10.0,train,0.02,8.0,0.0,0.0,0.0,0.0
20260625.0,10.0,train,0.035,8.0,0.0,0.0,0.0,0.0
20260625.0,10.0,train,0.05,8.0,0.0,0.0,0.0,0.0
20260625.0,10.0,train,0.075,8.0,0.0,0.0,0.0,0.0
20260625.0,10.0,train,0.1,8.0,0.0,0.0,0.0,0.0
20260625.0,10.0,train,0.15,8.0,0.0,0.0,0.0,0.0
20260625.0,10.0,train,0.2,8.0,0.0,0.0,0.0,0.0
20260625.0,10.0,train,0.25,7.0,12.5,0.0,0.1457576363433022,0.2915152726866044
20260625.0,10.0,train,0.35,6.5,18.75,12.5,0.20827839661759828,0.2915152726866044
20260625.0,10.0,train,0.5,6.5,18.75,12.5,0.20827839661759828,0.2915152726866044
20260625.0,10.0,train,0.75,6.0,25.0,25.0,0.37079439944714654,0.4500735262076887
20260625.0,10.0,train,1.0,5.5,31.25,25.0,0.4871846527253956,0.5242957792431024
20260625.0,10.0,test,0.005,8.0,0.0,0.0,0.0,0.0
20260625.0,10.0,test,0.01,8.0,0.0,0.0,0.0,0.0
20260625.0,10.0,test,0.02,8.0,0.0,0.0,0.0,0.0
20260625.0,10.0,test,0.035,8.0,0.0,0.0,0.0,0.0
20260625.0,10.0,test,0.05,8.0,0.0,0.0,0.0,0.0
20260625.0,10.0,test,0.075,8.0,0.0,0.0,0.0,0.0
20260625.0,10.0,test,0.1,8.0,0.0,0.0,0.0,0.0
20260625.0,10.0,test,0.15,8.0,0.0,0.0,0.0,0.0
20260625.0,10.0,test,0.2,7.5,6.25,0.0,0.04125553624834133,0.08251107249668266
20260625.0,10.0,test,0.25,7.5,6.25,0.0,0.04125553624834133,0.08251107249668266
20260625.0,10.0,test,0.35,7.5,6.25,0.0,0.04125553624834133,0.08251107249668266
20260625.0,10.0,test,0.5,7.0,12.5,0.0,0.1275386505594529,0.2550773011189058
20260625.0,10.0,test,0.75,6.5,18.75,12.5,0.22455593358669645,0.2550773011189058
20260625.0,10.0,test,1.0,5.5,31.25,25.0,0.6691004690661329,0.7146722151569413
20260625.0,20.0,train,0.005,8.0,0.0,0.0,0.0,0.0
20260625.0,20.0,train,0.01,8.0,0.0,0.0,0.0,0.0
20260625.0,20.0,train,0.02,8.0,0.0,0.0,0.0,0.0
20260625.0,20.0,train,0.035,8.0,0.0,0.0,0.0,0.0
20260625.0,20.0,train,0.05,8.0,0.0,0.0,0.0,0.0
20260625.0,20.0,train,0.075,8.0,0.0,0.0,0.0,0.0
20260625.0,20.0,train,0.1,8.0,0.0,0.0,0.0,0.0
20260625.0,20.0,train,0.15,8.0,0.0,0.0,0.0,0.0
20260625.0,20.0,train,0.2,7.5,6.25,0.0,0.032789454305266474,0.06557890861053295
20260625.0,20.0,train,0.25,7.0,12.5,12.5,0.07095650094235051,0.07633409327416807
20260625.0,20.0,train,0.35,7.0,12.5,12.5,0.07095650094235051,0.07633409327416807
20260625.0,20.0,train,0.5,6.0,25.0,25.0,0.2700900165423521,0.2810001277099463
20260625.0,20.0,train,0.75,6.0,25.0,25.0,0.2700900165423521,0.2810001277099463
20260625.0,20.0,train,1.0,5.0,37.5,37.5,0.6773257895481999,0.6867050109552935
20260625.0,20.0,test,0.005,8.0,0.0,0.0,0.0,0.0
20260625.0,20.0,test,0.01,8.0,0.0,0.0,0.0,0.0
20260625.0,20.0,test,0.02,8.0,0.0,0.0,0.0,0.0
20260625.0,20.0,test,0.035,8.0,0.0,0.0,0.0,0.0
20260625.0,20.0,test,0.05,8.0,0.0,0.0,0.0,0.0
20260625.0,20.0,test,0.075,8.0,0.0,0.0,0.0,0.0
20260625.0,20.0,test,0.1,8.0,0.0,0.0,0.0,0.0
20260625.0,20.0,test,0.15,8.0,0.0,0.0,0.0,0.0
20260625.0,20.0,test,0.2,8.0,0.0,0.0,0.0,0.0
20260625.0,20.0,test,0.25,8.0,0.0,0.0,0.0,0.0
20260625.0,20.0,test,0.35,7.5,6.25,0.0,0.09404095512378419,0.18808191024756837
20260625.0,20.0,test,0.5,7.0,12.5,12.5,0.1535394085137689,0.18808191024756837
20260625.0,20.0,test,0.75,6.0,25.0,25.0,0.5170411579911498,0.5375594923308213
20260625.0,20.0,test,1.0,6.0,25.0,25.0,0.5170411579911498,0.5375594923308213
20260625.0,30.0,train,0.005,8.0,0.0,0.0,0.0,0.0
20260625.0,30.0,train,0.01,8.0,0.0,0.0,0.0,0.0
20260625.0,30.0,train,0.02,8.0,0.0,0.0,0.0,0.0
20260625.0,30.0,train,0.035,8.0,0.0,0.0,0.0,0.0
20260625.0,30.0,train,0.05,8.0,0.0,0.0,0.0,0.0
20260625.0,30.0,train,0.075,8.0,0.0,0.0,0.0,0.0
20260625.0,30.0,train,0.1,8.0,0.0,0.0,0.0,0.0
20260625.0,30.0,train,0.15,8.0,0.0,0.0,0.0,0.0
20260625.0,30.0,train,0.2,7.5,6.25,0.0,0.0315408002343851,0.0630816004687702
20260625.0,30.0,train,0.25,7.5,6.25,0.0,0.0315408002343851,0.0630816004687702
20260625.0,30.0,train,0.35,7.0,12.5,12.5,0.07882880890783639,0.09457601734690257
20260625.0,30.0,train,0.5,6.5,18.75,12.5,0.16317829766859315,0.23178057799028373
20260625.0,30.0,train,0.75,5.5,31.25,25.0,0.4842338256677037,0.5970116143112367
20260625.0,30.0,train,1.0,5.5,31.25,25.0,0.4842338256677037,0.5970116143112367
20260625.0,30.0,test,0.005,8.0,0.0,0.0,0.0,0.0
20260625.0,30.0,test,0.01,8.0,0.0,0.0,0.0,0.0
20260625.0,30.0,test,0.02,8.0,0.0,0.0,0.0,0.0
20260625.0,30.0,test,0.035,8.0,0.0,0.0,0.0,0.0
20260625.0,30.0,test,0.05,8.0,0.0,0.0,0.0,0.0
20260625.0,30.0,test,0.075,8.0,0.0,0.0,0.0,0.0
20260625.0,30.0,test,0.1,8.0,0.0,0.0,0.0,0.0
20260625.0,30.0,test,0.15,8.0,0.0,0.0,0.0,0.0
20260625.0,30.0,test,0.2,7.5,6.25,0.0,0.038506620242251266,0.07701324048450253
20260625.0,30.0,test,0.25,7.5,6.25,0.0,0.038506620242251266,0.07701324048450253
20260625.0,30.0,test,0.35,6.5,18.75,12.5,0.17883247917049339,0.2564940531226405
20260625.0,30.0,test,0.5,6.0,25.0,25.0,0.3442196774444728,0.4319453017663051
20260625.0,30.0,test,0.75,6.0,25.0,25.0,0.3442196774444728,0.4319453017663051
20260625.0,30.0,test,1.0,6.0,25.0,25.0,0.3442196774444728,0.4319453017663051
