seed,snr_db,l_value,mean_delay_alpha,mean_angle_alpha,mean_grid_nmse_db,mean_model_nmse_db,mean_grid_delay_rmse_bins,mean_model_delay_rmse_bins,mean_grid_angle_rmse_bins,mean_model_angle_rmse_bins
20260624.0,0.0,4.0,0.846646610478498,1.0513934232533357,-7.303575539288834,-11.92871405097353,5.416038155435836,5.401777056167432,0.4746363980949197,0.4290106363588916
20260624.0,0.0,8.0,0.8484638138022476,0.9917577343556219,-5.56098304221006,-7.645582334381578,5.626321164321286,5.648679629254964,0.827046515714656,0.827964202646386
20260624.0,0.0,16.0,0.763739646721754,0.9573071036885831,-4.749367741343615,-6.38168710520627,3.575758490132828,3.555045488024308,0.7737047736995816,0.8320731553881484
20260624.0,10.0,4.0,0.692571125104993,0.6646355680972592,-6.595170992489161,-12.241156052212183,6.035061088337725,6.116346221070838,0.25238395349992393,0.25321130358773003
20260624.0,10.0,8.0,0.7466836890386584,0.7210440970468017,-7.11057476182304,-11.293946852160568,4.283039949471738,4.317117890596673,0.777679433922758,0.7478264650560628
20260624.0,10.0,16.0,0.8394924948228876,0.7082728028532981,-7.299176632890825,-11.676071738813603,2.901141535593183,2.9309859578513833,0.5108418737754905,0.4886621136067164
20260624.0,20.0,4.0,0.8079554003984356,0.8231639360138165,-6.453836680032993,-15.56112012594003,1.569717486408496,1.5051389767335295,0.4555171183047788,0.3420777653887353
20260624.0,20.0,8.0,0.7430031179217981,0.5964452119492704,-6.492201844376173,-11.021754354690685,5.447587234302728,5.4141907082297696,0.7855143814135707,0.8110595223514291
20260624.0,20.0,16.0,0.9281290155944226,0.7774449458577917,-7.586873065106028,-11.79345569336893,3.418662586259,3.447675364709083,0.690132864101691,0.7106371047299141
20260624.0,30.0,4.0,0.8361009658024587,0.9948690590427108,-6.706508825400841,-13.08609462122719,3.446321267908904,3.4791651664587553,0.6651535173119492,0.6576640280783239
20260624.0,30.0,8.0,0.892396454285232,0.8848595616796164,-7.6391196896625315,-12.298077680991632,5.726189682869856,5.755383046690955,0.6431864485955214,0.6873665714764919
20260624.0,30.0,16.0,0.8199673025633749,0.7199089659549485,-7.769002454810985,-12.655772849124576,4.106413560565601,4.166321174495803,0.8469476630800312,0.8347981416249315
