snr_db,n_targets,mean_nmse_db,mean_support_recall,mean_delay_rmse_bins,mean_crlb_proxy_db
10.0,1,-44.26456720083404,1.0,0.0,-40.10299956639812
10.0,3,-35.7594526884366,0.9916666666666666,0.045643546458763846,-35.33178701920149
10.0,5,-33.80117394030533,1.0,0.0,-33.11329952303793
20.0,1,-53.42542276230745,1.0,0.0,-50.102999566398125
20.0,3,-45.890764242567954,1.0,0.0,-45.3317870192015
20.0,5,-43.16778234697342,1.0,0.0,-43.11329952303793
30.0,1,-61.62178455987938,1.0,0.0,-60.102999566398125
30.0,3,-55.494708771960575,1.0,0.0,-55.331787019201485
30.0,5,-53.52244304120338,1.0,0.0,-53.113299523037924
