seed,snr_db,l_value,mean_delay_alpha,mean_angle_alpha,mean_grid_nmse_db,mean_model_nmse_db,mean_grid_delay_rmse_bins,mean_model_delay_rmse_bins,mean_grid_angle_rmse_bins,mean_model_angle_rmse_bins,mean_local_grid_delay_rmse_bins,mean_local_model_delay_rmse_bins,mean_local_grid_angle_rmse_bins,mean_local_model_angle_rmse_bins
20260624.0,0.0,4.0,0.7859151446158961,0.8340497048971769,-7.790680559094722,-11.249021186605834,4.650716254636947,4.6583492640845225,0.5604301776864797,0.5340457009843822,0.25773163863714577,0.13490168537789668,0.263268398066106,0.1153442020621627
20260624.0,0.0,8.0,0.7777398781114159,0.8436413219751928,-5.742467909399412,-8.803258889799046,5.025619085896559,5.0850633470804425,0.6474038555412409,0.6383281120495984,0.22563377499856996,0.12776674564550025,0.21302776834787773,0.12776083759513313
20260624.0,0.0,16.0,0.6868945310256892,0.8314356138597296,-4.657778511303542,-6.047641959350249,4.127300280995513,4.150837054959989,0.816584281137459,0.8432547570934965,0.27163557165211005,0.16806423523916508,0.26075230434062274,0.13503263840659172
20260624.0,10.0,4.0,0.9326199090210894,0.8983575134584971,-6.516067480910815,-12.923966624725212,4.9074337304991245,4.942720569842758,0.6565816269011266,0.640691117227233,0.2649465530651412,0.13333877294355104,0.2048223554174179,0.06628297321513299
20260624.0,10.0,8.0,0.887557831000094,0.8360117381299706,-7.357149179663338,-12.452722781663375,3.5635149462862423,3.5729786824591954,0.5074737678554697,0.4579589175693609,0.2072183699013837,0.08901506320242572,0.20362453861767116,0.12213729695401415
20260624.0,10.0,16.0,0.9015540177472825,0.9414055115409945,-6.996578873995972,-11.048146055672186,4.014469122005425,4.059728350286279,0.6320992670935849,0.6438985383368603,0.23334767332612769,0.12915969128068153,0.27293860812970383,0.18938552433455008
20260624.0,20.0,4.0,1.0070447777025273,0.9217368609697973,-8.222519044964905,-14.327537343658857,3.5838117546561934,3.539708841362766,0.2929758131256229,0.27488527404008767,0.1643867312163144,0.06698752001070725,0.19778261914620274,0.0638651237590531
20260624.0,20.0,8.0,0.8913972462974249,0.889203383122477,-7.281609428233406,-12.488118547280513,5.341605958857464,5.37427616161314,0.6159709179252064,0.6306536714111026,0.20019175211368673,0.09280890392323293,0.28747580284151164,0.15603935125673554
20260624.0,20.0,16.0,0.795971287949756,0.7541308773471895,-7.828681870441427,-12.702037572395223,3.112027772047521,3.1371388536934446,0.7137341796365904,0.7161337062695106,0.24635673802973881,0.13316387228877008,0.21920611381554106,0.12217403519595903
20260624.0,30.0,4.0,0.9488437742596963,0.785038127197927,-7.812075783900349,-15.036977612713535,2.6114377508996527,2.58054999509197,0.4323281595599535,0.3494356336311968,0.2569046707262616,0.08998119578052126,0.18334711452484057,0.07116155836948834
20260624.0,30.0,8.0,0.8367794334239702,0.7667579586754021,-8.409110108900776,-13.858609123391155,4.007404793318626,3.9843423562773848,0.6313873592665518,0.6105490556063833,0.22902576719849888,0.13926807177971562,0.2128443846509097,0.1366145457875399
20260624.0,30.0,16.0,0.8834508887088224,0.8529288342230688,-7.704349223298391,-13.291736529648059,3.794815873560347,3.824106512793625,0.6906819794742269,0.738089711392691,0.26968603940851177,0.21040066466398735,0.2274332485803429,0.14293928194248978
20260625.0,0.0,4.0,0.8910276314585928,0.8425890328531394,-7.221047934375253,-10.644088189640259,6.734893866614162,6.741959451175226,0.5856581541527758,0.5664026039343755,0.19091222765819826,0.08910218018726099,0.26297791872948195,0.11556789305610757
20260625.0,0.0,8.0,0.893198418357346,0.7962918180995352,-6.203016096072291,-8.634166871019714,5.061367315191012,5.093665565132322,0.7373152557784766,0.7949633269367189,0.22534781004510468,0.1424359244547499,0.22895204331860997,0.1156857229158739
20260625.0,0.0,16.0,0.7667660329491666,0.6799857129352908,-4.725154158690238,-6.26859700642083,3.894630462302713,3.910891424270268,0.7217503988393019,0.7219044391234992,0.26703135465736677,0.178974094987138,0.26732557896111775,0.24092343133678268
20260625.0,10.0,4.0,0.852373011407031,0.9645965288466652,-7.070979101799572,-12.995286855590692,5.09508201411364,5.1014628350589195,0.6135678099857089,0.5674207805959335,0.2722926713620531,0.11478429121787231,0.2735857485999242,0.12450444676719724
20260625.0,10.0,8.0,0.8398886373118859,0.9724726482774264,-7.82511990109052,-13.132814006484082,3.9747185362049904,4.003984548810704,0.5753284897387605,0.5573217900983134,0.23220611352992643,0.1313089180949747,0.2298589908784824,0.13346508940116517
