threshold_db,mean_depth,mean_nmse_gap_db,mean_depth_savings_percent,min_depth_savings_percent,max_depth_savings_percent
0.05,8.0,0.0,0.0,0.0,0.0
0.1,7.833333333333333,0.005363573527840633,2.0833333333333335,0.0,12.5
0.2,7.5,0.02551394813051881,6.25,0.0,12.5
0.35,6.833333333333333,0.11679550933439693,14.583333333333334,0.0,25.0
0.5,6.5,0.1880728129927792,18.75,0.0,37.5
0.75,5.833333333333333,0.37201306988396016,27.083333333333332,12.5,37.5
1.0,5.166666666666667,0.8022748757240749,35.416666666666664,25.0,62.5
