snr_db,l_value,n_users,n_bs,mean_grid_channel_nmse_db,mean_source_alpha_channel_nmse_db,mean_source_alpha_gain_vs_grid_db,mean_bounded_refine_channel_nmse_db,mean_bounded_gain_vs_grid_db,mean_oracle_alpha_channel_nmse_db,mean_oracle_alpha_gain_vs_grid_db,mean_source_alpha_gap_vs_oracle_db,mean_oracle_alpha,mean_support_recall,mean_dominant_energy_recall,mean_delay_bin_rmse,mean_tx_bin_rmse
0.0,4.0,100.0,2.0,-8.649450274745103,-9.78139908291298,1.1319488081678797,-9.222974053536264,0.5735237787911612,-10.063456372222213,1.4140060974771098,0.28205728930923035,0.548,0.6,0.9407363330565146,8.989938671257589,0.33656854249492385
0.0,8.0,100.0,2.0,-6.435571386134658,-6.655993685519274,0.22042229938461397,-6.444461157119906,0.008889770985246837,-6.894015814058544,0.45844442792388235,0.2380221285392684,0.5320000000000001,0.41,0.9504005332914639,12.458160388332642,0.45583353328949483
0.0,16.0,100.0,2.0,-4.232277909728483,-4.060816807844791,-0.1714611018836908,-4.007754962669431,-0.2245229470590513,-4.348686527466281,0.11640861773779947,0.28786971962149027,0.40800000000000014,0.316875,0.9593158798129093,13.392218903465734,0.5080190402833253
10.0,4.0,100.0,2.0,-14.255741543451572,-21.097894594925947,6.842153051474373,-19.49300253046875,5.237260987017175,-21.990055797299707,7.734314253848132,0.8921612023737592,0.6539999999999999,0.9175,0.9635111882394333,0.2607837330710243,0.105
10.0,8.0,100.0,2.0,-14.984312293541672,-19.04762176117221,4.063309467630535,-18.846207357924246,3.8618950643825714,-19.504892174818078,4.520579881276406,0.45727041364587206,0.84,0.77375,0.9782976904213847,4.3915195851684725,0.2902227501239312
10.0,16.0,100.0,2.0,-13.637525805584124,-15.127558026591549,1.4900322210074228,-15.131669673415114,1.494143867830989,-15.431794343826223,1.7942685382420964,0.3042363172346734,0.954,0.57625,0.9839776914055368,9.582015538875348,0.4283375036894628
20.0,4.0,100.0,2.0,-14.832723238757678,-24.163640711272507,9.330917472514821,-22.103425977360313,7.270702738602637,-25.68860892423753,10.855885685479862,1.5249682129650382,0.674,0.985,0.9649796778227047,0.0282842712474619,0.025
20.0,8.0,100.0,2.0,-17.71180884441963,-28.637947925872936,10.926139081453309,-28.818930445456857,11.107121601037223,-29.776260269687306,12.06445142526767,1.1383123438143665,0.8779999999999998,0.945,0.9826155070967366,0.2883779840182194,0.07071067811865475
20.0,16.0,100.0,2.0,-19.926231583338776,-27.512392620288114,7.586161036949336,-27.632137180012055,7.705905596673272,-27.9987256099213,8.072494026582525,0.48633298963318855,0.9819999999999999,0.875,0.9908955751062369,1.8649426669017886,0.168398669513846
30.0,4.0,100.0,2.0,-14.88742378860853,-25.20160340724532,10.314179618636793,-22.770324306122546,7.882900517514016,-26.876896336289516,11.989472547680993,1.6752929290441982,0.676,0.9975,0.9650743762622307,0.007071067811865475,0.005
30.0,8.0,100.0,2.0,-17.963611123408292,-32.41515546818192,14.45154434477363,-32.68002152485167,14.716410401443373,-34.784682006259565,16.82107088285128,2.3695265380776487,0.8819999999999999,0.98375,0.9828903951254938,0.08096011838247805,0.038890872965260115
30.0,16.0,100.0,2.0,-20.989818212696896,-35.46475989885587,14.47494168615897,-36.25425749608044,15.264439283383554,-37.090896058115305,16.101077845418416,1.6261361592594468,1.068,0.965,0.9915821838649751,0.3471496017761861,0.08103553390593272
