profile,seed,snr_db,l_value,sample_index,grid_channel_nmse_db,candan_channel_nmse_db,candan_gain_vs_grid_db,candan_harmful_update
A,20260628,0.0,4,0,-9.111543483191411,-14.040436065974601,4.92889258278319,0
A,20260628,0.0,4,1,-8.360263239420213,-12.406582915753827,4.046319676333614,0
A,20260628,0.0,4,2,-5.728438559993723,-17.334499096690422,11.606060536696699,0
A,20260628,0.0,4,3,-4.4643332565636165,-10.492441798457392,6.028108541893776,0
A,20260628,0.0,4,4,-7.900130211371951,-14.99742455093498,7.097294339563029,0
A,20260628,0.0,4,5,-4.467118846916137,-11.702966954108456,7.235848107192319,0
A,20260628,0.0,4,6,-10.860251257221353,-17.7171349566663,6.856883699444946,0
A,20260628,0.0,4,7,-8.50377131843674,-11.713557213771711,3.2097858953349707,0
A,20260628,0.0,4,8,-7.369026918027121,-13.38126294966665,6.01223603163953,0
A,20260628,0.0,4,9,-6.438214316189134,-11.997260754869178,5.559046438680044,0
A,20260628,0.0,4,10,-5.537472024063788,-7.963359886448201,2.425887862384413,0
A,20260628,0.0,4,11,-6.780171495164682,-14.701411362346146,7.921239867181464,0
A,20260628,0.0,4,12,-7.0484798447326416,-14.531616128271668,7.483136283539027,0
A,20260628,0.0,4,13,-8.677030027416725,-14.89537076676682,6.218340739350095,0
A,20260628,0.0,4,14,-9.055357467815146,-13.358419452059138,4.3030619842439926,0
A,20260628,0.0,4,15,-8.283025544640438,-15.438499119480083,7.155473574839645,0
A,20260628,0.0,4,16,-8.079969277534936,-15.104808660884544,7.024839383349608,0
A,20260628,0.0,4,17,-5.124240223725652,-16.25438233473318,11.130142111007528,0
A,20260628,0.0,4,18,-8.095630628153696,-14.712586881880906,6.61695625372721,0
A,20260628,0.0,4,19,-7.686448896546089,-19.389440974821312,11.702992078275223,0
A,20260628,0.0,4,20,-7.356530864041119,-14.101908388496405,6.745377524455286,0
A,20260628,0.0,4,21,-7.599196150828003,-14.216208188263746,6.617012037435743,0
A,20260628,0.0,4,22,-7.453667984523754,-11.979969122525421,4.526301138001667,0
A,20260628,0.0,4,23,-9.083533655926798,-15.926308759464828,6.842775103538029,0
A,20260628,0.0,4,24,-5.723471689793399,-12.177778867273217,6.4543071774798175,0
A,20260628,0.0,4,25,-7.790716995730299,-10.433778857771632,2.643061862041333,0
A,20260628,0.0,4,26,-7.218261875482331,-16.694415840411963,9.476153964929633,0
A,20260628,0.0,4,27,-6.156694616605015,-13.843649211167744,7.686954594562729,0
A,20260628,0.0,4,28,-6.195658156233818,-18.03340250112013,11.83774434488631,0
A,20260628,0.0,4,29,-7.982973035516917,-16.62252994350533,8.639556907988414,0
A,20260628,0.0,4,30,-8.763834828300483,-13.868653697331418,5.104818869030934,0
A,20260628,0.0,4,31,-5.782485867348228,-12.877296323925227,7.094810456576999,0
A,20260628,0.0,4,32,-7.106304014725724,-15.818698746549533,8.712394731823808,0
A,20260628,0.0,4,33,-5.6913767235464405,-15.575901028114231,9.88452430456779,0
A,20260628,0.0,4,34,-8.196251890250322,-17.694300887981612,9.49804899773129,0
A,20260628,0.0,4,35,-9.335885693898394,-15.48050142461629,6.144615730717897,0
A,20260628,0.0,4,36,-7.736595146925309,-13.925775951132628,6.18918080420732,0
A,20260628,0.0,4,37,-4.251172319990871,-10.49273200590591,6.24155968591504,0
A,20260628,0.0,4,38,-6.909092118331726,-17.63234877070549,10.723256652373765,0
A,20260628,0.0,4,39,-6.448938090267261,-19.48598630820199,13.037048217934728,0
A,20260628,0.0,4,40,-6.940560340580063,-15.667737128841706,8.727176788261643,0
A,20260628,0.0,4,41,-6.574213024556762,-14.894524583598818,8.320311559042056,0
A,20260628,0.0,4,42,-7.117051410710352,-13.614008765002687,6.496957354292335,0
A,20260628,0.0,4,43,-6.669178334792662,-8.262531176217248,1.5933528414245863,0
A,20260628,0.0,4,44,-7.246064806249035,-15.757498015012148,8.511433208763112,0
A,20260628,0.0,4,45,-8.565419799649192,-13.371127941348123,4.805708141698931,0
A,20260628,0.0,4,46,-7.503820038400789,-12.456152544878083,4.952332506477294,0
A,20260628,0.0,4,47,-6.884563938070563,-14.427221068535179,7.542657130464615,0
A,20260628,0.0,4,48,-5.84701480394359,-12.966133924087242,7.119119120143652,0
A,20260628,0.0,4,49,-7.7630076281657345,-14.049601224464407,6.2865935962986725,0
A,20260628,0.0,8,0,-8.936781964750605,-11.889221433992883,2.952439469242279,0
A,20260628,0.0,8,1,-6.891850790939346,-8.848074014839856,1.9562232239005102,0
A,20260628,0.0,8,2,-6.739083905160376,-13.084422259136275,6.345338353975899,0
A,20260628,0.0,8,3,-7.289149663332574,-11.108524345065444,3.81937468173287,0
A,20260628,0.0,8,4,-7.408702539771341,-10.587309871121919,3.1786073313505776,0
A,20260628,0.0,8,5,-5.391663067589779,-10.797299895690998,5.405636828101218,0
A,20260628,0.0,8,6,-8.605832062898463,-10.904157397830518,2.2983253349320556,0
A,20260628,0.0,8,7,-7.562626051107238,-11.671054692716647,4.108428641609408,0
A,20260628,0.0,8,8,-7.56908470849874,-10.83583300428469,3.266748295785951,0
A,20260628,0.0,8,9,-6.414593195763488,-10.437428716667707,4.022835520904219,0
