profile,scene_count,mean_grid_channel_nmse_db,mean_candan_channel_nmse_db,mean_candan_gain_vs_grid_db,gain_ci95_low_db,gain_ci95_high_db,harmful_update_rate
A,3000,-9.648185073017785,-19.871562592489042,10.223377519471256,10.045892047873734,10.400862991068779,0.0
C,3000,-9.968690013164693,-14.876075844933085,4.90738583176839,4.5802308596140815,5.234540803922698,0.034666666666666665
D,3000,-18.286399376579293,-18.570599197659465,0.28419982108017355,0.023044948176471458,0.5453546939838756,0.44433333333333336
