seed,snr_db,n_targets,sample_index,method,measurement_nmse_db,angle_bin_rmse,delay_bin_rmse,doppler_bin_rmse,normalized_joint_bin_rmse,matched_fraction_within_half_bin,wall_clock_ms,gain_vs_grid_db,newton_updates,final_residual_energy
20260630,20.0,2,0,grid_fft_topk_plus_ls,-8.129680729710117,4.457529911746509,3.7785263965775666,4.977777105132871,0.28492248146365906,0.0,7.259500000145636,0.0,,
20260630,20.0,2,0,deterministic_cartesian_local_refinement_plus_ls,-10.594687683286166,4.457529911746509,3.7785263965775666,5.110877876634925,0.28721447760861657,0.5,182.73129999943194,2.465006953576049,,
20260630,20.0,2,0,fixed_source_trained_scalar_interpolation_plus_ls,-10.498457922734563,4.457529911746509,3.7785263965775666,5.06074579114894,0.28634626381545814,0.0,181.27569999978732,2.368777193024446,,
20260630,20.0,2,0,tensor_nomp3d_known_order_v1,-16.30152844918617,0.214834493766159,0.24216959635362698,0.003780926183425746,0.015228832813272128,1.0,735.6582000002163,8.171847719476052,5.0,0.00814272562482782
20260630,20.0,2,1,grid_fft_topk_plus_ls,-6.3738451558185405,0.2693597488988782,0.11765362396380633,0.14735660758942065,0.008927777593923427,1.0,10.619100000440085,0.0,,
20260630,20.0,2,1,deterministic_cartesian_local_refinement_plus_ls,-15.09139744547923,0.08675205523767263,0.04693549287023762,0.07065470481895639,0.0037335863733108593,1.0,203.0359000000317,8.717552289660688,,
20260630,20.0,2,1,fixed_source_trained_scalar_interpolation_plus_ls,-18.184998799479768,0.04147210162466278,0.023505160449436728,0.07184402918552474,0.0027025434257771717,1.0,182.77649999981804,11.811153643661228,,
20260630,20.0,2,1,tensor_nomp3d_known_order_v1,-62.58652935650298,0.00012479458092459666,0.0002450444110776046,0.0002198120767882875,1.6813480401471417e-05,1.0,822.5800999998683,56.212684200684436,9.0,0.028913604036948714
20260630,20.0,4,0,grid_fft_topk_plus_ls,-4.968504167873839,11.34692224520211,1.5912223289530512,2.4049231103094066,0.15296116696140588,0.75,9.963400000742695,0.0,,
20260630,20.0,4,0,deterministic_cartesian_local_refinement_plus_ls,-12.22515167371278,11.458379773526655,1.5845642914079818,2.618612215092773,0.15658217845735564,0.75,376.29980000019714,7.2566475058389415,,
20260630,20.0,4,0,fixed_source_trained_scalar_interpolation_plus_ls,-12.077942087141551,11.418211883690345,1.5851173855604659,2.538434183487348,0.15512881892371963,0.75,381.11770000068645,7.109437919267712,,
20260630,20.0,4,0,tensor_nomp3d_known_order_v1,-9.408929070648455,3.657288807149216,1.9179388357525666,0.34606792052037905,0.12370305929898362,0.5,2194.9662000006356,4.440424902774616,13.0,0.18364905470473378
20260630,20.0,4,1,grid_fft_topk_plus_ls,-3.4680543994513884,0.2833075610287785,0.1439303941696807,0.18018442836613258,0.010840944795319695,1.0,11.908899999980349,0.0,,
20260630,20.0,4,1,deterministic_cartesian_local_refinement_plus_ls,-11.937682010815871,0.08567462161020248,0.06577437039384686,0.08120687202034088,0.004877241678654138,1.0,365.14050000005227,8.469627611364483,,
20260630,20.0,4,1,fixed_source_trained_scalar_interpolation_plus_ls,-10.588236921371452,0.1264814107053263,0.06615733962831245,0.0844471118507911,0.005003742325095907,1.0,390.94480000039766,7.120182521920064,,
20260630,20.0,4,1,tensor_nomp3d_known_order_v1,-4.745551500609832,0.17153794558978475,0.07626009868420287,0.14782068453367497,0.006771410239796402,1.0,2324.8335999996925,1.2774971011584433,15.0,0.6943822687413063
20260630,20.0,8,0,grid_fft_topk_plus_ls,-4.522402600235194,6.99707299771419,0.34681188984694217,1.800280006079794,0.0813824728741972,0.875,21.963099999993574,0.0,,
20260630,20.0,8,0,deterministic_cartesian_local_refinement_plus_ls,-12.732543864221057,6.91523722888051,0.4512513834132763,1.7877117148164852,0.08267503945319012,0.875,763.6382999999114,8.210141263985864,,
20260630,20.0,8,0,fixed_source_trained_scalar_interpolation_plus_ls,-10.32029955746819,6.943918727756758,0.40086265595966936,1.789785834450935,0.08184709844882279,0.875,765.8684999996694,5.797896957232996,,
20260630,20.0,8,0,tensor_nomp3d_known_order_v1,-9.366062793336958,21.289980350162217,1.1516964332096253,0.3903677133078444,0.18164547266530584,0.75,7955.220299999382,4.843660193101765,43.0,0.8376964842202421
20260630,20.0,8,1,grid_fft_topk_plus_ls,-3.974316192977266,18.582000091890084,1.1669279989978176,3.7607919460162793,0.20051474371065683,0.625,22.07989999988058,0.0,,
20260630,20.0,8,1,deterministic_cartesian_local_refinement_plus_ls,-12.532037463169384,18.702338497418964,1.2996669271704215,3.6987019083223416,0.20324040921514996,0.75,740.9096000001227,8.557721270192118,,
20260630,20.0,8,1,fixed_source_trained_scalar_interpolation_plus_ls,-10.03507226202148,18.6587521973264,1.245604196082073,3.7202723198487155,0.20205453506716853,0.75,779.5561000002635,6.0607560690442135,,
20260630,20.0,8,1,tensor_nomp3d_known_order_v1,-6.305811657288024,10.873782688335913,1.937035547835276,2.9287014694400413,0.17392433369444607,0.625,7399.209600000177,2.331495464310758,34.0,1.157036471919816
20260701,20.0,2,0,grid_fft_topk_plus_ls,-5.485664708899019,0.16575679955165445,0.28692394869488225,0.17174610110660612,0.01876341550979167,1.0,6.652799999756098,0.0,,
20260701,20.0,2,0,deterministic_cartesian_local_refinement_plus_ls,-13.721177053831493,0.0674108773276104,0.07321801799028539,0.054636397192222186,0.004912581770225264,1.0,214.9477000002662,8.235512344932474,,
20260701,20.0,2,0,fixed_source_trained_scalar_interpolation_plus_ls,-13.877934098445149,0.08328925171793519,0.06187763575342812,0.029014015519891,0.0040251587990386235,1.0,230.3671999998187,8.39226938954613,,
