method,sample_count,mean_measurement_nmse_db,mean_gain_vs_grid_db,mean_angle_bin_rmse,mean_delay_bin_rmse,mean_doppler_bin_rmse,mean_normalized_joint_bin_rmse,mean_matched_fraction_within_half_bin,median_wall_clock_ms
grid_fft_topk_plus_ls,30,-5.411913520177573,0.0,9.668488604938286,1.2806259167391814,2.700660499893122,0.15244542117194895,0.6958333333333333,10.692549999930634
deterministic_cartesian_local_refinement_plus_ls,30,-12.505456784587134,7.093543264409563,9.531534876877553,1.2772783513842494,2.6708882883975855,0.15051416681997312,0.7833333333333333,379.2607500004124
fixed_source_trained_scalar_interpolation_plus_ls,30,-11.405716004073946,5.993802483896371,9.530142204606399,1.267504791251705,2.6644691738419444,0.15034855675440753,0.75,380.08395000042583
tensor_nomp3d_known_order_v1,30,-26.86311927710392,21.451205756926345,3.9640056101182832,0.6487144514498062,1.1903581946341586,0.07045848082227849,0.8833333333333333,2237.926399999651
