profile,seed,sample_index,snr_db,l_value,source_alpha,grid_channel_nmse_db,trained_refinement_channel_nmse_db,trained_refinement_gain_vs_grid_db,grid_physical_delay_rmse_ns,trained_refinement_physical_delay_rmse_ns,physical_delay_rmse_reduction_vs_grid_ns,grid_projected_broadside_angle_rmse_deg,trained_refinement_projected_broadside_angle_rmse_deg,projected_angle_rmse_reduction_vs_grid_deg,matched_physical_paths,support_recall,topk_energy_efficiency
A,20260627.0,0.0,20.0,4.0,0.6419195571509573,-7.009628592708641,-13.873690088244704,6.864061495536063,105.13240290451972,88.34290765378066,16.789495250739066,21.62239094066514,19.207063729085775,2.415327211579367,4.0,0.75,0.9991504719544457
A,20260627.0,1.0,20.0,4.0,0.6419195571509573,-8.765909383349495,-19.416312513266444,10.650403129916949,97.44668755541494,86.27812802677224,11.168559528642703,43.56624743931014,39.06993498423499,4.496312455075149,4.0,1.0,1.0
