n_targets,snr_db,mean_tensor_omp_nmse_db,mean_minimal_tompnet_nmse_db,mean_gain_db,mean_permutation_loss
2.0,20.0,-5.852314846687861,-12.761087906151078,6.908773059463216,14.998170260488237
4.0,20.0,-4.824158576088437,-13.630634824252377,8.80647624816394,60.347150139778535
8.0,20.0,-5.715799836410022,-11.979560353290204,6.26376051688018,70.45301870424608
