seed,snr_db,l_value,mean_delay_alpha,mean_angle_alpha,mean_grid_nmse_db,mean_model_nmse_db,mean_grid_delay_rmse_bins,mean_model_delay_rmse_bins,mean_grid_angle_rmse_bins,mean_model_angle_rmse_bins
20260624.0,0.0,4.0,0.7891103802302781,1.0225214576515265,-7.303575539288834,-11.999284863142591,5.416038155435836,5.405436414712632,0.4746363980949197,0.4392003798788677
20260624.0,0.0,8.0,0.7516201617722814,0.9308527355481454,-5.56098304221006,-7.734871242477191,5.626321164321286,5.648602258945967,0.827046515714656,0.8216784713407794
20260624.0,0.0,16.0,0.7464229446800231,0.894574728083831,-4.749367741343615,-6.411551648498474,3.575758490132828,3.5556826757256337,0.7737047736995816,0.826678111613916
20260624.0,10.0,4.0,0.6546074066035503,0.8273696566246489,-6.595170992489161,-12.248368099023928,6.035061088337725,6.095133870995737,0.25238395349992393,0.26449432927193284
20260624.0,10.0,8.0,0.7314318838770375,0.834047227221751,-7.11057476182304,-11.510752352574718,4.283039949471738,4.315957161681817,0.777679433922758,0.7506059028951177
20260624.0,10.0,16.0,0.8575802873937166,0.8765433047342472,-7.299176632890825,-11.734589634827588,2.901141535593183,2.9333920050895124,0.5108418737754905,0.49651787598233166
20260624.0,20.0,4.0,0.8691451846868898,0.9170160539763581,-6.453836680032993,-16.24983250003094,1.569717486408496,1.4940336486977022,0.4555171183047788,0.3239965174429185
20260624.0,20.0,8.0,0.7704900338988724,0.7060185031930145,-6.492201844376173,-11.30984800336539,5.447587234302728,5.415366686963258,0.7855143814135707,0.8148849149151851
20260624.0,20.0,16.0,0.9019458285908898,0.8788481107523036,-7.586873065106028,-11.849106761545958,3.418662586259,3.446868198824851,0.690132864101691,0.7176391065487258
20260624.0,30.0,4.0,0.8630123399232861,1.0202553608560532,-6.706508825400841,-13.959135527693508,3.446321267908904,3.462147419062861,0.6651535173119492,0.6573252376099259
20260624.0,30.0,8.0,0.8538465115340486,0.8984609284084953,-7.6391196896625315,-12.413349277669198,5.726189682869856,5.753550147110568,0.6431864485955214,0.6895063004029708
20260624.0,30.0,16.0,0.8291530270129363,0.8501721844002874,-7.769002454810985,-12.712258210319344,4.106413560565601,4.167055609539681,0.8469476630800312,0.8397148972869388
