profile,seed,L,snr_db,sample,method,nmse_db,newton_updates,wall_ms
A,3101,4,30.0,3,deterministic,-4.348732247386335,0,1.17
A,3101,4,30.0,3,controller,-4.877692371086983,0,1.51
A,3101,4,30.0,3,nomp2d,-7.877133287932139,45,10.07
A,3101,4,30.0,4,grid,-3.6698900071437928,0,0.1
A,3101,4,30.0,4,deterministic,-7.352419229539637,0,1.16
A,3101,4,30.0,4,controller,-7.819844248488897,0,1.49
A,3101,4,30.0,4,nomp2d,-12.8940179962905,45,9.79
A,3101,4,30.0,5,grid,-5.300284384702925,0,0.1
A,3101,4,30.0,5,deterministic,-5.653271447449062,0,1.26
A,3101,4,30.0,5,controller,-6.382813863048219,0,1.61
A,3101,4,30.0,5,nomp2d,-9.917150440057672,45,10.71
A,3101,8,0.0,0,grid,-6.242656897591394,0,0.32
A,3101,8,0.0,0,deterministic,-8.334506766953071,0,2.75
A,3101,8,0.0,0,controller,-8.317894859403863,0,3.34
A,3101,8,0.0,0,nomp2d,-7.875619359823977,143,38.0
A,3101,8,0.0,1,grid,-6.661884826850432,0,0.17
A,3101,8,0.0,1,deterministic,-7.039275669771712,0,2.38
A,3101,8,0.0,1,controller,-8.025778286908023,0,2.89
A,3101,8,0.0,1,nomp2d,-6.472809465168402,119,40.64
A,3101,8,0.0,2,grid,-6.129536192249141,0,0.16
A,3101,8,0.0,2,deterministic,-8.642110063115185,0,2.28
A,3101,8,0.0,2,controller,-8.868397048050664,0,2.84
A,3101,8,0.0,2,nomp2d,-8.145011786368723,150,35.93
A,3101,8,0.0,3,grid,-5.93095576526901,0,0.16
A,3101,8,0.0,3,deterministic,-6.272013364094159,0,2.29
A,3101,8,0.0,3,controller,-7.114972398236081,0,2.8
A,3101,8,0.0,3,nomp2d,-7.618174684149524,137,37.02
A,3101,8,0.0,4,grid,-7.0702226539082815,0,0.16
A,3101,8,0.0,4,deterministic,-10.89007848776589,0,2.27
A,3101,8,0.0,4,controller,-9.148755153645963,0,2.76
A,3101,8,0.0,4,nomp2d,-7.353503497310847,148,36.4
A,3101,8,0.0,5,grid,-6.20682705828023,0,0.16
A,3101,8,0.0,5,deterministic,-7.19556494043009,0,2.26
A,3101,8,0.0,5,controller,-8.677340460430734,0,2.75
A,3101,8,0.0,5,nomp2d,-6.848549167308061,146,36.54
A,3101,8,10.0,0,grid,-6.896753930104811,0,0.32
A,3101,8,10.0,0,deterministic,-7.795680552833759,0,2.56
A,3101,8,10.0,0,controller,-9.11260058275004,0,3.09
A,3101,8,10.0,0,nomp2d,-16.009273484373555,150,36.15
A,3101,8,10.0,1,grid,-7.352487673662269,0,0.17
A,3101,8,10.0,1,deterministic,-6.962387717362418,0,2.27
A,3101,8,10.0,1,controller,-8.821892839093081,0,2.75
A,3101,8,10.0,1,nomp2d,-16.96278945549518,152,35.16
