profile,split,seed,sample_index,snr_db,l_value,grid_channel_nmse_db,candan_channel_nmse_db,cartesian_channel_nmse_db,candan_gain_vs_grid_db,cartesian_gain_vs_grid_db,cartesian_advantage_over_candan_db,grid_residual_fraction,candan_residual_fraction,cartesian_residual_fraction,candan_residual_reduction_fraction,cartesian_residual_reduction_fraction,candan_minimum_denominator_stability,candan_mean_denominator_stability,candan_maximum_absolute_unclipped_offset,candan_clipping_rate,minimum_cartesian_candidate_margin,log10_candan_condition,log10_cartesian_condition,grid_delay_rmse_ns,grid_angle_rmse_deg,candan_delay_rmse_ns,candan_angle_rmse_deg,cartesian_delay_rmse_ns,cartesian_angle_rmse_deg,support_fraction,topk_energy_fraction,mean_abs_delay_step,mean_abs_angle_step,std_abs_delay_step,std_abs_angle_step,unique_delay_fraction,unique_angle_fraction,log10_design_condition,hybrid_fallback,hybrid_channel_nmse_db,hybrid_gain_vs_grid_db,hybrid_residual_reduction_fraction,hybrid_delay_rmse_ns,hybrid_angle_rmse_deg,oracle_gain_vs_grid_db,gated_candan_pass,gated_candan_gain_vs_grid_db,gated_candan_channel_nmse_db,gated_candan_delay_rmse_ns,gated_candan_angle_rmse_deg,gated_hybrid_pass,gated_hybrid_gain_vs_grid_db,gated_hybrid_channel_nmse_db,gated_hybrid_delay_rmse_ns,gated_hybrid_angle_rmse_deg
A,validation,20260625,0,0.0,4,-7.25289922919888,-15.813168960994881,-17.335969460189194,8.560269731796001,10.083070230990314,1.5228004991943127,0.546215137175422,0.45783554861490605,0.4566670001510037,0.08837958856051586,0.08954813702441822,0.3332625444341745,0.7008228226742832,1.8209901422826504,0.5,0.03581215382783417,0.7881461533927442,0.5556035128406465,101.1159697178172,41.71291086037338,54.327739610197504,23.96133309552386,100.10941289256067,25.28749331608165,0.015625,0.45378486282457814,64.10107652563467,5.916125008592573,63.10123843176195,2.8423807045238423,0.75,0.5,1.9286549331065737e-16,0,-15.813168960994881,8.560269731796001,0.08837958856051586,54.327739610197504,23.96133309552386,10.083070230990314,1,8.560269731796001,-15.813168960994881,54.327739610197504,23.96133309552386,1,8.560269731796001,-15.813168960994881,54.327739610197504,23.96133309552386
A,validation,20260625,1,0.0,4,-7.5099915065993486,-16.791339212582052,-16.615607705625255,9.281347705982704,9.105616199025906,-0.1757315069567973,0.5789935349764634,0.5226751756660422,0.5232582174491575,0.05631835931042073,0.05573531752730543,0.5757371290952427,0.8501897358605117,1.4557745652495107,0.375,0.07685164444724585,0.9063877115104948,0.7977572953923752,68.5523751852662,18.50166110260244,29.76878776845046,20.273125021523,32.11004578870894,19.78208846416932,0.015625,0.42100646502353717,95.88959483859247,4.329052603420884,54.78453947343508,3.329119966445523,0.5,0.75,2.8929823996598605e-16,0,-16.791339212582052,9.281347705982704,0.05631835931042073,29.76878776845046,20.273125021523,9.281347705982704,1,9.281347705982704,-16.791339212582052,29.76878776845046,20.273125021523,1,9.281347705982704,-16.791339212582052,29.76878776845046,20.273125021523
A,validation,20260625,2,0.0,4,-8.520771841576222,-12.56489992608623,-13.227145237723391,4.0441280845100085,4.706373396147169,0.6622453116371609,0.5474234909193859,0.49643529544926746,0.48111218492676266,0.05098819547011768,0.06631130599262247,0.14672754117927403,0.6745393679352448,1.2667576185998644,0.375,0.01018963633094863,0.6835139204829265,0.616728968501245,114.42669196461893,43.97729436323922,69.22058039696334,26.785328533030754,78.44741778043328,25.833894610796854,0.015625,0.4525765090806147,64.259164078064,0.4566980046343028,63.25917586762221,0.3429818801963304,0.75,0.5,3.857309866213147e-16,0,-12.56489992608623,4.0441280845100085,0.05098819547011768,69.22058039696334,26.785328533030754,4.706373396147169,1,4.0441280845100085,-12.56489992608623,69.22058039696334,26.785328533030754,1,4.0441280845100085,-12.56489992608623,69.22058039696334,26.785328533030754
A,validation,20260625,3,0.0,4,-5.012750256122321,-12.371240221205014,-12.236788575866912,7.3584899650826925,7.224038319744591,-0.1344516453381015,0.6010624211086699,0.46190077751581954,0.46052239375318677,0.1391616435928496,0.14054002735548238,0.7031082432297551,0.7994563195444877,0.6645919107715019,0.25,0.014913151749431813,0.8891265613852727,1.119328647186599,810.2712770032495,20.712480424806195,805.9799630800851,18.498164424732526,808.4806594356631,18.425935975505435,0.015625,0.3989375788913306,63.92272806296139,3.9212188432118156,63.3866367751591,3.4405116591240144,0.75,0.75,1.9286549331065737e-16,0,-12.371240221205014,7.3584899650826925,0.1391616435928496,805.9799630800851,18.498164424732526,7.3584899650826925,1,7.3584899650826925,-12.371240221205014,805.9799630800851,18.498164424732526,1,7.3584899650826925,-12.371240221205014,805.9799630800851,18.498164424732526
A,validation,20260625,4,0.0,4,-7.167311397377748,-11.373840179150747,-10.491382362037386,4.206528781772999,3.3240709646596382,-0.8824578171133606,0.5609710765236405,0.5030238019517987,0.5101303436109276,0.05794727457184179,0.05084073291271296,0.1983957348439423,0.6176117109245203,3.1467121802094113,0.375,0.01434097790922747,0.7391349170017221,1.0992207279162522,55.509624191285745,26.00522811260589,28.04331058030773,19.994410141780264,28.55019298599944,21.78623310170558,0.015625,0.43902892347635963,127.54736863711358,2.2042620635834425,0.1975198331692054,2.794301472197359,0.25,1.0,9.64327466553287e-17,0,-11.373840179150747,4.206528781772999,0.05794727457184179,28.04331058030773,19.994410141780264,4.206528781772999,1,4.206528781772999,-11.373840179150747,28.04331058030773,19.994410141780264,1,4.206528781772999,-11.373840179150747,28.04331058030773,19.994410141780264
A,validation,20260625,5,0.0,4,-7.941794988142078,-15.329148144478918,-15.419101058259026,7.3873531563368395,7.477306070116947,0.08995291378010783,0.5224022402541281,0.45039600808133545,0.4560436910564922,0.07200623217279173,0.06635854919763501,0.2984782444247391,0.719755808249791,1.7356911308907508,0.5,0.03302849303283596,0.8406010176389823,1.096291714350181,97.44668755541494,45.00374371816863,56.792040707506054,30.341147430817742,84.97831776102791,38.029658549463115,0.015625,0.477597759745873,32.334698483202466,3.9270100404039177,54.795578718366414,3.443722966812037,0.75,0.5,3.857309866213147e-16,0,-15.329148144478918,7.3873531563368395,0.07200623217279173,56.792040707506054,30.341147430817742,7.477306070116947,1,7.3873531563368395,-15.329148144478918,56.792040707506054,30.341147430817742,1,7.3873531563368395,-15.329148144478918,56.792040707506054,30.341147430817742
A,validation,20260625,6,0.0,4,-5.398630344550389,-15.784779342886672,-17.301041773125515,10.386148998336283,11.902411428575126,1.516262430238843,0.606747780227186,0.47566496933526886,0.46969560906464336,0.13108281089191526,0.13705217116254076,0.5064803806909339,0.7736219230865806,1.2671200897788504,0.25,0.06142648543894801,1.0170483423848036,1.1296008728464026,52.64006198007252,18.78394776953463,23.77206864273909,22.315857364181404,15.358804028961865,21.790538701217184,0.015625,0.3932522197728159,95.63789956923188,4.299658888738823,54.746822255818394,3.2999213235237823,0.5,0.75,1.9286549331065737e-16,0,-15.784779342886672,10.386148998336283,0.13108281089191526,23.77206864273909,22.315857364181404,11.902411428575126,1,10.386148998336283,-15.784779342886672,23.77206864273909,22.315857364181404,1,10.386148998336283,-15.784779342886672,23.77206864273909,22.315857364181404
A,validation,20260625,7,0.0,4,-5.638728500364909,-13.092472540622872,-11.953237760809838,7.453744040257963,6.314509260444929,-1.1392347798130338,0.6237423629882807,0.4797650336030373,0.4708286175021277,0.14397732938524316,0.15291374548615277,0.15670333203345635,0.6298121313487504,1.1672717408481326,0.5,0.00357139691716521,1.5499826466499296,1.2439314245066084,52.64006198007252,17.555466178921144,14.850490758074674,24.866892480742795,12.312049343116907,27.543067727094822,0.015625,0.3762576370117194,95.59558962257833,0.9431265321137315,54.61499714128558,0.057431951902769986,0.5,0.75,4.821637332766433e-16,0,-13.092472540622872,7.453744040257963,0.14397732938524316,14.850490758074674,24.866892480742795,7.453744040257963,1,7.453744040257963,-13.092472540622872,14.850490758074674,24.866892480742795,1,7.453744040257963,-13.092472540622872,14.850490758074674,24.866892480742795
A,validation,20260625,8,0.0,4,-7.152323392735042,-10.352747621573904,-9.540429077848518,3.2004242288388625,2.3881056851134765,-0.8123185437253859,0.560878879282727,0.4676430896897687,0.4871626684293356,0.09323578959295803,0.07371621085339114,0.5549977928398167,0.8522879708346605,0.7087907836970588,0.25,0.007962638363231075,0.5464839068025321,0.523284845943977,1494.2449406847568,44.09128788089135,1518.237882695394,43.52150259276344,1531.8899392397313,43.26499003821369,0.015625,0.4391211207172734,32.47963890212911,2.0595062800083093,54.868777102739614,3.3093473788888415,1.0,0.75,9.64327466553287e-17,0,-10.352747621573904,3.2004242288388625,0.09323578959295803,1518.237882695394,43.52150259276344,3.2004242288388625,1,3.2004242288388625,-10.352747621573904,1518.237882695394,43.52150259276344,1,3.2004242288388625,-10.352747621573904,1518.237882695394,43.52150259276344
A,validation,20260625,9,0.0,4,-6.325339815800338,-10.94052697875272,-8.041813203363208,4.615187162952382,1.7164733875628704,-2.8987137753895116,0.6192445570215045,0.5217173160913827,0.5790617035894864,0.09752724093012177,0.040182853432018106,0.14105519518043286,0.5785815852029774,1.7348251150419993,0.25,0.03711037436733579,0.5361755396276794,1.0656886594902002,131.37495362987147,27.62889046098701,95.57939523682273,23.096115376470372,114.96535871541094,24.424668903466543,0.015625,0.3807554429784957,32.40333105641959,3.870029436941027,54.74539198168351,3.6126935510926614,1.0,0.25,2.8929823996598605e-16,0,-10.94052697875272,4.615187162952382,0.09752724093012177,95.57939523682273,23.096115376470372,4.615187162952382,1,4.615187162952382,-10.94052697875272,95.57939523682273,23.096115376470372,1,4.615187162952382,-10.94052697875272,95.57939523682273,23.096115376470372
