stratum_type,stratum,scene_count,seed_count,mean_q_sup,mean_duplicate_neighborhood_rate,mean_coarse_design_condition,mean_refined_design_condition,mean_local_gain_vs_grid_db,local_gain_ci95_low_db,local_gain_ci95_high_db,mean_gated_gain_vs_grid_db,mean_local_per_component_hit,mean_candidate_axis_correctness,candidate_axis_correctness_ci95_low,candidate_axis_correctness_ci95_high,local_harmful_update_rate
coarse_support_quality,q_sup=0.000,145,5,0.0,0.5025862068965518,1.0,13.535045495263255,5.043202810818319,4.5967704500908155,5.489635171545823,5.051813081685717,0.4603448275862069,0.4945621537960247,0.4519529449408899,0.5371713626511595,0.0
coarse_support_quality,q_sup=0.125,16,5,0.125,0.4765625,1.0000000000000007,35.29216886911375,4.893594223043093,3.4551090807977403,6.332079365288445,5.116236229164307,0.3984375,0.45111111111111113,0.40459024624688816,0.4976319759753341,0.0
coarse_support_quality,q_sup=0.250,161,5,0.25,0.4254658385093168,1.0000000000000004,21.564940619642595,5.1028129930037025,4.786219097015225,5.41940688899218,5.104345464002441,0.4673913043478261,0.4903058102231953,0.46398945313248163,0.516622167313909,0.0
coarse_support_quality,q_sup=0.375,86,5,0.375,0.39098837209302323,1.0000000000000002,23.78658388295121,5.394807946132166,4.927230686677922,5.862385205586409,5.401867991896568,0.5334302325581395,0.5575584009151784,0.551570114299436,0.5635466875309207,0.0
coarse_support_quality,q_sup=0.500,372,5,0.5,0.3699596774193548,1.0000000000000002,11.340717404137816,5.781233051375475,5.242940756128783,6.319525346622167,5.807467730534499,0.5971102150537635,0.6163297776531034,0.600389941596911,0.6322696137092958,0.0
coarse_support_quality,q_sup=0.625,58,5,0.625,0.27155172413793105,1.0000000000000007,11.631650173252314,5.900557911359683,5.161740253621572,6.639375569097794,5.989974733665498,0.6853448275862069,0.7116997354497355,0.6739276757037831,0.749471795195688,0.0
coarse_support_quality,q_sup=0.750,135,5,0.75,0.24259259259259258,1.0000000000000004,10.055759069211602,6.621638880420795,5.84904309101813,7.39423466982346,6.5718582727452475,0.75,0.7612559443144151,0.7552784706763099,0.7672334179525203,0.0
coarse_support_quality,q_sup=0.875,11,5,0.875,0.125,1.0000000000000002,10.318452936565977,7.635666097406312,5.603636130131118,9.667696064681506,7.845196555962755,0.875,0.8775000000000001,0.8483252994382916,0.9066747005617085,0.0
coarse_support_quality,q_sup=1.000,216,5,1.0,0.0,1.0,1.0005046669525168,10.953543570511533,10.625462099476263,11.281625041546803,10.938082141158166,1.0,0.9947965955233397,0.9886578185384136,1.0009353725082657,0.0
duplicate_neighborhood,none,216,5,1.0,0.0,1.0,1.0005046669525168,10.953543570511533,10.625462099476263,11.281625041546803,10.938082141158166,1.0,0.9947965955233397,0.9886578185384136,1.0009353725082657,0.0
duplicate_neighborhood,present,984,5,0.4142530487804878,0.37614329268292684,1.0000000000000002,14.643568082773319,5.672970797962051,5.377190879852252,5.968750716071851,5.672792177607913,0.5762195121951219,0.5992629360876279,0.5897311537445452,0.6087947184307106,0.0
coarse_condition_rank_quartile,Q1,300,5,0.67375,0.20916666666666667,1.0,7.62120746408613,8.73014652456619,7.186487502845296,10.273805546287083,8.01543731919444,0.7683333333333333,0.819043412186512,0.7265825615794409,0.9115042627935831,0.0
coarse_condition_rank_quartile,Q2,300,4,0.45166666666666666,0.36291666666666667,1.0000000000000002,9.453764105242923,6.036579481329601,5.450670685486379,6.622488277172822,6.138711450578469,0.6070833333333333,0.5889319756489378,0.47229049813274315,0.7055734531651325,0.0
coarse_condition_rank_quartile,Q3,300,5,0.47375,0.33791666666666664,1.0000000000000002,12.64632451653029,6.116063577476311,5.546499580741293,6.6856275742113285,6.3061264006401,0.6233333333333333,0.642886129045114,0.6140097249013017,0.6717625331889263,0.0
coarse_condition_rank_quartile,Q4,300,5,0.4795833333333333,0.32375,1.0000000000000007,19.02997058584296,5.988540264267232,5.73456508521745,6.242515443317013,6.021902313774826,0.61125,0.6319615130214464,0.616948487055704,0.6469745389871888,0.0
minimum_true_separation,<1 bin,1,1,0.625,0.125,1.0000000000000004,11.029988890327486,7.268378499207701,7.268378499207701,7.268378499207701,7.268378499207701,0.625,0.7083333333333334,0.7083333333333334,0.7083333333333334,0.0
minimum_true_separation,1--2 bins,4,3,0.6875,0.28125,1.0000000000000004,11.096494057122012,6.44113082508554,4.270078918961559,8.61218273120952,6.233295178052886,0.71875,0.7291666666666666,0.5035811406800405,0.9547521926532928,0.0
minimum_true_separation,>=2 bins,1195,5,0.5190376569037657,0.3086820083682008,1.0000000000000004,12.1924385241773,6.624245350591446,6.322034352157393,6.926456349025498,6.621298482045967,0.6523012552301255,0.6701983479933118,0.66223421359642,0.6781624823902036,0.0
