seed,snr_db,n_targets,sample_index,method,measurement_nmse_db,angle_bin_rmse,delay_bin_rmse,doppler_bin_rmse,normalized_joint_bin_rmse,matched_fraction_within_half_bin,wall_clock_ms,gain_vs_grid_db,newton_updates,final_residual_energy
20260629,20.0,2,0,grid_fft_topk_plus_ls,-3.9159670758998217,13.347651305181477,2.716052242280932,4.950689672991722,0.25224010948260284,0.0,6.568400000105612,0.0,,
20260629,20.0,2,0,deterministic_cartesian_local_refinement_plus_ls,-11.527618107975812,13.506092016620734,2.8368911206682412,5.106996447244607,0.2608469626461877,0.5,162.41609999997308,7.61165103207599,,
20260629,20.0,2,0,fixed_source_trained_scalar_interpolation_plus_ls,-9.700822362045214,13.449139404324955,2.7890112306727586,5.050430021673263,0.25755410801911804,0.5,188.44139999964682,5.784855286145392,,
20260629,20.0,2,0,tensor_nomp3d_known_order_v1,-11.603752080901955,13.483677294771972,2.846579482854062,5.1174600402423795,0.2613881836986748,0.5,579.983199999333,7.687785005002134,8.0,0.06666116112311503
20260629,20.0,4,0,grid_fft_topk_plus_ls,-3.9891144920193455,0.2621125143256739,0.20268773220982428,0.18739823701161548,0.014105534915688429,1.0,10.594300000775547,0.0,,
20260629,20.0,4,0,deterministic_cartesian_local_refinement_plus_ls,-12.889872165864988,0.06983288818124686,0.0724088580090218,0.07434051779981707,0.005116176949493285,1.0,373.8114999996469,8.900757673845643,,
20260629,20.0,4,0,fixed_source_trained_scalar_interpolation_plus_ls,-8.59378312091697,0.13785551423788495,0.1107162317769182,0.1015104879736446,0.007688038218553036,1.0,425.1045000000886,4.604668628897626,,
20260629,20.0,4,0,tensor_nomp3d_known_order_v1,-6.785978599492389,0.1543538382854298,0.1645572223041555,0.1589447660198128,0.011484909660471847,1.0,2597.259500000291,2.7968641074730436,16.0,1.28765670903331
20260629,20.0,8,0,grid_fft_topk_plus_ls,-5.444268770963835,28.24216306862418,3.4727359179501116,2.9899598365515594,0.3232988452379237,0.75,23.99130000048899,0.0,,
20260629,20.0,8,0,deterministic_cartesian_local_refinement_plus_ls,-10.526481070276885,28.41283831153882,3.5240437621015563,2.98670762792757,0.3263367139773765,0.75,791.225800000575,5.08221229931305,,
20260629,20.0,8,0,fixed_source_trained_scalar_interpolation_plus_ls,-10.203163572512754,28.351635710682533,3.503682562453909,2.986898775438981,0.3251549859649961,0.75,788.5490999997273,4.7588948015489185,,
20260629,20.0,8,0,tensor_nomp3d_known_order_v1,-11.414683455363186,19.196648929397448,2.6221872660126038,1.721956873318891,0.22857523600294508,0.875,8143.422199999804,5.97041468439935,59.0,0.6526852917204271
