method,sample_count,mean_measurement_nmse_db,mean_gain_vs_grid_db,mean_angle_bin_rmse,mean_delay_bin_rmse,mean_doppler_bin_rmse,mean_normalized_joint_bin_rmse,mean_matched_fraction_within_half_bin,median_wall_clock_ms
grid_fft_topk_plus_ls,3,-4.449783446294334,0.0,13.950642296043776,2.1304919641469557,2.709349248851632,0.19654816321207166,0.5833333333333334,10.594300000775547
deterministic_cartesian_local_refinement_plus_ls,3,-11.647990448039229,7.198207001744894,13.996254405446933,2.14444791359294,2.7226815309906645,0.1974332845243525,0.75,373.8114999996469
fixed_source_trained_scalar_interpolation_plus_ls,3,-9.499256351824979,5.049472905530646,13.97954354308179,2.134470008301195,2.712946428361963,0.1967990440675557,0.75,425.1045000000886
tensor_nomp3d_known_order_v1,3,-9.934804711919176,5.485021265624842,10.944893354151617,1.8777746570569402,2.332787226527028,0.16714944312069724,0.7916666666666666,2597.259500000291
