seed,snr_db,n_targets,sample_index,grid_nmse_db,candan_nmse_db,candan_gain_vs_grid_db,minimum_denominator_stability,mean_denominator_stability,clipping_rate
20260630,0,2,1,-4.65400218035231,-42.4013409318607,37.7473387515084,0.814598121061652,0.880396727228554,0
20260630,0,2,2,-4.01993253915576,-39.1985477392723,35.1786152001166,0.828480863192957,0.876198771148211,0
20260630,0,2,3,-9.15384623516708,-42.1058166676011,32.9519704324341,0.875358154242133,0.913695587243883,0
20260630,0,2,4,-3.54032954822338,-9.71612856140479,6.17579901318142,0.81801759079856,0.869914488438046,0.166666666666667
20260630,0,2,5,-6.94516272992306,-39.267423182895,32.322260452972,0.827389219955465,0.907617341487847,0
20260630,0,2,6,-4.28322486259506,-38.1568569223316,33.8736320597366,0.825577759019421,0.863487585826702,0
20260630,0,2,7,-8.67910296621714,-18.2467859103991,9.56768294418194,0.830828410490524,0.922229188507434,0.166666666666667
20260630,0,2,8,-5.68379903869027,-14.8045853841431,9.12078634545278,0.815799881798976,0.884820448799265,0.166666666666667
20260630,0,2,9,-6.4332501137272,-40.2879581899426,33.8547080762154,0.807954870349355,0.899908272393946,0
20260630,0,2,10,-5.62072637116782,-13.8067580977842,8.18603172661635,0.81369488110501,0.870691493556492,0.166666666666667
20260630,0,2,11,-3.64625056692924,-41.0012181371135,37.3549675701842,0.817795044775611,0.864861939750641,0
20260630,0,2,12,-3.74634758647507,-9.14250542547144,5.39615783899638,0.814441633317632,0.854590925251605,0.166666666666667
20260630,0,2,13,-4.84806049837953,-40.56232391676,35.7142634183805,0.82723643542979,0.868327389212352,0
20260630,0,2,14,-2.7647364475595,-33.9649048209902,31.2001683734307,0.810012347336057,0.860696956142062,0
20260630,0,2,15,-8.06509538059259,-16.536190103871,8.47109472327843,0.852661634243953,0.905415602080689,0.166666666666667
20260630,0,2,16,-4.55031801821402,-42.5118667728821,37.9615487546681,0.831087600688747,0.879873184873208,0
20260630,0,2,17,-6.50749697111755,-10.0523829915592,3.54488602044167,0.84976393372191,0.906571731299448,0.166666666666667
20260630,0,2,18,-4.86298952216571,-10.7218400983685,5.85885057620276,0.825214438920985,0.863085324426115,0.166666666666667
20260630,0,2,19,-4.10040901412319,-12.1015768547162,8.00116784059303,0.826269744553647,0.855426428389173,0.166666666666667
20260630,0,2,20,-5.50679136890756,-37.7627796184372,32.2559882495296,0.831994937593526,0.888541866674958,0
