seed,snr_db,L,scene,method,nmse_db,wall_ms,newton_updates
1,10,4,2,learned_scalar,-9.455375,43.772,0
1,10,4,2,nomp_inspired,-48.608720,250.977,15
1,10,4,2,parafac_als,-24.755338,19.034,0
1,10,4,3,grid,-4.588925,17.467,0
1,10,4,3,deterministic,-12.186026,37.616,0
1,10,4,3,learned_scalar,-13.075018,47.003,0
1,10,4,3,nomp_inspired,-49.805840,236.665,16
1,10,4,3,parafac_als,-9.641899,18.141,0
1,10,4,4,grid,-6.517993,15.594,0
1,10,4,4,deterministic,-15.505459,34.247,0
1,10,4,4,learned_scalar,-15.727712,42.073,0
1,10,4,4,nomp_inspired,-49.453765,237.444,16
1,10,4,4,parafac_als,-14.461343,17.417,0
1,10,4,5,grid,-6.478232,15.196,0
1,10,4,5,deterministic,-12.638323,34.264,0
1,10,4,5,learned_scalar,-12.929398,41.920,0
1,10,4,5,nomp_inspired,-48.639658,267.689,18
1,10,4,5,parafac_als,-15.624511,18.899,0
1,10,8,1,grid,-3.766469,29.539,0
1,10,8,1,deterministic,-12.238621,79.424,0
1,10,8,1,learned_scalar,-12.323912,106.797,0
1,10,8,1,nomp_inspired,-44.657251,1247.706,51
1,10,8,1,parafac_als,-10.231972,27.719,0
1,10,8,2,grid,-5.349222,43.020,0
1,10,8,2,deterministic,-13.276992,95.797,0
1,10,8,2,learned_scalar,-13.562749,123.893,0
1,10,8,2,nomp_inspired,-44.854653,1416.289,48
1,10,8,2,parafac_als,-15.124051,25.396,0
1,10,8,3,grid,-5.698125,31.304,0
1,10,8,3,deterministic,-10.196233,82.018,0
1,10,8,3,learned_scalar,-10.386252,111.676,0
1,10,8,3,nomp_inspired,-45.448447,1311.073,51
1,10,8,3,parafac_als,-12.827796,26.408,0
1,10,8,4,grid,-3.617866,34.644,0
1,10,8,4,deterministic,-9.740952,85.471,0
1,10,8,4,learned_scalar,-9.611899,106.755,0
1,10,8,4,nomp_inspired,-45.116702,1272.486,49
1,10,8,4,parafac_als,-15.509187,25.321,0
1,10,8,5,grid,-5.470349,31.775,0
1,10,8,5,deterministic,-9.938385,78.427,0
1,10,8,5,learned_scalar,-10.104158,105.349,0
1,10,8,5,nomp_inspired,-44.283825,1231.783,48
1,10,8,5,parafac_als,-12.214935,25.124,0
1,20,2,1,grid,-6.303919,9.297,0
1,20,2,1,deterministic,-13.298775,19.647,0
1,20,2,1,learned_scalar,-12.960945,23.744,0
1,20,2,1,nomp_inspired,-59.333320,79.656,7
1,20,2,1,parafac_als,-42.900679,15.122,0
1,20,2,2,grid,-4.284524,9.745,0
1,20,2,2,deterministic,-13.139728,19.224,0
1,20,2,2,learned_scalar,-13.428868,23.062,0
1,20,2,2,nomp_inspired,-62.058779,70.385,6
1,20,2,2,parafac_als,-42.879670,14.822,0
1,20,2,3,grid,-5.869791,9.485,0
1,20,2,3,deterministic,-14.690025,19.246,0
1,20,2,3,learned_scalar,-15.099541,23.718,0
1,20,2,3,nomp_inspired,-57.553466,74.371,7
1,20,2,3,parafac_als,-42.558897,14.992,0
1,20,2,4,grid,-4.748172,9.479,0
1,20,2,4,deterministic,-7.490174,19.246,0
1,20,2,4,learned_scalar,-7.634814,23.268,0
1,20,2,4,nomp_inspired,-64.043559,69.121,6
1,20,2,4,parafac_als,-42.607362,13.633,0
1,20,2,5,grid,-7.175209,11.643,0
1,20,2,5,deterministic,-12.280675,22.915,0
1,20,2,5,learned_scalar,-12.992810,28.246,0
1,20,2,5,nomp_inspired,-61.972389,81.569,7
1,20,2,5,parafac_als,-42.471863,14.306,0
1,20,4,1,grid,-6.223443,15.528,0
1,20,4,1,deterministic,-10.372776,35.357,0
1,20,4,1,learned_scalar,-10.552391,43.410,0
1,20,4,1,nomp_inspired,-59.839050,263.467,18
