snr_db,l_value,n_users,n_tx,mean_grid_channel_nmse_db,mean_source_alpha_channel_nmse_db,mean_source_alpha_gain_vs_grid_db,mean_bounded_refine_channel_nmse_db,mean_bounded_gain_vs_grid_db,mean_oracle_alpha_channel_nmse_db,mean_oracle_alpha_gain_vs_grid_db,mean_source_alpha_gap_vs_oracle_db,mean_oracle_alpha,mean_support_recall,mean_dominant_energy_recall,mean_delay_bin_rmse,mean_tx_bin_rmse
0.0,4.0,100.0,8.0,-2.3737981073837595,-3.229244474417021,0.8554463670332608,-3.2566118537786077,0.8828137463948476,-3.3894687191401314,1.015670611756371,0.16022424472311034,0.828,0.8375,0.4169586550047837,0.19653664787634983,0.47908457479309097
0.0,8.0,100.0,8.0,-4.125048849271444,-5.313266094111153,1.1882172448397106,-5.368458962869953,1.2434101135985096,-5.579001285278276,1.453952436006832,0.26573519116712196,0.818,0.85125,0.6107920508686702,0.4328345647113976,0.5217136368229346
0.0,16.0,100.0,8.0,-5.926132266258815,-7.180470951923129,1.2543386856643135,-6.969378964503919,1.0432466982451052,-7.37415605176214,1.448023785503326,0.19368509983901258,0.6960000000000001,0.825,0.7776530642591873,1.6747465616530368,0.5661830313921569
10.0,4.0,100.0,8.0,-2.4866510732635443,-3.4949366838455656,1.008285610582021,-3.607322710168684,1.1206716369051397,-3.694953583628688,1.2083025103651437,0.2000168997831224,0.88,0.9325,0.42469125810364927,0.11621320343559643,0.20804949179444868
10.0,8.0,100.0,8.0,-4.444378370108409,-5.789698851745079,1.3453204816366686,-5.870910204905042,1.4265318347966334,-6.0782796308795914,1.6339012607711831,0.2885807791345142,0.8200000000000002,0.95375,0.622993354354486,0.1597598615915314,0.17195048189202886
10.0,16.0,100.0,8.0,-7.219399214198813,-9.061567519446092,1.842168305247276,-8.806466898583619,1.587067684384803,-9.251003523536797,2.0316043093379816,0.18943600409070613,0.672,0.93875,0.8002506560709179,0.33255913618840727,0.31240802924123384
20.0,4.0,100.0,8.0,-2.5027493589237744,-3.482485871517311,0.9797365125935368,-3.5894832251576516,1.0867338662338772,-3.679672725017277,1.1769233660935021,0.19718685349996573,0.91,0.98,0.42621701140906004,0.027071067811865475,0.06788245611270737
20.0,8.0,100.0,8.0,-4.476769683340026,-5.825957569342069,1.3491878860020428,-5.8995478561031724,1.4227781727631426,-6.118840212664757,1.6420705293247306,0.2928826433226878,0.7940000000000002,0.98125,0.6242032995242982,0.0712235140826169,0.08453790043104309
20.0,16.0,100.0,8.0,-7.341867677492989,-9.21317518071413,1.8713075032211413,-8.923771233898014,1.581903556405025,-9.405381781635564,2.0635141041425764,0.19220660092143568,0.6940000000000001,0.9825,0.8024786304632847,0.08941728880995713,0.10355095920261592
30.0,4.0,100.0,8.0,-2.5039605503463696,-3.5092088766345393,1.0052483262881693,-3.6394490194186293,1.1354884690722604,-3.732077990172707,1.2281174398263373,0.22286911353816777,0.9,0.9975,0.42631236350935103,0.0,0.005
30.0,8.0,100.0,8.0,-4.480136188329942,-5.8724041943431935,1.3922680060132528,-5.940563881424923,1.4604276930949813,-6.161300222861616,1.681164034531675,0.2888960285184223,0.81,0.98875,0.6243435779515782,0.038890872965260115,0.04751847633788448
30.0,16.0,100.0,8.0,-7.3535571829679895,-9.24767127141832,1.8941140884503307,-9.007323104883728,1.6537659219157381,-9.446692143349033,2.0931349603810423,0.19902087193071225,0.684,0.993125,0.8026435585031271,0.038861940015520735,0.04629344952626977
