Nv,theta_center_deg,grid_step_deg,beta_grid_fit,beta_corrected_fit,beta_lemma_reference,grid_to_lemma_ratio,corrected_to_grid_ratio,max_epsilon_grid,max_epsilon_corrected
16,-45,0.5,52.4205159905537,0.524321557885439,105.275780278287,0.497935193184844,0.0100022204661229,0.00100229057626489,1.00650904925059e-05
16,-20,0.5,92.560856682509,0.925963255971203,185.921706755482,0.497848574530578,0.0100038319561727,0.00176478945245062,1.76821382051884e-05
16,0,0.5,104.817274504363,1.0486272846604,210.551560556573,0.497822358700589,0.0100043364952859,0.00199527114072717,1.99642674857392e-05
16,20,0.5,92.5608566825091,0.925963255971202,185.921706755482,0.497848574530578,0.0100038319561727,0.00176478945245062,1.76821382051884e-05
16,45,0.5,52.4205159905537,0.524321557885439,105.275780278287,0.497935193184844,0.0100022204661229,0.00100229057626489,1.00650904925059e-05
32,-45,0.5,210.156793347359,2.10344051343901,421.103121113146,0.499062540291388,0.010008910394642,0.00401731301357511,4.03784075908575e-05
32,-20,0.5,370.88975249961,3.71470240220545,743.68682702193,0.498717657787253,0.0100156512202621,0.00706863315806527,7.09354446726262e-05
32,0,0.5,419.934654903251,4.20678910722123,842.206242226292,0.498612612741024,0.0100177231340682,0.00799013120049097,8.00904989588513e-05
32,20,0.5,370.88975249961,3.71470240220545,743.68682702193,0.498717657787252,0.0100156512202621,0.00706863315806527,7.09354446726262e-05
32,45,0.5,210.156793347359,2.10344051343901,421.103121113146,0.499062540291388,0.010008910394642,0.00401731301357511,4.03784075908575e-05
64,-45,0.5,838.974056381619,8.41970302581069,1684.41248445258,0.498081119752729,0.0100357132163582,0.0160228608044157,0.000161626162601181
64,-20,0.5,1477.58132632975,14.8689937533677,2974.74730808772,0.496708181670595,0.0100630628503554,0.0281152244947233,0.000283931655054581
64,0,0.5,1671.91378358434,16.838583250803,3368.82496890517,0.496289893068472,0.0100714423292232,0.0317539428714558,0.000320573733870511
64,20,0.5,1477.58132632975,14.8689937533677,2974.74730808772,0.496708181670595,0.0100630628503554,0.0281152244947233,0.000283931655054581
64,45,0.5,838.974056381619,8.41970302581069,1684.41248445258,0.498081119752729,0.0100357132163582,0.0160228608044157,0.000161626162601181
128,-45,0.5,3320.44684479358,33.6813403696583,6737.64993781034,0.49281973320696,0.0101436167913575,0.0631802534897348,0.000646528976537275
128,-20,0.5,5799.73008840388,59.4755167998821,11898.9892323509,0.487413676502506,0.0102548766741402,0.109643827343127,0.00113564429228785
128,0,0.5,6545.96604964842,67.3521114854879,13475.2998756207,0.485775167162795,0.010289101864362,0.12342085980543,0.00128215968042611
128,20,0.5,5799.73008840388,59.4755167998821,11898.9892323509,0.487413676502506,0.0102548766741402,0.109643827343127,0.00113564429228785
128,45,0.5,3320.44684479358,33.6813403696583,6737.64993781034,0.49281973320696,0.0101436167913575,0.0631802534897348,0.000646528976537275
