n_targets,alpha,test_grid_nmse_db,test_torch_nmse_db,test_full_refine_nmse_db,test_gain_vs_grid_db,test_gap_vs_full_refine_db,n_test
2.0,0.6418605915836005,-3.8086498528387875,-10.886780323750592,-12.464819962299913,7.078130470911805,1.5780396385493205,2.0
4.0,0.6418605915836005,-5.15890065779578,-12.012219069448317,-14.196216313035212,6.853318411652538,2.1839972435868944,2.0
8.0,0.6418605915836005,-5.262002339577681,-10.424424513854412,-12.750103650241117,5.16242217427673,2.3256791363867055,2.0
