n_targets,mean_depth_savings_percent,min_depth_savings_percent,mean_nmse_gap_db,max_nmse_gap_db,n_seed_cells
16.0,20.5,12.5,0.25306429755686904,0.42874431401764673,5.0
32.0,26.5,22.5,0.395595875728264,0.49570807202904843,5.0
64.0,27.0,25.0,0.38827004949118943,0.4608707027870388,5.0
