method,label,mean_nmse_db,ci95_low_db,ci95_high_db,median_wall_clock_ms,mean_within_half_bin,sample_count
grid_fft_topk_plus_ls,Grid FFT top-k + LS,-5.430005760122908,-5.5273922895640775,-5.332619230681739,20.20489999995334,0.7190625,1200.0
deterministic_cartesian_local_refinement_plus_ls,Deterministic local refinement,-12.734643996867677,-12.814415325589264,-12.654872668146089,434.7896999970544,0.79625,1200.0
fixed_source_trained_scalar_interpolation_plus_ls,Learned scalar refinement,-11.214526668857557,-11.339663248530734,-11.08939008918438,433.4823500030325,0.7914583333333334,1200.0
tensor_nomp3d_known_order_v1,NOMP-inspired refinement,-53.39015599162911,-53.47200658566636,-53.30830539759186,3513.9876500034006,0.9991666666666666,1200.0
complex_parafac_als_10_sweeps,Complex PARAFAC-ALS,-16.854998484302712,-17.899685320965055,-15.810311647640368,32.56735000468325,0.5238541666666666,1200.0
