split,seed,separation_bins,dynamic_range_db,snr_db,sample_index,pair_axis,grid_nmse_db,candan_nmse_db,candan_gain_vs_grid_db,grid_per_component_hit,candan_per_component_hit,grid_designated_pair_assignment,candan_designated_pair_assignment,grid_strict_recovery,candan_strict_recovery,grid_strong_hit,candan_strong_hit,grid_weak_hit,candan_weak_hit,grid_all_target_hit,candan_all_target_hit,grid_mean_coordinate_error_bins,candan_mean_coordinate_error_bins,candan_residual_reduction_fraction,candan_minimum_zeta,candan_mean_zeta,candan_clipping_rate,candan_any_clipping,gate_pass,gated_candan_gain_vs_grid_db,gated_candan_per_component_hit,gated_candan_designated_pair_assignment,gated_candan_strict_recovery,gated_candan_strong_hit,gated_candan_weak_hit,gated_candan_all_target_hit,gated_candan_mean_coordinate_error_bins
validation,20260820,0.25,10.0,0.0,2,2,-3.044601156390892,-23.321438924105795,20.276837767714902,0.5,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,3.1315698386316897,2.9823555156555983,0.24554328390004354,0.7932891715072495,0.8622170227606203,0.08333333333333333,1.0,1,20.276837767714902,0.75,0.0,0.0,1.0,0.0,0.0,2.9823555156555983
validation,20260820,0.25,10.0,0.0,3,0,-2.489599200933587,-9.096786698644996,6.607187497711409,0.5,0.75,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.1109692360138845,0.9514599773906469,0.2190211132072163,0.7987604194948679,0.8325012109582155,0.16666666666666666,1.0,1,6.607187497711409,0.75,1.0,0.0,1.0,1.0,0.0,0.9514599773906469
validation,20260820,0.25,10.0,0.0,4,1,-2.832230997635315,-7.678821189024983,4.8465901913896685,0.5,0.75,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0693892067161666,2.8685417608381907,0.17503499636319386,0.794745793315451,0.8458427415627093,0.16666666666666666,1.0,1,4.8465901913896685,0.75,1.0,0.0,1.0,1.0,0.0,2.8685417608381907
validation,20260820,0.25,10.0,10.0,0,0,-3.013408130200817,-41.430886502198035,38.41747837199722,1.0,1.0,1.0,1.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.2649064040905542,0.009068112024466965,0.4548965201315798,0.7927889512843529,0.8578117029072018,0.16666666666666666,1.0,1,38.41747837199722,1.0,1.0,1.0,1.0,1.0,1.0,0.009068112024466965
validation,20260820,0.25,10.0,10.0,1,1,-5.09174156085129,-26.281023417028177,21.189281856176887,0.25,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.109942453255256,3.9674287936643666,0.2799359659638489,0.8221081740131312,0.8616072460958151,0.08333333333333333,1.0,1,21.189281856176887,0.5,0.0,0.0,1.0,0.0,0.0,3.9674287936643666
validation,20260820,0.25,10.0,10.0,2,2,-5.522275949023722,-20.918351996939244,15.396076047915521,0.75,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.25886351252541545,0.03018712636860532,0.247983424342049,0.7979424435742086,0.8590732404612864,0.08333333333333333,1.0,1,15.396076047915521,1.0,1.0,0.0,1.0,1.0,1.0,0.03018712636860532
validation,20260820,0.25,10.0,10.0,3,0,-2.7248710471505055,-9.56343785008809,6.838566802937583,0.75,0.75,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.336129416736038,2.166483594633824,0.38512674186631995,0.797591097146731,0.8610866992489502,0.16666666666666666,1.0,1,6.838566802937583,0.75,1.0,0.0,1.0,1.0,0.0,2.166483594633824
validation,20260820,0.25,10.0,10.0,4,1,-2.8734160722404645,-7.643993474210644,4.770577401970179,0.0,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.11651593082793,5.098334245680982,0.3125642578889574,0.8097946365229383,0.8549133241720118,0.16666666666666666,1.0,1,4.770577401970179,0.25,0.0,0.0,0.0,0.0,0.0,5.098334245680982
validation,20260820,0.25,10.0,20.0,0,0,-1.909105562883123,-8.174670718093695,6.265565155210572,0.5,0.75,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,5.741097270024649,5.512014363798101,0.4877196096228886,0.8010054314736407,0.8217510808617797,0.16666666666666666,1.0,1,6.265565155210572,0.75,1.0,0.0,1.0,1.0,0.0,5.512014363798101
validation,20260820,0.25,10.0,20.0,1,1,-2.7429179360157034,-7.674275392089456,4.931357456073752,0.25,0.75,0.0,1.0,0.0,0.0,0.0,1.0,0.0,1.0,0.0,0.0,4.371204471367615,4.150972534845528,0.3575594696508165,0.7925651880101783,0.8481328416382709,0.16666666666666666,1.0,1,4.931357456073752,0.75,1.0,0.0,1.0,1.0,0.0,4.150972534845528
validation,20260820,0.25,10.0,20.0,2,2,-4.819258505668779,-8.744374948903639,3.9251164432348595,0.5,0.75,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,3.2735288334452335,3.20701080776646,0.19426835731162742,0.8026001183023057,0.8915957533259659,0.16666666666666666,1.0,1,3.9251164432348595,0.75,1.0,0.0,1.0,1.0,0.0,3.20701080776646
validation,20260820,0.25,10.0,20.0,3,0,-2.014052018177117,-9.089273449326305,7.0752214311491874,0.5,0.75,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.1230290287054565,3.9436337114859277,0.5007535553024445,0.8028367797731951,0.8316516326456481,0.16666666666666666,1.0,1,7.0752214311491874,0.75,1.0,0.0,1.0,1.0,0.0,3.9436337114859277
validation,20260820,0.25,10.0,20.0,4,1,-3.7000325274273713,-21.011434476416365,17.311401948988994,0.75,1.0,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,1.0,0.2600638288401654,0.02829622746634349,0.4146839264956059,0.8000446321078053,0.8522979360296082,0.08333333333333333,1.0,1,17.311401948988994,1.0,1.0,0.0,1.0,1.0,1.0,0.02829622746634349
validation,20260820,0.25,10.0,30.0,0,0,-2.8166106529790103,-20.9904658966812,18.173855243702192,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,3.205960355906411,3.0523975295953782,0.5140803126766531,0.7977303220358376,0.8599482736168532,0.08333333333333333,1.0,1,18.173855243702192,0.75,0.0,0.0,0.0,1.0,0.0,3.0523975295953782
validation,20260820,0.25,10.0,30.0,1,1,-3.4439644360630934,-8.316053485599607,4.8720890495365134,0.25,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,2.865742835548834,2.7770339599025866,0.30479436443911173,0.7995596634902736,0.8547768879543746,0.16666666666666666,1.0,1,4.8720890495365134,0.5,0.0,0.0,1.0,0.0,0.0,2.7770339599025866
validation,20260820,0.25,10.0,30.0,2,2,-4.126174087084276,-20.94159694175106,16.815422854666785,0.5,0.75,0.0,0.0,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.774846845621007,0.6222730021824419,0.378430160375562,0.7982218686130882,0.8569854416616801,0.08333333333333333,1.0,1,16.815422854666785,0.75,0.0,0.0,0.0,1.0,0.0,0.6222730021824419
validation,20260820,0.25,10.0,30.0,3,0,-4.659264237735718,-30.383198779428042,25.723934541692323,0.75,0.75,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.377079074942095,4.273250510932308,0.34107538107058316,0.8013426814099932,0.8780818038390428,0.08333333333333333,1.0,1,25.723934541692323,0.75,0.0,0.0,1.0,0.0,0.0,4.273250510932308
validation,20260820,0.25,10.0,30.0,4,1,-4.0846231721452355,-20.868741346925987,16.78411817478075,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.777767900550636,4.697366599537258,0.38191593407659,0.8006538685995572,0.885664052058809,0.08333333333333333,1.0,1,16.78411817478075,0.75,0.0,0.0,0.0,1.0,0.0,4.697366599537258
validation,20260820,0.25,20.0,0.0,0,0,-5.354692162476705,-12.948175145018725,7.59348298254202,0.5,0.5,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,0.0,4.112179740447902,4.109061664539553,0.11942952953094299,0.7971111686087323,0.8807745556904999,0.16666666666666666,1.0,1,7.59348298254202,0.5,0.0,0.0,1.0,0.0,0.0,4.109061664539553
validation,20260820,0.25,20.0,0.0,1,1,-3.840999147652861,-12.849651876939639,9.008652729286778,0.5,0.75,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.803294440835344,5.619287081657106,0.1827903103095917,0.797502851439898,0.8602979062113255,0.16666666666666666,1.0,1,9.008652729286778,0.75,1.0,0.0,1.0,1.0,0.0,5.619287081657106
validation,20260820,0.25,20.0,0.0,2,2,-3.246496823751891,-13.238225514832553,9.991728691080663,0.75,0.75,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.0745278858024205,4.884185441845388,0.2128875230456969,0.8003863664810883,0.8367034361456701,0.16666666666666666,1.0,1,9.991728691080663,0.75,1.0,0.0,1.0,1.0,0.0,4.884185441845388
validation,20260820,0.25,20.0,0.0,3,0,-2.0349904922605164,-12.97719400515125,10.942203512890735,0.5,0.75,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.7472583860186501,1.518374000285249,0.2867635102424062,0.79037680676723,0.8264958242195638,0.16666666666666666,1.0,1,10.942203512890735,0.75,1.0,0.0,1.0,1.0,0.0,1.518374000285249
validation,20260820,0.25,20.0,0.0,4,1,-4.776099996891569,-13.07018939888426,8.294089401992691,0.25,0.75,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.3587520061999885,3.231945895593294,0.14001822173959333,0.8154186108494398,0.8713445354452318,0.16666666666666666,1.0,1,8.294089401992691,0.75,1.0,0.0,1.0,1.0,0.0,3.231945895593294
validation,20260820,0.25,20.0,10.0,0,0,-3.290467083068214,-12.878032884363794,9.587565801295579,0.25,0.75,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.5252222195672487,3.356857101485364,0.3790163492622574,0.7973449796675004,0.8384962638937115,0.16666666666666666,1.0,1,9.587565801295579,0.75,1.0,0.0,1.0,1.0,0.0,3.356857101485364
validation,20260820,0.25,20.0,10.0,1,1,-4.540201702899767,-13.162592498465164,8.622390795565398,0.25,0.5,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,0.0,5.648868197599849,5.559897241725063,0.276640462131876,0.7998792709788393,0.868137851361099,0.16666666666666666,1.0,1,8.622390795565398,0.5,0.0,0.0,1.0,0.0,0.0,5.559897241725063
validation,20260820,0.25,20.0,10.0,2,2,-2.3798434459910984,-12.852423552070402,10.472580106079302,0.5,0.75,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,5.128558907426704,4.961143920411861,0.477991031111959,0.7994274766991278,0.8430187635060585,0.16666666666666666,1.0,1,10.472580106079302,0.75,1.0,0.0,1.0,1.0,0.0,4.961143920411861
validation,20260820,0.25,20.0,10.0,3,0,-4.9555573056198305,-13.17519944230709,8.21964213668726,0.5,0.75,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,5.519137686245273,5.38781514865594,0.2458532435461155,0.7989453207226549,0.8709640342887437,0.16666666666666666,1.0,1,8.21964213668726,0.75,1.0,0.0,1.0,1.0,0.0,5.38781514865594
validation,20260820,0.25,20.0,10.0,4,1,-2.8041958245094127,-13.260815578610144,10.456619754100732,0.25,0.75,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,3.0220951569085877,2.8216715547011204,0.4343013620320947,0.796005206231757,0.84960889379117,0.16666666666666666,1.0,1,10.456619754100732,0.75,1.0,0.0,1.0,1.0,0.0,2.8216715547011204
validation,20260820,0.25,20.0,20.0,0,0,-3.5370318194227206,-13.535067289457118,9.998035470034397,0.25,0.75,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.4370864629725344,2.3031460336068625,0.3940926633486522,0.7989513156450228,0.8657335735676868,0.16666666666666666,1.0,1,9.998035470034397,0.75,1.0,0.0,1.0,1.0,0.0,2.3031460336068625
validation,20260820,0.25,20.0,20.0,1,1,-3.3900891891812313,-13.575725593117149,10.185636403935916,0.25,0.75,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,1.7432112675116385,1.5242234757035764,0.4098377373288271,0.8099051540734212,0.8527595034767659,0.16666666666666666,1.0,1,10.185636403935916,0.75,1.0,0.0,1.0,1.0,0.0,1.5242234757035764
validation,20260820,0.25,20.0,20.0,2,2,-2.8934105942359194,-13.490309022800691,10.59689842856477,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,6.385288946147942,6.31396367785369,0.46387651817789205,0.7998985945517906,0.8470171620176375,0.16666666666666666,1.0,1,10.59689842856477,0.5,0.0,0.0,1.0,0.0,0.0,6.31396367785369
validation,20260820,0.25,20.0,20.0,3,0,-4.641795267251003,-13.595575814280865,8.953780547029861,0.0,0.5,0.0,0.0,0.0,0.0,0.0,1.0,0.0,0.0,0.0,0.0,4.774295992757666,4.68633303212621,0.2967171485759326,0.8028746393659567,0.8730230906288132,0.16666666666666666,1.0,1,8.953780547029861,0.5,0.0,0.0,1.0,0.0,0.0,4.68633303212621
validation,20260820,0.25,20.0,20.0,4,1,-3.0964484637372007,-13.238565903648315,10.142117439911114,0.25,0.75,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,1.1176896840895336,1.015055862862545,0.4383946140133414,0.7995593133758333,0.8504911006623749,0.16666666666666666,1.0,1,10.142117439911114,0.75,1.0,0.0,1.0,1.0,0.0,1.015055862862545
validation,20260820,0.25,20.0,30.0,0,0,-2.2053806740274644,-13.44750436806259,11.242123694035126,0.5,0.75,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,0.0,0.0,2.3721023084040502,2.191444477515898,0.5561316634417369,0.8002392950360857,0.834638671648995,0.16666666666666666,1.0,1,11.242123694035126,0.75,1.0,0.0,1.0,1.0,0.0,2.191444477515898
validation,20260820,0.25,20.0,30.0,1,1,-1.3233983006487313,-13.551834531898736,12.228436231250004,0.5,0.5,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,6.569212830454313,7.02184399747593,0.6924364731214637,0.8003680400103446,0.8074507539052083,0.16666666666666666,1.0,1,12.228436231250004,0.5,1.0,0.0,1.0,1.0,0.0,7.02184399747593
validation,20260820,0.25,20.0,30.0,2,2,-3.8209344632349773,-12.924598527962,9.103664064727024,0.5,0.75,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,2.076069239937178,1.9473467721715796,0.36368495900206976,0.7933820823538861,0.8759216575516316,0.16666666666666666,1.0,1,9.103664064727024,0.75,1.0,0.0,1.0,1.0,0.0,1.9473467721715796
validation,20260820,0.25,20.0,30.0,3,0,-5.608050047676425,-13.570770418324209,7.962720370647784,0.25,0.75,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.0,0.0,4.103312926367767,3.9695700798286264,0.2308320538388732,0.799401834838912,0.8729481865799508,0.16666666666666666,1.0,1,7.962720370647784,0.75,1.0,1.0,1.0,1.0,0.0,3.9695700798286264
validation,20260820,0.25,20.0,30.0,4,1,-4.942047991214524,-13.191226184537307,8.249178193322782,0.5,0.75,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,4.384348598833341,4.243774770966266,0.2723904591796798,0.8247744772751077,0.8684019749980135,0.16666666666666666,1.0,1,8.249178193322782,0.75,1.0,0.0,1.0,1.0,0.0,4.243774770966266
validation,20260820,0.5,0.0,0.0,0,0,-2.7017510359985253,-6.966848067955179,4.265097031956653,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.501599929171036,4.404894607143343,0.16813812806401518,0.6451813806966591,0.8534159403930589,0.16666666666666666,1.0,1,4.265097031956653,0.75,0.0,0.0,0.0,1.0,0.0,4.404894607143343
validation,20260820,0.5,0.0,0.0,1,1,-2.053167978070482,-22.274991038191093,20.22182306012061,0.75,1.0,0.0,1.0,0.0,1.0,0.0,1.0,1.0,1.0,0.0,1.0,0.299548355498958,0.022749190292536674,0.30698628383079674,0.555747864020537,0.7929100233704253,0.08333333333333333,1.0,1,20.22182306012061,1.0,1.0,1.0,1.0,1.0,1.0,0.022749190292536674
validation,20260820,0.5,0.0,0.0,2,2,-3.4255917339632425,-7.34443729129408,3.918845557330837,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,5.981429963498537,5.939699490193895,0.1346866243744157,0.3649577697389508,0.8179198776285926,0.08333333333333333,1.0,1,3.918845557330837,0.5,0.0,0.0,0.0,0.0,0.0,5.939699490193895
validation,20260820,0.5,0.0,0.0,3,0,-2.8877432497006295,-7.032172712503834,4.144429462803204,0.25,0.75,0.0,1.0,0.0,0.0,1.0,1.0,0.0,1.0,0.0,0.0,2.9400954053089747,2.7865162815563793,0.15849586542797556,0.791598889491842,0.8470895918803553,0.25,1.0,1,4.144429462803204,0.75,1.0,0.0,1.0,1.0,0.0,2.7865162815563793
validation,20260820,0.5,0.0,0.0,4,1,-1.761150276881577,-6.667530995865679,4.906380718984102,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,1.0,1.0,0.0,0.0,4.915621852752266,4.732880490952636,0.22354103367554434,0.5162564869431382,0.8252343951877382,0.08333333333333333,1.0,1,4.906380718984102,0.75,0.0,0.0,0.0,1.0,0.0,4.732880490952636
validation,20260820,0.5,0.0,10.0,0,0,-3.274093620394034,-24.686045483493203,21.41195186309917,1.0,1.0,1.0,1.0,0.0,0.0,1.0,1.0,1.0,1.0,1.0,1.0,0.22505853963225744,0.024344023348519112,0.424153825809957,0.7384626646407939,0.8586267644648995,0.08333333333333333,1.0,1,21.41195186309917,1.0,1.0,0.0,1.0,1.0,1.0,0.024344023348519112
validation,20260820,0.5,0.0,10.0,1,1,-2.8577137729889146,-21.77690816214197,18.919194389153056,0.5,1.0,0.0,1.0,0.0,0.0,0.0,1.0,1.0,1.0,0.0,1.0,0.29852785608736215,0.047377126874710886,0.46545039684713,0.798013544831908,0.851294468692663,0.16666666666666666,1.0,1,18.919194389153056,1.0,1.0,0.0,1.0,1.0,1.0,0.047377126874710886
