separation_bins,dynamic_range_db,snr_db,scene_count,seed_count,mean_candan_gain_vs_grid_db,candan_gain_vs_grid_db_ci95_low,candan_gain_vs_grid_db_ci95_high,mean_gated_candan_gain_vs_grid_db,gated_candan_gain_vs_grid_db_ci95_low,gated_candan_gain_vs_grid_db_ci95_high,mean_grid_per_component_hit,grid_per_component_hit_ci95_low,grid_per_component_hit_ci95_high,mean_candan_per_component_hit,candan_per_component_hit_ci95_low,candan_per_component_hit_ci95_high,mean_gated_candan_per_component_hit,gated_candan_per_component_hit_ci95_low,gated_candan_per_component_hit_ci95_high,mean_grid_designated_pair_assignment,grid_designated_pair_assignment_ci95_low,grid_designated_pair_assignment_ci95_high,mean_candan_designated_pair_assignment,candan_designated_pair_assignment_ci95_low,candan_designated_pair_assignment_ci95_high,mean_gated_candan_designated_pair_assignment,gated_candan_designated_pair_assignment_ci95_low,gated_candan_designated_pair_assignment_ci95_high,mean_grid_strict_recovery,grid_strict_recovery_ci95_low,grid_strict_recovery_ci95_high,mean_candan_strict_recovery,candan_strict_recovery_ci95_low,candan_strict_recovery_ci95_high,mean_gated_candan_strict_recovery,gated_candan_strict_recovery_ci95_low,gated_candan_strict_recovery_ci95_high,mean_grid_strong_hit,grid_strong_hit_ci95_low,grid_strong_hit_ci95_high,mean_candan_strong_hit,candan_strong_hit_ci95_low,candan_strong_hit_ci95_high,mean_gated_candan_strong_hit,gated_candan_strong_hit_ci95_low,gated_candan_strong_hit_ci95_high,mean_grid_weak_hit,grid_weak_hit_ci95_low,grid_weak_hit_ci95_high,mean_candan_weak_hit,candan_weak_hit_ci95_low,candan_weak_hit_ci95_high,mean_gated_candan_weak_hit,gated_candan_weak_hit_ci95_low,gated_candan_weak_hit_ci95_high,mean_candan_clipping_rate,candan_clipping_rate_ci95_low,candan_clipping_rate_ci95_high,mean_candan_any_clipping,candan_any_clipping_ci95_low,candan_any_clipping_ci95_high,mean_candan_minimum_zeta,candan_minimum_zeta_ci95_low,candan_minimum_zeta_ci95_high,mean_gate_pass,gate_pass_ci95_low,gate_pass_ci95_high
0.25,0.0,0.0,25,5,13.567317472918726,8.765265217852267,18.369369727985184,13.567317472918726,8.765265217852267,18.369369727985184,0.6199999999999999,0.47048385530547976,0.76951614469452,0.7899999999999999,0.6627673014254147,0.9172326985745851,0.7899999999999999,0.6627673014254147,0.9172326985745851,0.24000000000000005,0.032229873263286496,0.44777012673671357,0.6799999999999999,0.34682658737626476,1.0,0.6799999999999999,0.34682658737626476,1.0,0.0,0.0,0.0,0.08,0.0,0.21601747613165112,0.08,0.0,0.21601747613165112,0.56,0.3522298732632865,0.7677701267367136,0.8400000000000001,0.6322298732632865,1.0,0.8400000000000001,0.6322298732632865,1.0,0.5199999999999999,0.14338466233031222,0.8966153376696876,0.72,0.4368570446035456,1.0,0.72,0.4368570446035456,1.0,0.11666666666666667,0.10203351611524862,0.1312998172180847,1.0,1.0,1.0,0.789943093050141,0.7809283859109001,0.7989578001893819,1.0,1.0,1.0
0.25,0.0,10.0,25,5,14.302246636120444,11.579397002284766,17.025096269956123,14.302246636120444,11.579397002284766,17.025096269956123,0.66,0.5579868929012617,0.7620131070987384,0.8,0.7239639193104183,0.8760360806895818,0.8,0.7239639193104183,0.8760360806895818,0.2,0.0,0.4483327996407528,0.6,0.42440219338298335,0.7755978066170166,0.6,0.42440219338298335,0.7755978066170166,0.0,0.0,0.0,0.04,0.0,0.15105780420791173,0.04,0.0,0.15105780420791173,0.4000000000000001,0.22440219338298353,0.5755978066170166,0.72,0.5839825238683488,0.8560174761316511,0.72,0.5839825238683488,0.8560174761316511,0.56,0.19166293340160379,0.9283370665983963,0.64,0.3679650477366978,0.9120349522633022,0.64,0.3679650477366978,0.9120349522633022,0.10666666666666666,0.09533187698902906,0.11800145634430426,1.0,1.0,1.0,0.7958815330817048,0.7883847905647835,0.8033782755986262,1.0,1.0,1.0
0.25,0.0,20.0,25,5,10.548114670640583,5.659396688177238,15.436832653103927,10.548114670640583,5.659396688177238,15.436832653103927,0.52,0.42584616558257815,0.6141538344174219,0.7500000000000001,0.6338529682307406,0.8661470317692597,0.7500000000000001,0.6338529682307406,0.8661470317692597,0.08,0.0,0.21601747613165118,0.52,0.29788439158417657,0.7421156084158235,0.52,0.29788439158417657,0.7421156084158235,0.0,0.0,0.0,0.04,0.0,0.15105780420791173,0.04,0.0,0.15105780420791173,0.48,0.1468265873762648,0.8131734126237351,0.68,0.34682658737626487,1.0,0.68,0.34682658737626487,1.0,0.31999999999999995,0.18398252386834882,0.4560174761316511,0.6400000000000001,0.43222987326328655,0.8477701267367137,0.6400000000000001,0.43222987326328655,0.8477701267367137,0.12,0.09301780358818829,0.1469821964118117,1.0,1.0,1.0,0.7846459559710194,0.7680868539681899,0.8012050579738489,1.0,1.0,1.0
0.25,0.0,30.0,25,5,13.747128482658761,7.205007737319108,20.289249227998415,13.747128482658761,7.205007737319108,20.289249227998415,0.5900000000000001,0.42930162146340056,0.7506983785365996,0.78,0.6241724049474648,0.9358275950525352,0.78,0.6241724049474648,0.9358275950525352,0.2,0.02440219338298341,0.3755978066170166,0.6,0.2958556772416729,0.904144322758327,0.6,0.2958556772416729,0.904144322758327,0.0,0.0,0.0,0.16,0.04894219579208828,0.2710578042079117,0.16,0.04894219579208828,0.2710578042079117,0.6,0.42440219338298335,0.7755978066170166,0.72,0.4978843915841765,0.9421156084158234,0.72,0.4978843915841765,0.9421156084158234,0.44000000000000006,0.16796504773669785,0.7120349522633023,0.72,0.4978843915841765,0.9421156084158234,0.72,0.4978843915841765,0.9421156084158234,0.10999999999999999,0.08640475371696212,0.13359524628303784,0.96,0.8489421957920882,1.0,0.7900283427549423,0.7746987137378469,0.8053579717720376,1.0,1.0,1.0
0.25,10.0,0.0,25,5,10.988777094537895,9.17712521839783,12.80042897067796,10.988777094537895,9.17712521839783,12.80042897067796,0.44000000000000006,0.3590534107645649,0.5209465892354352,0.7300000000000001,0.6959956309670873,0.7640043690329129,0.7300000000000001,0.6959956309670873,0.7640043690329129,0.08,0.0,0.21601747613165118,0.6,0.35166720035924715,0.8483327996407528,0.6,0.35166720035924715,0.8483327996407528,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.39999999999999997,0.0,0.8645881270770379,0.7200000000000001,0.43685704460354574,1.0,0.7200000000000001,0.43685704460354574,1.0,0.52,0.14338466233031233,0.8966153376696877,0.8400000000000001,0.5162136430582595,1.0,0.8400000000000001,0.5162136430582595,1.0,0.13333333333333333,0.1187001827819153,0.14796648388475137,1.0,1.0,1.0,0.7990500310612927,0.7906479594060521,0.8074521027165332,1.0,1.0,1.0
0.25,10.0,10.0,25,5,16.417462438242815,13.730884329748772,19.104040546736858,16.417462438242815,13.730884329748772,19.104040546736858,0.58,0.5244710978960441,0.6355289021039559,0.8,0.7561005483457459,0.8438994516542542,0.8,0.7561005483457459,0.8438994516542542,0.24000000000000005,0.0,0.5637863569417407,0.64,0.43222987326328643,0.8477701267367136,0.64,0.43222987326328643,0.8477701267367136,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.6400000000000001,0.43222987326328655,0.8477701267367137,0.8,0.49585567724167295,1.0,0.8,0.49585567724167295,1.0,0.52,0.23685704460354567,0.8031429553964544,0.8400000000000001,0.6322298732632865,1.0,0.8400000000000001,0.6322298732632865,1.0,0.11000000000000001,0.08640475371696213,0.1335952462830379,0.96,0.8489421957920882,1.0,0.7985045480621356,0.7946942663935884,0.8023148297306827,1.0,1.0,1.0
0.25,10.0,20.0,25,5,10.4492531014425,5.528103568417753,15.370402634467247,10.4492531014425,5.528103568417753,15.370402634467247,0.42000000000000004,0.29126153660354615,0.5487384633964539,0.7,0.6379168000898118,0.7620831999101881,0.7,0.6379168000898118,0.7620831999101881,0.12000000000000002,0.0,0.3421156084158235,0.6,0.2958556772416729,0.904144322758327,0.6,0.2958556772416729,0.904144322758327,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.44000000000000006,0.03194757160504669,0.8480524283949534,0.72,0.30445974652657287,1.0,0.72,0.30445974652657287,1.0,0.4800000000000001,0.14682658737626492,0.8131734126237353,0.8400000000000001,0.6322298732632865,1.0,0.8400000000000001,0.6322298732632865,1.0,0.13999999999999996,0.108615388527526,0.1713846114724739,0.96,0.8489421957920882,1.0,0.8006597759310374,0.7983489399255836,0.8029706119364912,1.0,1.0,1.0
0.25,10.0,30.0,25,5,14.359169715401743,8.517713650926801,20.200625779876685,14.359169715401743,8.517713650926801,20.200625779876685,0.5199999999999999,0.4072202666850479,0.6327797333149519,0.74,0.6880574683158216,0.7919425316841784,0.74,0.6880574683158216,0.7919425316841784,0.08,0.0,0.21601747613165112,0.48,0.3439825238683489,0.616017476131651,0.48,0.3439825238683489,0.616017476131651,0.0,0.0,0.0,0.04,0.0,0.15105780420791173,0.04,0.0,0.15105780420791173,0.52,0.18682658737626484,0.8531734126237351,0.76,0.5522298732632864,0.9677701267367136,0.76,0.5522298732632864,0.9677701267367136,0.52,0.29788439158417657,0.7421156084158235,0.72,0.43685704460354563,1.0,0.72,0.43685704460354563,1.0,0.12333333333333332,0.09973808705029545,0.14692857961637118,1.0,1.0,1.0,0.7987512963281194,0.7926778984787132,0.8048246941775256,1.0,1.0,1.0
0.25,20.0,0.0,25,5,9.418050419629488,7.167353111333263,11.668747727925712,9.418050419629488,7.167353111333263,11.668747727925712,0.41000000000000003,0.32905341076456485,0.4909465892354352,0.7200000000000001,0.6859956309670873,0.7540043690329129,0.7200000000000001,0.6859956309670873,0.7540043690329129,0.04,0.0,0.15105780420791173,0.8400000000000001,0.7289421957920883,0.9510578042079119,0.8400000000000001,0.7289421957920883,0.9510578042079119,0.0,0.0,0.0,0.04,0.0,0.15105780420791173,0.04,0.0,0.15105780420791173,0.36,0.15222987326328646,0.5677701267367135,0.96,0.8489421957920882,1.0,0.96,0.8489421957920882,1.0,0.56,0.4489421957920883,0.6710578042079118,0.8800000000000001,0.7439825238683491,1.0,0.8800000000000001,0.7439825238683491,1.0,0.15999999999999998,0.14866521032236238,0.17133478967763757,1.0,1.0,1.0,0.8049527167165765,0.7994154435172666,0.8104899899158865,1.0,1.0,1.0
0.25,20.0,10.0,25,5,9.064722496245286,7.995840396679044,10.13360459581153,9.064722496245286,7.995840396679044,10.13360459581153,0.41000000000000003,0.32905341076456485,0.4909465892354352,0.6799999999999999,0.6459956309670872,0.7140043690329126,0.6799999999999999,0.6459956309670872,0.7140043690329126,0.24,0.0,0.5120349522633022,0.8,0.6244021933829834,0.9755978066170167,0.8,0.6244021933829834,0.9755978066170167,0.0,0.0,0.0,0.08,0.0,0.21601747613165112,0.08,0.0,0.21601747613165112,0.6,0.2958556772416729,0.904144322758327,0.8799999999999999,0.7439825238683488,1.0,0.8799999999999999,0.7439825238683488,1.0,0.5200000000000001,0.18682658737626495,0.8531734126237354,0.8800000000000001,0.7439825238683491,1.0,0.8800000000000001,0.7439825238683491,1.0,0.1633333333333333,0.1540785163160073,0.1725881503506593,1.0,1.0,1.0,0.8017574400323007,0.7972058104218479,0.8063090696427534,1.0,1.0,1.0
