profile,seed,snr_db,l_value,n_samples,source_alpha,delay_alpha,angle_alpha,estimator_mode,mean_grid_channel_nmse_db,mean_trained_refinement_channel_nmse_db,mean_trained_refinement_gain_vs_grid_db,mean_grid_physical_delay_rmse_ns,mean_trained_refinement_physical_delay_rmse_ns,mean_physical_delay_rmse_reduction_vs_grid_ns,mean_grid_projected_broadside_angle_rmse_deg,mean_trained_refinement_projected_broadside_angle_rmse_deg,mean_projected_angle_rmse_reduction_vs_grid_deg,mean_support_recall,mean_topk_energy_efficiency
A,20260626.0,0.0,4.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-7.469479954939043,-10.94730084068737,3.477820885748328,115.42643280691922,99.72738055037229,15.699052256546949,25.528811697968692,25.528811697968692,0.0,0.9375,0.9876993648898842
A,20260626.0,0.0,8.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-7.9970897330675985,-11.043089778328403,3.046000045260804,971.7506900804367,971.5839091178458,0.16678096259085962,37.75423328481329,34.18846910261587,3.565764182197415,0.8125,0.9821377619202674
A,20260626.0,0.0,16.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-5.9041886458534965,-7.25092269824591,1.346734052392413,1570.7788466794432,1569.6373597581487,1.141486921294188,33.90562391205945,33.90562391205945,0.0,0.515625,0.9538195589490055
A,20260626.0,10.0,4.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-7.912881396376008,-11.852068701433076,3.9391873050570676,95.03169154441964,85.94854379708534,9.083147747334298,24.31712481871731,24.31712481871731,0.0,0.875,0.9903821823036573
A,20260626.0,10.0,8.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-10.6447981279311,-18.842543386655965,8.197745258724865,127.24859709044787,124.34133528808343,2.9072618023644274,26.655174429000738,25.08087793848516,1.5742964905155823,0.90625,0.9976510979492663
A,20260626.0,10.0,16.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-12.620120028290167,-18.81450397499412,6.194383946703954,510.1211769583532,514.2041637480545,-4.0829867897013585,30.52433467915233,29.71673347273222,0.8076012064201059,0.84375,0.9947856186744567
A,20260626.0,20.0,4.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-8.092910535358746,-12.305119783069049,4.212209247710302,108.77070503339405,94.41544263037392,14.355262403020127,25.528811697968692,25.528811697968692,0.0,1.0,1.0
A,20260626.0,20.0,8.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-10.920396643024853,-19.31484487820181,8.394448235176954,137.93210472187207,133.6205125275079,4.311592194364131,32.34545289208007,32.28582538052604,0.05962751155402657,1.0,1.0
A,20260626.0,20.0,16.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-13.796033119640494,-24.420124331785075,10.624091212144577,267.9747137439461,278.35275532985656,-10.378041585910488,26.99656312365413,23.652248531741563,3.3443145919125667,0.921875,0.9991281090816722
A,20260626.0,30.0,4.0,4.0,0.6419195571509573,0.6419195571509573,0.0,axis-ablation-not-paper-estimator,-8.099089019113563,-12.321706401103029,4.222617381989464,108.77070503339405,94.41544263037392,14.355262403020127,25.528811697968692,25.528811697968692,0.0,1.0,1.0
