policy,split,seed,snr_db,sample_index,selected_depth,gate_nmse_db,fixed_depth_nmse_db,gap_vs_fixed_db,depth_savings_percent,passes_sample_gate
snr_scalar_train,test,20260624.0,10.0,0.0,6.0,-14.578440582334718,-14.811089899196974,0.23264931686225587,25.0,1.0
snr_scalar_train,test,20260624.0,10.0,1.0,5.0,-15.580118879177029,-16.57867271910819,0.9985538399311622,37.5,0.0
snr_scalar_train,test,20260624.0,20.0,0.0,6.0,-15.936675396047956,-16.297954034995186,0.3612786389472298,25.0,1.0
snr_scalar_train,test,20260624.0,20.0,1.0,6.0,-15.416617119800351,-15.71580167398517,0.29918455418481926,25.0,1.0
snr_scalar_train,test,20260624.0,30.0,0.0,6.0,-17.304344847393043,-17.878944450465223,0.5745996030721798,25.0,0.0
snr_scalar_train,test,20260624.0,30.0,1.0,5.0,-15.167312405090742,-15.82308440515093,0.6557720000601872,37.5,0.0
snr_scalar_train,test,20260625.0,10.0,0.0,6.0,-15.880411430286292,-16.203019789742925,0.32260835945663224,25.0,1.0
snr_scalar_train,test,20260625.0,10.0,1.0,5.0,-13.091270101268378,-13.436425486672892,0.34515538540451374,37.5,1.0
snr_scalar_train,test,20260625.0,20.0,0.0,5.0,-13.754661831725958,-14.236763911483973,0.48210207975801467,37.5,1.0
snr_scalar_train,test,20260625.0,20.0,1.0,5.0,-13.838128614309644,-14.154813111745081,0.31668449743543725,37.5,1.0
snr_scalar_train,test,20260625.0,30.0,0.0,6.0,-16.10640607223597,-16.596978944629047,0.4905728723930771,25.0,1.0
snr_scalar_train,test,20260625.0,30.0,1.0,5.0,-14.500264917573393,-15.126916085271876,0.6266511676984834,37.5,0.0
curve_feature_knn_train,test,20260624.0,10.0,0.0,6.0,-14.578440582334718,-14.811089899196974,0.23264931686225587,25.0,1.0
curve_feature_knn_train,test,20260624.0,10.0,1.0,7.0,-16.45688860923999,-16.57867271910819,0.12178410986820154,12.5,0.0
curve_feature_knn_train,test,20260624.0,20.0,0.0,6.0,-15.936675396047956,-16.297954034995186,0.3612786389472298,25.0,1.0
curve_feature_knn_train,test,20260624.0,20.0,1.0,6.0,-15.416617119800351,-15.71580167398517,0.29918455418481926,25.0,1.0
curve_feature_knn_train,test,20260624.0,30.0,0.0,6.0,-17.304344847393043,-17.878944450465223,0.5745996030721798,25.0,0.0
curve_feature_knn_train,test,20260624.0,30.0,1.0,5.0,-15.167312405090742,-15.82308440515093,0.6557720000601872,37.5,0.0
curve_feature_knn_train,test,20260625.0,10.0,0.0,6.0,-15.880411430286292,-16.203019789742925,0.32260835945663224,25.0,1.0
curve_feature_knn_train,test,20260625.0,10.0,1.0,6.0,-13.302917369955233,-13.436425486672892,0.1335081167176586,25.0,1.0
curve_feature_knn_train,test,20260625.0,20.0,0.0,5.0,-13.754661831725958,-14.236763911483973,0.48210207975801467,37.5,1.0
curve_feature_knn_train,test,20260625.0,20.0,1.0,6.0,-14.026766381118636,-14.154813111745081,0.1280467306264459,25.0,1.0
curve_feature_knn_train,test,20260625.0,30.0,0.0,6.0,-16.10640607223597,-16.596978944629047,0.4905728723930771,25.0,1.0
curve_feature_knn_train,test,20260625.0,30.0,1.0,5.0,-14.500264917573393,-15.126916085271876,0.6266511676984834,37.5,0.0
per_curve_quality_oracle,test,20260624.0,10.0,0.0,6.0,-14.578440582334718,-14.811089899196974,0.23264931686225587,25.0,1.0
per_curve_quality_oracle,test,20260624.0,10.0,1.0,6.0,-16.233312939632185,-16.57867271910819,0.3453597794760057,25.0,1.0
per_curve_quality_oracle,test,20260624.0,20.0,0.0,6.0,-15.936675396047956,-16.297954034995186,0.3612786389472298,25.0,1.0
per_curve_quality_oracle,test,20260624.0,20.0,1.0,6.0,-15.416617119800351,-15.71580167398517,0.29918455418481926,25.0,1.0
per_curve_quality_oracle,test,20260624.0,30.0,0.0,7.0,-17.721927202765038,-17.878944450465223,0.15701724770018544,12.5,0.0
per_curve_quality_oracle,test,20260624.0,30.0,1.0,6.0,-15.494543288779106,-15.82308440515093,0.3285411163718237,25.0,1.0
per_curve_quality_oracle,test,20260625.0,10.0,0.0,6.0,-15.880411430286292,-16.203019789742925,0.32260835945663224,25.0,1.0
per_curve_quality_oracle,test,20260625.0,10.0,1.0,5.0,-13.091270101268378,-13.436425486672892,0.34515538540451374,37.5,1.0
per_curve_quality_oracle,test,20260625.0,20.0,0.0,5.0,-13.754661831725958,-14.236763911483973,0.48210207975801467,37.5,1.0
per_curve_quality_oracle,test,20260625.0,20.0,1.0,5.0,-13.838128614309644,-14.154813111745081,0.31668449743543725,37.5,1.0
per_curve_quality_oracle,test,20260625.0,30.0,0.0,6.0,-16.10640607223597,-16.596978944629047,0.4905728723930771,25.0,1.0
per_curve_quality_oracle,test,20260625.0,30.0,1.0,6.0,-14.909657731111249,-15.126916085271876,0.21725835416062722,25.0,1.0
