split,seed,snr_db,sample_index,depth,nmse_db
train,20260625.0,10.0,0.0,1.0,-7.276106694881845
train,20260625.0,10.0,0.0,2.0,-10.202643036100811
train,20260625.0,10.0,0.0,3.0,-12.192359940090974
train,20260625.0,10.0,0.0,4.0,-14.05573226365609
train,20260625.0,10.0,0.0,5.0,-14.9027142415378
train,20260625.0,10.0,0.0,6.0,-15.321155095957772
train,20260625.0,10.0,0.0,7.0,-15.465951961536092
train,20260625.0,10.0,0.0,8.0,-15.623327529965769
train,20260625.0,10.0,1.0,0.0,-5.135567266215206
train,20260625.0,10.0,1.0,1.0,-8.237800764339752
train,20260625.0,10.0,1.0,2.0,-11.098877373669996
train,20260625.0,10.0,1.0,3.0,-12.367647685099623
train,20260625.0,10.0,1.0,4.0,-13.718176958904477
train,20260625.0,10.0,1.0,5.0,-14.529618710950507
train,20260625.0,10.0,1.0,6.0,-14.873451200280925
train,20260625.0,10.0,1.0,7.0,-14.965915225353433
train,20260625.0,10.0,1.0,8.0,-15.052990203148944
test,20260625.0,10.0,0.0,0.0,-5.3768026929729205
test,20260625.0,10.0,0.0,1.0,-7.476624819382004
test,20260625.0,10.0,0.0,2.0,-10.583407855874237
test,20260625.0,10.0,0.0,3.0,-12.306143819080944
test,20260625.0,10.0,0.0,4.0,-14.465801295906857
test,20260625.0,10.0,0.0,5.0,-15.368928848761534
test,20260625.0,10.0,0.0,6.0,-15.880411430286292
test,20260625.0,10.0,0.0,7.0,-16.108512053655776
test,20260625.0,10.0,0.0,8.0,-16.203019789742925
test,20260625.0,10.0,1.0,0.0,-5.001306347438695
test,20260625.0,10.0,1.0,1.0,-7.827360749960013
test,20260625.0,10.0,1.0,2.0,-10.278619376944047
test,20260625.0,10.0,1.0,3.0,-11.489060189639966
test,20260625.0,10.0,1.0,4.0,-12.576379360740281
test,20260625.0,10.0,1.0,5.0,-13.091270101268378
test,20260625.0,10.0,1.0,6.0,-13.302917369955233
test,20260625.0,10.0,1.0,7.0,-13.407603857642584
test,20260625.0,10.0,1.0,8.0,-13.436425486672892
train,20260625.0,20.0,0.0,0.0,-5.925899720887184
train,20260625.0,20.0,0.0,1.0,-8.035414178723947
train,20260625.0,20.0,0.0,2.0,-11.020573122677732
train,20260625.0,20.0,0.0,3.0,-13.079314891961836
train,20260625.0,20.0,0.0,4.0,-14.99755544140045
train,20260625.0,20.0,0.0,5.0,-16.622408614200207
train,20260625.0,20.0,0.0,6.0,-17.14625084518973
train,20260625.0,20.0,0.0,7.0,-17.539902881330654
train,20260625.0,20.0,0.0,8.0,-17.70228235901219
train,20260625.0,20.0,1.0,0.0,-4.947864027548172
train,20260625.0,20.0,1.0,1.0,-6.887711400064874
train,20260625.0,20.0,1.0,2.0,-8.862683849330699
train,20260625.0,20.0,1.0,3.0,-10.046182162233606
train,20260625.0,20.0,1.0,4.0,-10.926118727680716
train,20260625.0,20.0,1.0,5.0,-11.362679877820527
train,20260625.0,20.0,1.0,6.0,-11.47416129657043
train,20260625.0,20.0,1.0,7.0,-11.674158998560301
train,20260625.0,20.0,1.0,8.0,-11.630402479522255
test,20260625.0,20.0,0.0,0.0,-5.6661966938116475
test,20260625.0,20.0,0.0,1.0,-7.729050820712305
test,20260625.0,20.0,0.0,2.0,-10.071706997920247
test,20260625.0,20.0,0.0,3.0,-11.499173353127443
test,20260625.0,20.0,0.0,4.0,-13.09190779224913
test,20260625.0,20.0,0.0,5.0,-13.754661831725958
test,20260625.0,20.0,0.0,6.0,-13.985054166423437
test,20260625.0,20.0,0.0,7.0,-14.168670500382866
test,20260625.0,20.0,0.0,8.0,-14.236763911483973
test,20260625.0,20.0,1.0,0.0,-5.028971998590911
test,20260625.0,20.0,1.0,1.0,-8.698249657390798
test,20260625.0,20.0,1.0,2.0,-10.799934174184981
test,20260625.0,20.0,1.0,3.0,-12.097717584700147
test,20260625.0,20.0,1.0,4.0,-13.163495026639293
test,20260625.0,20.0,1.0,5.0,-13.838128614309644
test,20260625.0,20.0,1.0,6.0,-14.026766381118636
test,20260625.0,20.0,1.0,7.0,-14.084318002361986
test,20260625.0,20.0,1.0,8.0,-14.154813111745081
train,20260625.0,30.0,0.0,0.0,-5.853725480467038
train,20260625.0,30.0,0.0,1.0,-7.79367991566833
train,20260625.0,30.0,0.0,2.0,-10.658071207740932
train,20260625.0,30.0,0.0,3.0,-12.987750622513554
train,20260625.0,30.0,0.0,4.0,-14.917027748526081
train,20260625.0,30.0,0.0,5.0,-16.063673401796578
train,20260625.0,30.0,0.0,6.0,-16.721439176737395
train,20260625.0,30.0,0.0,7.0,-16.998267063812904
train,20260625.0,30.0,0.0,8.0,-17.077352302922268
train,20260625.0,30.0,1.0,0.0,-5.8976439149330755
train,20260625.0,30.0,1.0,1.0,-7.991059475389783
train,20260625.0,30.0,1.0,2.0,-11.025340079591537
train,20260625.0,30.0,1.0,3.0,-12.887342471095671
train,20260625.0,30.0,1.0,4.0,-14.700650709234077
train,20260625.0,30.0,1.0,5.0,-15.664113347180022
train,20260625.0,30.0,1.0,6.0,-16.333061611014834
train,20260625.0,30.0,1.0,7.0,-16.536710804098988
train,20260625.0,30.0,1.0,8.0,-16.68170980310776
test,20260625.0,30.0,0.0,0.0,-5.194718564489468
test,20260625.0,30.0,0.0,1.0,-7.543554812538005
test,20260625.0,30.0,0.0,2.0,-10.569548417924082
test,20260625.0,30.0,0.0,3.0,-12.532105888953682
test,20260625.0,30.0,0.0,4.0,-14.577734042573267
test,20260625.0,30.0,0.0,5.0,-15.671735167056976
test,20260625.0,30.0,0.0,6.0,-16.10640607223597
test,20260625.0,30.0,0.0,7.0,-16.474121075446426
test,20260625.0,30.0,0.0,8.0,-16.596978944629047
test,20260625.0,30.0,1.0,0.0,-6.0096955763175615
test,20260625.0,30.0,1.0,1.0,-8.238501547263589
test,20260625.0,30.0,1.0,2.0,-10.904768820053736
test,20260625.0,30.0,1.0,3.0,-12.138503418572759
test,20260625.0,30.0,1.0,4.0,-13.692663333411675
test,20260625.0,30.0,1.0,5.0,-14.500264917573393
test,20260625.0,30.0,1.0,6.0,-14.909657731111249
test,20260625.0,30.0,1.0,7.0,-15.031800788306972
test,20260625.0,30.0,1.0,8.0,-15.126916085271876
