user_index,sample_index,snr_db,l_value,grid_channel_nmse_db,source_alpha_channel_nmse_db,source_alpha_gain_vs_grid_db,bounded_refine_channel_nmse_db,bounded_gain_vs_grid_db,oracle_alpha_channel_nmse_db,oracle_alpha_gain_vs_grid_db,source_alpha_gap_vs_oracle_db,oracle_alpha,support_recall,dominant_energy_recall,delay_bin_rmse,tx_bin_rmse,noise_variance,rx_x_m,rx_y_m,rx_z_m
298.0,0.0,0.0,4.0,-8.265394603957564,-10.171132907810456,1.9057383038528926,-10.458588358333369,2.1931937543758053,-10.458588358333369,2.1931937543758053,0.28745545052291277,1.0,0.5,0.9073484406135462,7.54983443527075,0.0,0.9999999999999999,26.899900436401367,6.200439929962158,0.6000000238418579
1192.0,1.0,0.0,4.0,-9.935768969060078,-12.757188974202773,2.821420005142695,-12.653464758415573,2.7176957893554956,-12.822841518225268,2.8870725491651896,0.06565254402249465,0.8,0.75,0.9368774476244808,0.7071067811865476,0.5,0.9999999999999999,27.36989974975586,6.270440101623535,0.6000000238418579
2385.0,2.0,0.0,4.0,-11.297613338019543,-13.583632514049738,2.2860191760301944,-13.371574070005043,2.0739607319854994,-13.61540949841042,2.317796160390877,0.03177698436068255,0.6,0.75,0.9686856551846335,0.5,0.0,0.9999999999999999,27.199899673461914,6.3704400062561035,0.6000000238418579
4472.0,3.0,0.0,4.0,-8.250131712011141,-11.823009574355414,3.5728778623442725,-11.741309392253793,3.491177680242652,-11.841671091365436,3.5915393793542947,0.018661517010022166,0.8,0.75,0.9136325737746172,11.5,0.0,1.0,27.499900817871094,6.540440082550049,0.6000000238418579
4770.0,4.0,0.0,4.0,-8.165712481107043,-7.628927961402566,-0.5367845197044776,-7.544781599222642,-0.6209308818844015,-8.165712481107036,-7.105427357601002e-15,0.5367845197044705,0.0,0.5,0.9330153803715,16.408839081421938,0.7071067811865476,1.0000000000000004,26.849899291992188,6.57043981552124,0.6000000238418579
8049.0,5.0,0.0,4.0,-8.778740332613111,-8.06984244523698,-0.708897887376132,-7.978215614897193,-0.800524717715918,-8.778740332613113,1.7763568394002505e-15,0.7088978873761338,0.0,0.5,0.934154080215795,9.313968005098578,0.5,1.0,26.969900131225586,6.840439796447754,0.6000000238418579
10733.0,6.0,0.0,4.0,-9.140301607355049,-13.464082922851885,4.323781315496836,-13.333107893289618,4.192806285934569,-13.705542881925155,4.565241274570106,0.24145995907326956,0.8,0.5,0.9193594376505108,2.1213203435596424,0.5,0.9999999999999998,27.189899444580078,7.0604400634765625,0.6000000238418579
11031.0,7.0,0.0,4.0,-7.713902702705787,-8.768700586795493,1.054797884089706,-7.807680586973531,0.0937778842677437,-8.81391942000756,1.1000167173017728,0.045218833212066656,0.6,0.5,0.9511755725955149,6.946221994724902,0.0,1.0,26.539899826049805,7.090439796447754,0.6000000238418579
12223.0,8.0,0.0,4.0,-8.25182031732764,-8.215030730776691,-0.03678958655094888,-6.961998918267531,-1.2898213990601093,-8.663136769884076,0.4113164525564361,0.448106039107385,0.4,0.25,0.9484444197714926,21.691011963483863,0.7071067811865476,1.0,26.359899520874023,7.1904401779174805,0.6000000238418579
13714.0,9.0,0.0,4.0,-7.9062285902854335,-8.184086030389414,0.27785744010398084,-6.99328516753133,-0.9129434227541031,-8.508939263790957,0.6027106735055234,0.3248532334015426,0.4,0.5,0.9629588667682436,14.239030865898142,0.5,0.9999999999999998,26.749900817871094,7.3104400634765625,0.6000000238418579
15503.0,10.0,0.0,4.0,-8.936861174029891,-9.80960560415134,0.8727444301214486,-10.529563955777594,1.5927027817477022,-10.88734608360972,1.9504849095798278,1.0777404794583791,1.2,0.5,0.9400440789850472,2.1213203435596424,0.5,1.0,26.489900588989258,7.460440158843994,0.6000000238418579
15801.0,11.0,0.0,4.0,-7.550043896633766,-8.407237530933212,0.8571936342994464,-8.349748465172137,0.7997045685383712,-8.409244797927315,0.8592009012935486,0.0020072669941022525,0.6,0.5,0.9167420439989179,9.617692030835672,0.7071067811865476,0.9999999999999998,27.04990005493164,7.480440139770508,0.6000000238418579
17292.0,12.0,0.0,4.0,-10.894007013293141,-16.05813595044026,5.164128937147119,-16.4901745631916,5.59616754989846,-16.638804529198318,5.7447975159051765,0.5806685787580577,1.2,0.5,0.9481211733844357,0.0,0.7071067811865476,1.0000000000000002,27.439899444580078,7.60044002532959,0.6000000238418579
17590.0,13.0,0.0,4.0,-7.565258952748398,-7.021546444074856,-0.5437125086735426,-6.94718748681086,-0.6180714659375388,-7.565258952748406,7.993605777301127e-15,0.5437125086735506,0.0,0.5,0.9180400065134161,7.44983221287567,0.0,1.0,26.789899826049805,7.6304402351379395,0.6000000238418579
18484.0,14.0,0.0,4.0,-8.781143325906447,-10.156072410050815,1.3749290841443678,-8.840929932261316,0.05978660635486932,-10.222464110583545,1.4413207846770977,0.06639170053272991,0.6,0.5,0.9403812724808961,12.103718436910205,0.5,1.0,27.259899139404297,7.700439929962158,0.6000000238418579
