split,seed,separation_bins,dynamic_range_db,snr_db,sample_index,pair_axis,component_index,component_role,theory_ratio,theory_condition_satisfied,noiseless_candidate_gap,interference_envelope,noise_envelope,candidate_axis_correctness,candidate_all_axis_correct,grid_half_bin_hit,candan_half_bin_hit,local_half_bin_hit
validation,20260820,0.25,0.0,10.0,2,2,0,strong_pair,1.1892422655973896e-06,0.0,2.2056663560144583e-06,0.9216070385005951,0.005734017153229246,0.3333333333333333,0.0,0.0,0.0,0.0
validation,20260820,0.25,0.0,10.0,2,2,1,weak_pair,1.220977315987534e-06,0.0,2.3763821721037564e-06,0.9674135348067037,0.005734017153229246,0.0,0.0,0.0,0.0,0.0
validation,20260820,0.25,0.0,10.0,2,2,2,nuisance,0.12744894660220746,0.0,0.0015325639997280094,0.0002784452506831015,0.005734017153229246,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,10.0,2,2,3,nuisance,1.107047502403052e-05,0.0,2.1261358801104562e-05,0.9545390856247833,0.005734017153229246,0.3333333333333333,0.0,0.0,0.0,0.0
validation,20260820,0.25,0.0,10.0,3,0,0,strong_pair,0.005768733919429911,0.0,0.010109389605031716,0.869298683481543,0.006923876461970863,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,10.0,3,0,1,weak_pair,0.005197252290395267,0.0,0.010035267503186396,0.9585158349920965,0.006923876461970863,0.6666666666666666,0.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,10.0,3,0,2,nuisance,3.3138557727941635,1.0,0.053147983890146855,0.0010951786107448926,0.006923876461970863,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,10.0,3,0,3,nuisance,3.367302962649669,1.0,0.05368222926230726,0.0010472253155872952,0.006923876461970863,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,10.0,4,1,0,strong_pair,0.007193337552515033,0.0,0.014368538242018114,0.9899682927319969,0.00877103634302958,1.0,1.0,1.0,1.0,1.0
validation,20260820,0.25,0.0,10.0,4,1,1,weak_pair,0.016359426167855646,0.0,0.03236277993914016,0.9803461737315277,0.00877103634302958,0.6666666666666666,0.0,0.0,1.0,1.0
