all_component_score_gap_condition,scene_count,seed_count,mean_candidate_axis_correctness,local_per_component_half_bin_hit_rate,local_all_targets_joint_hit_rate,mean_local_gain_db
not_satisfied,1200,5,0.7160416666666667,0.6839583333333333,0.20333333333333334,6.982455707792336
satisfied,0,0,nan,nan,nan,nan
