seed,sample_index,search_radius,local_gain_vs_grid_db,local_per_component_half_bin_hit,harmful_local_update,boundary_saturation_rate
20260822,0,0.25,7.095987281172807,0.5,0.0,0.75
20260822,0,0.35,7.740309265141871,0.5,0.0,0.5
20260822,0,0.45,9.413588071928203,0.5,0.0,0.3333333333333333
20260822,0,0.5,7.841733697042624,0.5,0.0,0.3333333333333333
20260822,0,0.55,8.310361656173427,0.5,0.0,0.25
20260822,1,0.25,9.2812798941902,0.75,0.0,0.75
20260822,1,0.35,9.91108374330871,0.75,0.0,0.4166666666666667
20260822,1,0.45,8.03653235009672,0.75,0.0,0.25
20260822,1,0.5,6.856469123636272,0.75,0.0,0.16666666666666666
20260822,1,0.55,7.546892501894041,0.75,0.0,0.16666666666666666
20260822,2,0.25,4.2757954573372565,0.5,0.0,0.6666666666666666
20260822,2,0.35,4.298010784319514,0.5,0.0,0.3333333333333333
20260822,2,0.45,4.182653246920063,0.5,0.0,0.3333333333333333
20260822,2,0.5,3.5540410515123564,0.5,0.0,0.3333333333333333
20260822,2,0.55,3.4922879296600917,0.5,0.0,0.3333333333333333
20260822,3,0.25,7.561931252726762,0.75,0.0,0.8333333333333334
20260822,3,0.35,9.0882796356793,0.75,0.0,0.5
20260822,3,0.45,11.233458996530299,0.75,0.0,0.4166666666666667
20260822,3,0.5,10.092189103173038,0.75,0.0,0.3333333333333333
20260822,3,0.55,10.550853985043123,0.75,0.0,0.3333333333333333
20260822,4,0.25,4.386083322618034,0.5,0.0,0.6666666666666666
20260822,4,0.35,5.218889464010471,0.5,0.0,0.6666666666666666
20260822,4,0.45,5.0224845523092885,0.5,0.0,0.5
20260822,4,0.5,4.855557347015244,0.5,0.0,0.5
20260822,4,0.55,4.611285728302922,0.5,0.0,0.5
20260822,5,0.25,4.097872601958539,0.5,0.0,0.6666666666666666
20260822,5,0.35,4.138730422103378,0.5,0.0,0.5
20260822,5,0.45,3.7889283912749168,0.5,0.0,0.5
20260822,5,0.5,3.4454907572265627,0.5,0.0,0.25
20260822,5,0.55,3.941773763164359,0.5,0.0,0.16666666666666666
20260822,6,0.25,6.455635015900992,0.75,0.0,0.8333333333333334
20260822,6,0.35,9.49653499832924,0.75,0.0,0.5
20260822,6,0.45,10.951457232036526,0.75,0.0,0.4166666666666667
20260822,6,0.5,9.521742668168809,0.75,0.0,0.4166666666666667
20260822,6,0.55,7.724290408870528,0.75,0.0,0.3333333333333333
20260822,7,0.25,8.555438530369369,0.75,0.0,0.5
20260822,7,0.35,10.035729972530994,0.75,0.0,0.4166666666666667
20260822,7,0.45,8.155897989207233,0.75,0.0,0.3333333333333333
20260822,7,0.5,7.236205842503694,0.75,0.0,0.08333333333333333
20260822,7,0.55,6.9802837357268706,0.75,0.0,0.08333333333333333
20260822,8,0.25,4.8328203657821796,0.5,0.0,0.8333333333333334
