score_gap_condition,component_count,seed_count,mean_candidate_axis_correctness,candidate_all_axis_correct_rate,grid_half_bin_hit_rate,local_half_bin_hit_rate,mean_theory_ratio
not_satisfied,3740,5,0.6355614973262033,0.41657754010695186,0.4590909090909091,0.5949197860962567,0.1106562168038377
satisfied,1060,5,1.0,1.0,0.7132075471698113,0.9981132075471698,7.1856235249417395
