split,seed,separation_bins,dynamic_range_db,snr_db,sample_index,pair_axis,grid_nmse_db,candan_nmse_db,local_nmse_db,candan_gain_vs_grid_db,local_gain_vs_grid_db,grid_per_component_half_bin_hit,candan_per_component_half_bin_hit,local_per_component_half_bin_hit,grid_controlled_pair_joint_hit,candan_controlled_pair_joint_hit,local_controlled_pair_joint_hit,grid_distinct_pair_recovery,candan_distinct_pair_recovery,local_distinct_pair_recovery,grid_pair_separation_error_bins,candan_pair_separation_error_bins,local_pair_separation_error_bins,grid_pair_normalized_separation_error,local_pair_normalized_separation_error,grid_strong_component_hit,candan_strong_component_hit,local_strong_component_hit,grid_weak_component_hit,candan_weak_component_hit,local_weak_component_hit,grid_all_targets_joint_hit,local_all_targets_joint_hit,minimum_candidate_margin,mean_candidate_margin,candidate_axis_correctness,boundary_saturation_rate,coarse_design_condition,refined_design_condition,q_sup,duplicate_neighborhood_rate,coarse_mean_absolute_bin_error,coarse_maximum_absolute_bin_error,theory_ratio_min,theory_ratio_mean,theory_condition_fraction,theory_any_component_condition,theory_all_components_condition,noiseless_candidate_gap_min,interference_envelope_max,noise_envelope,theory_eta,residual_reduction_fraction,harmful_local_update,gate_pass,gated_gain_vs_grid_db,gated_per_component_half_bin_hit
validation,20260820,0.25,0.0,0.0,0,0,-1.9940948656087754,-4.621941223349535,-4.511939116847854,2.6278463577407596,2.5178442512390786,0.0,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.21442408111607697,0.15000000000000036,3.0,0.6000000000000014,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.05466581640526568,0.07434184682241685,0.5833333333333334,0.5,1.0000000000000049,11.04090038745967,0.0,0.5,9.777923121389689,49.410160663848245,9.523935953358165e-07,0.27366345237681855,0.25,1.0,0.0,1.8950164890256613e-06,0.9940334347144086,0.020711632210764212,0.05,0.13707467154309794,0.0,1,2.5178442512390786,0.25
validation,20260820,0.25,0.0,0.0,1,1,-2.1713847689526338,-17.74264706242681,-12.234580798961703,15.571262293474174,10.06319603000907,0.5,0.75,0.75,0.0,0.0,0.0,0.0,0.0,0.0,10.75,11.136723113970431,11.020009982249345,43.0,44.08003992899738,0.0,1.0,1.0,1.0,0.0,0.0,0.0,0.0,0.011299790542843661,0.01801744104728018,0.6666666666666666,0.4166666666666667,1.0000000000000047,11.030343144991143,0.5,0.25,1.2326459191292523,11.474895942555051,8.241453321420434e-05,0.08578947783905203,0.0,0.0,0.0,0.00016566372200270754,0.9799812897723306,0.02508247472251578,0.05,0.272484922627969,0.0,1,10.06319603000907,0.75
validation,20260820,0.25,0.0,0.0,2,2,-3.207687254412323,-31.61380159123539,-15.526134249299714,28.406114336823066,12.318446994887392,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,0.20374756710671912,0.14999999999999858,3.0,0.5999999999999943,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.045266403370725655,0.05685416507128393,1.0,0.4166666666666667,1.0000000000000047,11.01385676429553,1.0,0.0,0.2333872729054091,0.41644924613217427,0.0015647290215474445,0.3287267730614857,0.0,0.0,0.0,0.0030711790281453544,0.9546825425008298,0.026694739396869203,0.05,0.22582079144831402,0.0,1,12.318446994887392,1.0
validation,20260820,0.25,0.0,0.0,3,0,-5.153786809536434,-10.10227351323121,-8.496050842137398,4.948486703694777,3.3422640326009647,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,59.841596750294464,59.61180429982353,59.83495027875117,239.36638700117786,239.3398011150047,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0013051848652711861,0.0044229685837952675,0.25,0.16666666666666666,1.0000000000000013,4.691376135563646,0.25,0.5,14.296157629008881,63.162088571553,7.271409101946478e-09,0.013421897688251545,0.0,0.0,0.0,1.3215076474428435e-08,0.9721012482983705,0.017647035119969887,0.05,0.08089725830218997,0.0,1,3.3422640326009647,0.25
validation,20260820,0.25,0.0,0.0,4,1,-6.23676163461157,-10.122154881955261,-9.312706650979722,3.885393247343691,3.075945016368152,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,15.687377450509228,15.925068791148846,16.03528860659215,62.74950980203691,64.1411544263686,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003250835947878464,0.055001035207760444,0.5,0.25,1.000000000000004,11.029987639637973,0.25,0.5,7.686922140428099,39.65864806373081,8.744862420694467e-07,0.3810075428169094,0.25,1.0,0.0,1.5283410778649562e-06,0.9788307973893458,0.017635804110914154,0.05,0.05966563316371898,0.0,1,3.075945016368152,0.5
validation,20260820,0.25,0.0,10.0,0,0,-3.564519137807606,-34.79045048863484,-15.013534775160815,31.22593135082723,11.44901563735321,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,0.1968069714446468,0.15000000000000568,3.0,0.6000000000000227,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.00395096482550056,0.05470533019346658,1.0,0.5,1.000000000000021,11.008830384298127,1.0,0.0,0.2326222496051944,0.42689996704051936,0.001828237841131378,0.6175097562964783,0.25,1.0,0.0,0.0013116855599499821,0.9559141191910592,0.007316644348036407,0.05,0.37225244678205305,0.0,1,11.44901563735321,1.0
validation,20260820,0.25,0.0,10.0,1,1,-4.10354360702413,-24.5495705152136,-15.105504592271702,20.44602690818947,11.001960985247571,0.75,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.75,0.0037124668983526954,0.07500000000000284,3.0,0.30000000000001137,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.025874697119552804,0.0599058131621702,0.9166666666666666,0.3333333333333333,1.0000000000000067,3.3359219635087443,0.75,0.25,0.2884948983812124,0.7534208258576314,0.005983322940292802,1.3263531551762373,0.5,1.0,0.0,0.010106663872226473,0.9698607372736936,0.008785921215498016,0.05,0.3260281645411658,0.0,1,11.001960985247571,1.0
validation,20260820,0.25,0.0,10.0,2,2,-1.8330326077197698,-8.382936727854505,-7.3876498296203295,6.549904120134735,5.55461722190056,0.25,0.25,0.25,0.0,0.0,0.0,0.0,0.0,0.0,0.75,0.10327536369276386,0.15000000000000568,3.0,0.6000000000000227,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.003281396817719392,0.008568714967829745,0.4166666666666667,0.6666666666666666,1.0000000000000138,11.030143138618282,0.25,0.5,10.225563391880252,59.645232044836234,1.1892422655973896e-06,0.031865606824203266,0.0,0.0,0.0,2.2056663560144583e-06,0.9674135348067037,0.005734017153229246,0.05,0.43056251434986037,0.0,1,5.55461722190056,0.25
validation,20260820,0.25,0.0,10.0,3,0,-3.2947679365847033,-34.36931169623647,-15.298148173335992,31.074543759651768,12.003380236751289,1.0,1.0,1.0,1.0,1.0,1.0,0.0,0.0,0.0,0.75,0.14168272752349192,0.14999999999999858,3.0,0.5999999999999943,1.0,1.0,1.0,1.0,1.0,1.0,1.0,1.0,0.019999097444337317,0.06272337270207147,0.9166666666666666,0.3333333333333333,1.0000000000000093,11.008830419977802,1.0,0.0,0.23953570407425673,0.4838702015324401,0.005197252290395267,1.6730311804134144,0.5,1.0,0.0,0.010035267503186396,0.9585158349920965,0.006923876461970863,0.05,0.39875196538207347,0.0,1,12.003380236751289,1.0
validation,20260820,0.25,0.0,10.0,4,1,-2.600209823903494,-24.251585234066578,-17.11359358160949,21.651375410163084,14.513383757705995,0.75,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.75,0.23833137440000293,0.14999999999999858,3.0,0.5999999999999943,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.017730965680531046,0.07841513706036145,0.9166666666666666,0.3333333333333333,1.0000000000000016,11.01385694792636,0.75,0.25,0.2760239098957708,0.509780685140143,0.007193337552515033,0.6192876175373757,0.25,1.0,0.0,0.009595344384014881,0.9899682927319969,0.00877103634302958,0.05,0.4825555375757065,0.0,1,14.513383757705995,1.0
validation,20260820,0.25,0.0,20.0,0,0,-4.698839910810765,-32.36349510256999,-13.986292009577426,27.664655191759227,9.28745209876666,0.75,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.75,0.044930390577914425,0.07500000000000284,3.0,0.30000000000001137,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.014149173280423158,0.030454790995046464,0.9166666666666666,0.4166666666666667,1.0000000000000084,3.3359243383999178,0.75,0.0,0.24978098222795322,0.6656185966075299,0.007827390265159025,0.8008489567476548,0.25,1.0,0.0,0.006428544979237616,0.9654289447107001,0.002719277653350308,0.05,0.29625637078368044,0.0,1,9.28745209876666,1.0
validation,20260820,0.25,0.0,20.0,1,1,-3.8014960959877926,-15.904476772724518,-11.626920009095517,12.102980676736726,7.825423913107725,0.75,1.0,1.0,0.0,1.0,1.0,0.0,0.0,0.0,0.75,0.15371153309084606,0.14999999999999858,3.0,0.5999999999999943,1.0,1.0,1.0,0.0,1.0,1.0,0.0,1.0,0.013846913566938578,0.032374618694972046,0.9166666666666666,0.25,1.000000000000003,11.013856728228587,0.75,0.25,0.23460687013229156,0.5964196159546198,0.009953903226206475,0.8525621887894994,0.5,1.0,0.0,0.006727258099809119,0.9836467494395775,0.0023653474421686757,0.05,0.34408518093011414,0.0,1,7.825423913107725,1.0
validation,20260820,0.25,0.0,20.0,2,2,-4.1898436040764135,-7.043259276903765,-6.210908455225191,2.853415672827351,2.021064851148777,0.25,0.5,0.5,0.0,0.0,0.0,0.0,0.0,0.0,46.0209412050371,46.3422976803573,46.3338893824893,184.0837648201484,185.3355575299572,0.0,0.0,0.0,1.0,1.0,1.0,0.0,0.0,0.00998235009033417,0.02633908450743834,0.5,0.25,1.0000000000000033,11.013856787466516,0.25,0.5,7.090079019907141,46.09182075282338,1.2356149859010318e-06,0.7268362773241193,0.25,1.0,0.0,4.332956565600369e-06,1.7506489769716995,0.0027113395676400223,0.05,0.14026024423085878,0.0,1,2.021064851148777,0.5
