snr_db,n_targets,comparator,seed_mean_nomp_advantage_db,ci95_low_db,ci95_high_db,nomp_to_scalar_median_runtime_ratio
0.0,2,grid_fft_topk_plus_ls,35.90879179924593,34.77499569094083,37.04258790755104,5.770287448400807
0.0,2,deterministic_cartesian_local_refinement_plus_ls,28.483937295511947,27.129144346253128,29.838730244770765,5.770287448400807
0.0,2,fixed_source_trained_scalar_interpolation_plus_ls,29.947976447435344,28.637801290749902,31.258151604120787,5.770287448400807
0.0,4,grid_fft_topk_plus_ls,33.17460689535384,32.587470457717735,33.761743332989944,7.919363162459465
0.0,4,deterministic_cartesian_local_refinement_plus_ls,25.896170837912177,25.040318281492265,26.752023394332088,7.919363162459465
0.0,4,fixed_source_trained_scalar_interpolation_plus_ls,27.444947190935686,26.5870589421731,28.30283543969827,7.919363162459465
0.0,8,grid_fft_topk_plus_ls,29.82772406387507,29.014759515532162,30.64068861221798,13.507495046104678
0.0,8,deterministic_cartesian_local_refinement_plus_ls,23.004406968069826,22.263225126561487,23.745588809578166,13.507495046104678
0.0,8,fixed_source_trained_scalar_interpolation_plus_ls,24.27468127718906,23.53636819384334,25.01299436053478,13.507495046104678
10.0,2,grid_fft_topk_plus_ls,45.99248963982397,44.91944061083266,47.065538668815286,5.298754614381857
10.0,2,deterministic_cartesian_local_refinement_plus_ls,38.107574471823845,37.35058174087936,38.86456720276833,5.298754614381857
10.0,2,fixed_source_trained_scalar_interpolation_plus_ls,39.93976523233789,38.71211359963182,41.16741686504396,5.298754614381857
10.0,4,grid_fft_topk_plus_ls,42.97729600900171,42.61963312808224,43.33495888992118,7.86315893542967
10.0,4,deterministic_cartesian_local_refinement_plus_ls,35.87030290497643,35.38324929723333,36.35735651271953,7.86315893542967
10.0,4,fixed_source_trained_scalar_interpolation_plus_ls,37.1909311934269,36.776981286650084,37.60488110020371,7.86315893542967
10.0,8,grid_fft_topk_plus_ls,39.75748921027999,39.314366389486935,40.20061203107305,13.745152714568244
10.0,8,deterministic_cartesian_local_refinement_plus_ls,33.0753018002397,32.23409343334032,33.91651016713908,13.745152714568244
10.0,8,fixed_source_trained_scalar_interpolation_plus_ls,34.241656867745064,33.538917967593484,34.944395767896644,13.745152714568244
20.0,2,grid_fft_topk_plus_ls,56.95713481834961,56.247823895583664,57.66644574111555,5.500779384532583
20.0,2,deterministic_cartesian_local_refinement_plus_ls,48.54836868180233,48.381837594197236,48.714899769407424,5.500779384532583
20.0,2,fixed_source_trained_scalar_interpolation_plus_ls,50.92282794378248,50.554314398587906,51.291341488977054,5.500779384532583
20.0,4,grid_fft_topk_plus_ls,52.978536639439746,52.32819449277726,53.628878786102234,8.123862980283045
20.0,4,deterministic_cartesian_local_refinement_plus_ls,45.699230646475726,45.29542553191485,46.1030357610366,8.123862980283045
20.0,4,fixed_source_trained_scalar_interpolation_plus_ls,47.35816619523943,47.076808928255375,47.63952346222348,8.123862980283045
20.0,8,grid_fft_topk_plus_ls,49.714175548822155,49.49347345238664,49.93487764525767,13.817280760301925
20.0,8,deterministic_cartesian_local_refinement_plus_ls,42.7998507345208,42.50939242227866,43.09030904676295,13.817280760301925
20.0,8,fixed_source_trained_scalar_interpolation_plus_ls,44.03803187747005,43.7503649962831,44.32569875865699,13.817280760301925
30.0,2,grid_fft_topk_plus_ls,65.56766626287106,64.68423660765795,66.45109591808416,5.593933270518801
30.0,2,deterministic_cartesian_local_refinement_plus_ls,57.77560480627668,56.6944926541166,58.85671695843676,5.593933270518801
30.0,2,fixed_source_trained_scalar_interpolation_plus_ls,59.40682011685993,58.35430958830338,60.459330645416486,5.593933270518801
30.0,4,grid_fft_topk_plus_ls,63.02335758864238,62.55056179513902,63.496153382145735,7.9613993455677186
30.0,4,deterministic_cartesian_local_refinement_plus_ls,55.95357346612544,55.624598798726005,56.28254813352488,7.9613993455677186
30.0,4,fixed_source_trained_scalar_interpolation_plus_ls,57.339205877499715,56.848071286640575,57.830340468358855,7.9613993455677186
30.0,8,grid_fft_topk_plus_ls,59.64253430236896,58.89447859534639,60.39059000939152,13.861003645728784
30.0,8,deterministic_cartesian_local_refinement_plus_ls,52.65182132340224,51.77367845772308,53.5299641890814,13.861003645728784
30.0,8,fixed_source_trained_scalar_interpolation_plus_ls,54.00254165333704,53.227675960776644,54.77740734589744,13.861003645728784
