profile,scene_count,seed_count,mean_scene_grid_delay_rmse_bins,grid_delay_rmse_bins_seed_ci95_low,grid_delay_rmse_bins_seed_ci95_high,mean_scene_grid_delay_rmse_ns,grid_delay_rmse_ns_seed_ci95_low,grid_delay_rmse_ns_seed_ci95_high,mean_scene_grid_projected_spatial_rmse_bins,grid_projected_spatial_rmse_bins_seed_ci95_low,grid_projected_spatial_rmse_bins_seed_ci95_high,mean_scene_grid_projected_spatial_rmse,grid_projected_spatial_rmse_seed_ci95_low,grid_projected_spatial_rmse_seed_ci95_high,mean_scene_grid_joint_quarter_bin_hit,grid_joint_quarter_bin_hit_seed_ci95_low,grid_joint_quarter_bin_hit_seed_ci95_high,mean_scene_grid_joint_tenth_bin_hit,grid_joint_tenth_bin_hit_seed_ci95_low,grid_joint_tenth_bin_hit_seed_ci95_high,mean_scene_grid_median_coordinate_error_bins,grid_median_coordinate_error_bins_seed_ci95_low,grid_median_coordinate_error_bins_seed_ci95_high,mean_scene_candan_delay_rmse_bins,candan_delay_rmse_bins_seed_ci95_low,candan_delay_rmse_bins_seed_ci95_high,mean_scene_candan_delay_rmse_ns,candan_delay_rmse_ns_seed_ci95_low,candan_delay_rmse_ns_seed_ci95_high,mean_scene_candan_projected_spatial_rmse_bins,candan_projected_spatial_rmse_bins_seed_ci95_low,candan_projected_spatial_rmse_bins_seed_ci95_high,mean_scene_candan_projected_spatial_rmse,candan_projected_spatial_rmse_seed_ci95_low,candan_projected_spatial_rmse_seed_ci95_high,mean_scene_candan_joint_quarter_bin_hit,candan_joint_quarter_bin_hit_seed_ci95_low,candan_joint_quarter_bin_hit_seed_ci95_high,mean_scene_candan_joint_tenth_bin_hit,candan_joint_tenth_bin_hit_seed_ci95_low,candan_joint_tenth_bin_hit_seed_ci95_high,mean_scene_candan_median_coordinate_error_bins,candan_median_coordinate_error_bins_seed_ci95_low,candan_median_coordinate_error_bins_seed_ci95_high,mean_scene_gated_candan_delay_rmse_bins,gated_candan_delay_rmse_bins_seed_ci95_low,gated_candan_delay_rmse_bins_seed_ci95_high,mean_scene_gated_candan_delay_rmse_ns,gated_candan_delay_rmse_ns_seed_ci95_low,gated_candan_delay_rmse_ns_seed_ci95_high,mean_scene_gated_candan_projected_spatial_rmse_bins,gated_candan_projected_spatial_rmse_bins_seed_ci95_low,gated_candan_projected_spatial_rmse_bins_seed_ci95_high,mean_scene_gated_candan_projected_spatial_rmse,gated_candan_projected_spatial_rmse_seed_ci95_low,gated_candan_projected_spatial_rmse_seed_ci95_high,mean_scene_gated_candan_joint_quarter_bin_hit,gated_candan_joint_quarter_bin_hit_seed_ci95_low,gated_candan_joint_quarter_bin_hit_seed_ci95_high,mean_scene_gated_candan_joint_tenth_bin_hit,gated_candan_joint_tenth_bin_hit_seed_ci95_low,gated_candan_joint_tenth_bin_hit_seed_ci95_high,mean_scene_gated_candan_median_coordinate_error_bins,gated_candan_median_coordinate_error_bins_seed_ci95_low,gated_candan_median_coordinate_error_bins_seed_ci95_high
A,3000,5,2.5323918444019107,2.357043012919654,2.7077406758841676,329.7385214064988,306.90664230724656,352.5704005057511,0.680698931787493,0.6534526829747624,0.7079451806002235,0.17017473294687324,0.1633631707436906,0.17698629515005587,0.008166666666666666,0.005826720539928204,0.010506612793405128,0.0025,0.0019288500256008242,0.003071149974399176,1.2393194691319933,1.141548351646201,1.3370905866177856,2.363700421680329,2.1983995230026037,2.5290013203580544,307.77349240629286,286.2499378909641,329.29704692162164,0.7605826154093874,0.7400680800493353,0.7810971507694395,0.19014565385234686,0.18501702001233383,0.19527428769235988,0.19514583333333332,0.18963968507251044,0.2006519815941562,0.08164583333333333,0.07172603714179718,0.09156562952486949,1.1539551257276974,1.0759675302668934,1.2319427211885015,2.363633470771817,2.1984015842996576,2.5288653572439768,307.7647748400804,286.25020628901797,329.27934339114285,0.7605665024162969,0.7400785247472211,0.7810544800853726,0.19014162560407422,0.18501963118680528,0.19526362002134315,0.19504166666666664,0.18951580532816623,0.20056752800516706,0.08160416666666666,0.0717583423611854,0.09144999097214791,1.1539651839771432,1.0758308427622338,1.2320995251920526
C,3000,5,2.3230155448443446,2.1783514808352926,2.4676796088533965,302.47598240160744,283.63951573376204,321.31244906945284,0.6637841425700831,0.6483209993958067,0.6792472857443596,0.16594603564252078,0.16208024984895167,0.1698118214360899,0.06885416666666666,0.06528733621975852,0.0724209971135748,6.25e-05,0.0,0.00017818521271657474,1.0997694668726814,1.026945226325133,1.1725937074202297,2.1143328881487298,1.9689260068945458,2.2597397694029135,275.3037614776992,256.370573814394,294.2369491410044,0.6853230574588218,0.6684776442959457,0.702168470621698,0.17133076436470546,0.16711941107398642,0.1755421176554245,0.20170833333333332,0.18933907368742833,0.2140775929792383,0.07670833333333334,0.06059768771518001,0.09281897895148666,0.9561457902021271,0.8771551227152885,1.0351364576889657,2.1208805751321314,1.9739405807444048,2.267820569519858,276.1563248869963,257.02351311776107,295.2891366562315,0.6833373914755227,0.667254811320688,0.6994199716303575,0.1708343478688807,0.166813702830172,0.17485499290758938,0.19766666666666666,0.18464000316182747,0.21069333017150585,0.07439583333333334,0.058845582555686796,0.08994608411097989,0.9610936672690972,0.8803470123079514,1.041840322230243
D,3000,5,5.016056603131491,4.873702615825375,5.158410590437607,653.1323701994131,634.5966947689293,671.6680456298969,0.7169254022950279,0.709006021228964,0.7248447833610918,0.17923135057375697,0.177251505307241,0.18121119584027295,0.14668910256410256,0.14330772215743584,0.15007048297076928,0.12801602564102563,0.1215074125616313,0.13452463872041995,2.9631227302439314,2.9120027702253495,3.0142426902625132,5.063549108482322,4.916705131808222,5.210393085156421,659.316290166969,640.1959807041957,678.4365996297423,0.7142945955130173,0.7004833011427302,0.7281058898833045,0.17857364887825433,0.17512082528568254,0.18202647247082612,0.1793878205128205,0.1668666244722373,0.19190901655340373,0.11534935897435897,0.10541967377871622,0.1252790441700017,2.9511990310781635,2.8966653728868255,3.0057326892695015,5.04309326035263,4.900243824489392,5.185942696215868,656.6527682750822,638.0525813137231,675.2529552364413,0.7085990334844675,0.6962877093881016,0.7209103575808334,0.17714975837111688,0.1740719273470254,0.18022758939520836,0.1725096153846154,0.16661690513756144,0.17840232563166936,0.12494871794871795,0.11656896808319525,0.13332846781424065,2.9462477324523038,2.8932153407301415,2.999280124174466
All,9000,5,3.290487997459249,3.216104333876779,3.364871661041719,428.4489580025064,418.7635851402056,438.1343308648072,0.6871361588842013,0.6750346560682691,0.6992376617001336,0.17178403972105033,0.16875866401706727,0.1748094154250334,0.07456997863247863,0.07243193547228076,0.07670802179267651,0.04352617521367522,0.04139118939518383,0.0456611610321666,1.7674038887495354,1.7184372342619265,1.8163705432371442,3.1805274727704598,3.112852636927076,3.2482023086138434,414.1311813503204,405.3193537665464,422.9430089340944,0.7200667561270755,0.7092666090058799,0.7308669032482711,0.18001668903176887,0.17731665225146997,0.18271672581206777,0.1920806623931624,0.18489465910404954,0.19926666568227527,0.09123450854700854,0.08615580689560728,0.0963132101984098,1.687099982335996,1.637286111464976,1.736913853207016,3.1758691020855268,3.109887595667343,3.2418506085037104,413.5246226673863,404.933280685852,422.1159646489206,0.7175009757920957,0.7078295367360828,0.7271724148481086,0.17937524394802393,0.1769573841840207,0.18179310371202714,0.18840598290598293,0.1824931101559248,0.19431885565604107,0.09364957264957266,0.08921460664627198,0.09808453865287334,1.6871021945661813,1.6391532726605513,1.7350511164718112
