profile,seed,snr_db,l_value,n_samples,source_alpha,delay_alpha,angle_alpha,estimator_mode,mean_grid_channel_nmse_db,mean_trained_refinement_channel_nmse_db,mean_trained_refinement_gain_vs_grid_db,mean_grid_physical_delay_rmse_ns,mean_trained_refinement_physical_delay_rmse_ns,mean_physical_delay_rmse_reduction_vs_grid_ns,mean_grid_projected_broadside_angle_rmse_deg,mean_trained_refinement_projected_broadside_angle_rmse_deg,mean_projected_angle_rmse_reduction_vs_grid_deg,mean_support_recall,mean_topk_energy_efficiency
A,20260626.0,0.0,4.0,50.0,0.6419195571509573,1.077096113461712,0.48597752585918413,source-trained-feature-controller,-7.124205600311598,-13.376906920233791,6.252701319922194,169.23984741133987,148.57068553773678,20.66916187360315,25.55571609837651,26.262966800021626,-0.707250701645116,0.815,0.9833410062692516
A,20260626.0,0.0,8.0,50.0,0.6419195571509573,1.1175641957224751,0.27409653346519947,source-trained-feature-controller,-7.308151641693751,-10.765839267117672,3.4576876254239215,862.2812179295674,860.2848471872792,1.9963707422884804,34.310091156242905,34.637882953176124,-0.32779179693322186,0.7025,0.9611140912779261
A,20260626.0,0.0,16.0,50.0,0.6419195571509573,1.1151219019207357,0.0308463164559547,source-trained-feature-controller,-5.965625058020307,-7.363968290972653,1.3983432329523444,1412.4588694495087,1412.5515707886434,-0.0927013391347873,31.718996366620964,31.96937986652985,-0.25038349990888586,0.53125,0.9465660995163289
A,20260626.0,10.0,4.0,50.0,0.6419195571509573,1.0911772241728999,0.37050258583632406,source-trained-feature-controller,-7.928580061366023,-15.462759435194712,7.534179373828689,94.6902490335282,75.69085709288146,18.999391940646728,22.65236843970031,21.99510682106049,0.6572616186398231,0.95,0.9981394575213514
A,20260626.0,10.0,8.0,50.0,0.6419195571509573,1.1411528324659068,0.19630013356599274,source-trained-feature-controller,-10.56037960495958,-19.646385649325534,9.086006044365952,130.61814875129562,126.07965047595773,4.538498275337898,30.94016199714765,31.220885342169705,-0.2807233450220543,0.9425,0.998304630123589
A,20260626.0,10.0,16.0,50.0,0.6419195571509573,1.127210095316795,0.02688478992088689,source-trained-feature-controller,-12.8322611493362,-20.11190044949567,7.279639300159473,329.91901084281466,340.0509510415318,-10.131940198717183,24.690981953185336,21.89448629856927,2.796495654616069,0.8825,0.9960313066626193
A,20260626.0,20.0,4.0,50.0,0.6419195571509573,1.0887914463118669,0.35140346224870855,source-trained-feature-controller,-8.002177607840128,-15.697494427037041,7.695316819196915,96.20250179439613,77.18700587146056,19.015495922935543,23.04001221037142,23.081763083842205,-0.04175087347078993,0.98,0.9999034805087531
A,20260626.0,20.0,8.0,50.0,0.6419195571509573,1.1405594826954257,0.18092498729865472,source-trained-feature-controller,-10.7746200190974,-21.858407242617904,11.083787223520508,127.36872219098099,124.82842371516232,2.5402984758186737,30.68845342599564,30.495668918533628,0.19278450746201325,0.9825,0.9998967936384697
A,20260626.0,20.0,16.0,50.0,0.6419195571509573,1.1251413975584823,0.025975732812100416,source-trained-feature-controller,-13.841460438803217,-26.460845166789177,12.619384727985961,238.01719443143196,250.56876509974222,-12.551570668310296,24.214579905243383,21.134163898921578,3.0804160063217965,0.97125,0.9997312036093966
A,20260626.0,30.0,4.0,50.0,0.6419195571509573,1.0877521443583769,0.3405033453794979,source-trained-feature-controller,-8.009124975684609,-15.505994763486978,7.49686978780237,96.54559237058098,76.8994220252947,19.646170345286265,22.712996171394003,22.16114242175197,0.551853749642029,0.995,0.9999929515776254
A,20260626.0,30.0,8.0,50.0,0.6419195571509573,1.1404056930553457,0.17884362631649978,source-trained-feature-controller,-10.798678146209713,-22.162402261336325,11.363724115126608,127.10293524481308,124.27734038594764,2.825594858865435,31.028729523939138,30.699507171669183,0.3292223522699534,0.9975,0.9999904920529116
A,20260626.0,30.0,16.0,50.0,0.6419195571509573,1.1268631224865668,0.02542840969801614,source-trained-feature-controller,-13.941214854099373,-28.713625393795365,14.772410539695988,231.41450842881503,244.1495036032163,-12.734995174401227,23.757441988545583,21.030684988149982,2.7267570003956,0.99625,0.9999896080529532
A,20260627.0,0.0,4.0,50.0,0.6419195571509573,1.0674022208193064,0.48778140384997243,source-trained-feature-controller,-7.21305300171338,-13.143646684728285,5.930593683014906,166.46712596052564,147.3379364950976,19.129189465428045,23.425906445334544,23.754157716737257,-0.328251271402711,0.845,0.985705798265617
A,20260627.0,0.0,8.0,50.0,0.6419195571509573,1.1185981083393586,0.2766523564573156,source-trained-feature-controller,-7.515408693372593,-11.363375615167678,3.8479669217950834,860.1285189964012,860.1172211495339,0.011297846867148423,32.441442121756175,33.24022628027838,-0.7987841585222134,0.7,0.9657781173079328
A,20260627.0,0.0,16.0,50.0,0.6419195571509573,1.1143039517047233,0.03145302258053482,source-trained-feature-controller,-5.945882607311404,-7.422347446169694,1.476464838858292,1453.9011765929688,1453.135565073215,0.7656115197538679,31.756300308809827,31.311082027753415,0.4452182810564143,0.52625,0.9450347797668897
A,20260627.0,10.0,4.0,50.0,0.6419195571509573,1.110036085462654,0.32895824449141275,source-trained-feature-controller,-7.970848826601014,-15.447508765633783,7.476659939032771,103.98781945977198,87.3659727955221,16.621846664249873,21.69890326387289,21.17045617857018,0.5284470853027105,0.975,0.9994914668090318
A,20260627.0,10.0,8.0,50.0,0.6419195571509573,1.1439453086973181,0.18421504152948884,source-trained-feature-controller,-10.461394361510811,-19.58061820482411,9.119223843313302,135.75016572044052,133.9472880601071,1.8028776603334242,32.279040151933124,32.84965702723143,-0.5706168752983097,0.945,0.9982705792685448
A,20260627.0,10.0,16.0,50.0,0.6419195571509573,1.1314471197653824,0.023964818617248675,source-trained-feature-controller,-12.730261471256256,-20.042542192846167,7.312280721589908,329.09024903774224,339.7350157653844,-10.644766727642155,24.74119479900362,21.775117079416887,2.966077719586736,0.8775,0.995970831225433
A,20260627.0,20.0,4.0,50.0,0.6419195571509573,1.1202839026918843,0.28329276726237973,source-trained-feature-controller,-8.02288167449202,-15.376185333627015,7.353303659134997,103.46763285960971,85.66209092370879,17.805541935900923,21.24284910112007,20.879877576707585,0.3629715244124828,0.98,0.9997893354337748
A,20260627.0,20.0,8.0,50.0,0.6419195571509573,1.145196413668256,0.15293502986406074,source-trained-feature-controller,-10.673068545987858,-20.888541685967184,10.215473139979325,128.42192591626767,126.01663572832673,2.4052901879409516,33.69439018060665,34.13193835235501,-0.4375481717483583,0.98,0.9997956239052873
A,20260627.0,20.0,16.0,50.0,0.6419195571509573,1.1304400572525881,0.021387525837577526,source-trained-feature-controller,-13.779489754502706,-26.636878730271192,12.857388975768483,232.53341997346044,247.1335488408651,-14.600128867404692,24.66032541379872,20.84630763190955,3.814017781889171,0.95875,0.9995353669190256
A,20260627.0,30.0,4.0,50.0,0.6419195571509573,1.115494539260766,0.2761439162724389,source-trained-feature-controller,-8.030460373181441,-14.944365641154967,6.913905267973526,104.6613702586013,86.31010212205183,18.35126813654945,21.45606968392672,20.87462513357835,0.5814445503483787,1.0,1.0
A,20260627.0,30.0,8.0,50.0,0.6419195571509573,1.14472996928659,0.15729902159008366,source-trained-feature-controller,-10.6956374317497,-21.317131114422505,10.621493682672801,127.51657621747931,125.44193828224063,2.074637935238668,33.191240538264395,33.68204135480156,-0.49080081653716306,1.0,1.0
A,20260627.0,30.0,16.0,50.0,0.6419195571509573,1.1306217826956955,0.019820940227871196,source-trained-feature-controller,-13.88445354186314,-28.342018236825542,14.457564694962405,232.56051140959806,248.10279351469413,-15.542282105096085,24.691621348274555,21.031094086678436,3.6605272615961244,0.995,0.9999933669420449
A,20260628.0,0.0,4.0,50.0,0.6419195571509573,1.0954337370693852,0.41828532003777885,source-trained-feature-controller,-7.229289053610203,-13.053330766988617,5.824041713378415,162.68613758555605,141.78930432477995,20.896833260776102,24.44530369383403,24.621626528274145,-0.17632283444011654,0.825,0.9841119623532486
A,20260628.0,0.0,8.0,50.0,0.6419195571509573,1.121202667319934,0.2304879801961511,source-trained-feature-controller,-7.367622997184302,-10.678033584312047,3.3104105871277443,957.4808071423649,955.5646217134396,1.9161854289254436,35.98177051007951,35.768119953655436,0.2136505564240717,0.705,0.9642366944847421
A,20260628.0,0.0,16.0,50.0,0.6419195571509573,1.1145913367265097,0.028583693876471673,source-trained-feature-controller,-5.980675426339113,-7.416046044809517,1.4353706184704031,1464.2601045840024,1465.088799588819,-0.8286950048165067,32.10541960615346,31.705611436771218,0.39980816938224484,0.53875,0.9498715426704212
A,20260628.0,10.0,4.0,50.0,0.6419195571509573,1.12218560736664,0.3383458783468192,source-trained-feature-controller,-8.009623539443528,-15.979852372320863,7.9702288328773365,99.64020062313614,79.88697740913719,19.75322321399895,23.016823309987245,23.185832654514893,-0.16900934452764343,0.955,0.9987107046967766
A,20260628.0,10.0,8.0,50.0,0.6419195571509573,1.1443061815375357,0.17977962984170962,source-trained-feature-controller,-10.485704614591398,-19.08273831277155,8.59703369818015,138.09999649730895,131.32281356703027,6.777182930278656,33.00950080311362,33.34910547007411,-0.3396046669604854,0.915,0.998098671614428
A,20260628.0,10.0,16.0,50.0,0.6419195571509573,1.1252193839641162,0.024580220302787212,source-trained-feature-controller,-12.799292320025804,-19.983928886663726,7.184636566637921,345.55396112315776,354.2449800851583,-8.691018962000602,24.423599145463083,22.06512393954767,2.358475205915411,0.87625,0.9959368362014928
A,20260628.0,20.0,4.0,50.0,0.6419195571509573,1.1223567849011649,0.2983077857709081,source-trained-feature-controller,-8.074303082812486,-15.608691995469337,7.534388912656854,103.28295417889078,82.47642601278781,20.80652816610296,24.248097430212695,24.002767860251996,0.24532956996070293,0.995,0.9999833956596508
A,20260628.0,20.0,8.0,50.0,0.6419195571509573,1.1446083554875806,0.1703025744789891,source-trained-feature-controller,-10.71174787345546,-21.75530088903849,11.043553015583031,126.99246065496405,121.6433807851498,5.349079869814244,32.01963080839009,32.45829551824834,-0.43866470985825373,0.97,0.99980051563435
A,20260628.0,20.0,16.0,50.0,0.6419195571509573,1.1255544774781387,0.021839834966981463,source-trained-feature-controller,-13.798035475216434,-26.63277992018353,12.834744444967098,236.81141912675753,251.10816784107206,-14.296748714314536,24.03571757098416,21.08875154099529,2.9469660299888654,0.9625,0.9996586099323614
A,20260628.0,30.0,4.0,50.0,0.6419195571509573,1.1228365508977936,0.28860699943535695,source-trained-feature-controller,-8.078462420479214,-15.532704116437094,7.454241695957879,103.28295417889078,83.11478779819096,20.168166380699805,24.248097430212695,24.014893009807057,0.23320442040563896,0.995,0.9999833956596508
A,20260628.0,30.0,8.0,50.0,0.6419195571509573,1.1457863162059496,0.1548037496888606,source-trained-feature-controller,-10.735560577833928,-21.515562456800147,10.780001878966218,127.79309324527401,122.31982336628343,5.473269878990591,32.84013674826511,32.99719259362505,-0.15705584535993125,0.9925,0.999986327572302
A,20260628.0,30.0,16.0,50.0,0.6419195571509573,1.1241533807280053,0.020910164878589422,source-trained-feature-controller,-13.897522268977385,-28.245934615469743,14.348412346492355,232.97968936353496,246.41971310642128,-13.440023742886343,23.916064939127164,20.748584400162386,3.1674805389647815,0.99125,0.9999792979198853
A,20260629.0,0.0,4.0,50.0,0.6419195571509573,1.0749370731112136,0.4665547383761477,source-trained-feature-controller,-7.3734248651817635,-13.344630365157569,5.971205499975804,174.45778722277643,158.81549158127356,15.642295641502852,25.847474150078934,26.35395273889252,-0.506478588813586,0.86,0.9875406183118998
A,20260629.0,0.0,8.0,50.0,0.6419195571509573,1.1208937521953084,0.2675111053994732,source-trained-feature-controller,-7.495626216678305,-10.844867670707474,3.3492414540291704,924.701693532056,921.527733344492,3.1739601875640164,35.18056397816073,34.75567838514229,0.4248855930184331,0.72,0.9682513354085439
A,20260629.0,0.0,16.0,50.0,0.6419195571509573,1.1192490334675795,0.028614570870954554,source-trained-feature-controller,-5.872702921123439,-7.222152214190955,1.349449293067518,1496.4484994067036,1496.3421871041608,0.10631230254270577,32.11526520840316,31.405736288307917,0.7095289200952456,0.5125,0.9482021472981391
A,20260629.0,10.0,4.0,50.0,0.6419195571509573,1.106294220936116,0.34352177574945664,source-trained-feature-controller,-8.179634642846263,-16.134821728627024,7.955187085780761,102.76601411413566,83.07498408437571,19.69103002975994,24.301261757465515,25.386787416644488,-1.085525659178974,0.975,0.9994798440008171
