profile,seed,sample_index,snr_db,l_value,source_alpha,delay_alpha,angle_alpha,estimator_mode,grid_channel_nmse_db,trained_refinement_channel_nmse_db,trained_refinement_gain_vs_grid_db,grid_physical_delay_rmse_ns,trained_refinement_physical_delay_rmse_ns,physical_delay_rmse_reduction_vs_grid_ns,grid_projected_broadside_angle_rmse_deg,trained_refinement_projected_broadside_angle_rmse_deg,projected_angle_rmse_reduction_vs_grid_deg,matched_physical_paths,support_recall,topk_energy_efficiency
A,20260626.0,0.0,0.0,4.0,0.6419195571509573,1.1132251183106727,0.6834677875128143,source-trained-feature-controller,-7.089952192858671,-15.785028080864867,8.695075888006198,115.97138061582163,39.880207066460464,76.09117354936117,16.779445873636057,26.31152418223389,-9.532078308597832,4.0,0.75,0.9756368029364263
A,20260626.0,1.0,0.0,4.0,0.6419195571509573,1.0855873674506946,0.19784064901046985,source-trained-feature-controller,-7.677986090877344,-10.237614822406444,2.5596287315291004,1194.7474987628027,1181.0952126473803,13.652286115422385,51.42293657976165,51.423941418508306,-0.0010048387466596864,4.0,0.75,0.9808862138438431
A,20260626.0,2.0,0.0,4.0,0.6419195571509573,0.9966163354807552,0.9870627577678763,source-trained-feature-controller,-5.052659361713036,-15.044257613728977,9.99159825201594,105.13240290451972,67.01636851542642,38.1160343890933,17.606013635052243,22.002701658654576,-4.396688023602334,4.0,0.75,0.9895500893145028
A,20260626.0,3.0,0.0,4.0,0.6419195571509573,1.1189681275005714,0.6424449075344282,source-trained-feature-controller,-5.2195250847946095,-15.04445951680504,9.82493443201043,105.13240290451972,63.7033101807198,41.429092723799926,21.00831343511854,18.822074340399656,2.1862390947188857,4.0,0.75,0.9885610991588825
A,20260626.0,4.0,0.0,4.0,0.6419195571509573,1.0963047705447024,0.06997685264538983,source-trained-feature-controller,-7.658132728286395,-9.638126259204038,1.9799935309176426,183.0095777492872,173.2300344204438,9.779543328843403,30.362729871490867,30.357124016950355,0.005605854540512212,4.0,0.75,0.9705458853811154
A,20260626.0,5.0,0.0,4.0,0.6419195571509573,0.8906995145277156,1.0030888524914272,source-trained-feature-controller,-5.922616884279939,-10.6809108971995,4.758294012919561,105.13240290451972,95.83463445507154,9.297768449448185,20.863064385461815,20.509441661525813,0.35362272393600236,4.0,0.75,0.9438820187581506
A,20260626.0,6.0,0.0,4.0,0.6419195571509573,1.1454922882168637,0.06607907693896899,source-trained-feature-controller,-9.32436412817064,-15.150698154383484,5.8263340262128445,100.10482505777858,87.07121853210828,13.033606525670308,26.840180022661485,26.63685637722474,0.20332364543674686,4.0,1.0,1.0
A,20260626.0,7.0,0.0,4.0,0.6419195571509573,1.126650890088443,0.4690427296177837,source-trained-feature-controller,-6.1206682109265955,-11.026901768377975,4.90623355745138,118.37657498839731,87.93977787035058,30.436797118046726,13.569840108660502,16.113838025997918,-2.543997917337416,4.0,0.75,0.9669870429625177
A,20260626.0,8.0,0.0,4.0,0.6419195571509573,1.1238263634062566,0.06137890694355284,source-trained-feature-controller,-7.916662767155664,-11.250581426126224,3.3339186589705605,183.0095777492872,164.50256983689965,18.507007912387536,26.702002979151853,26.702217586338605,-0.00021460718675214707,4.0,0.75,0.9782949193085001
A,20260626.0,9.0,0.0,4.0,0.6419195571509573,1.1339989648410465,0.5161329876094215,source-trained-feature-controller,-5.886607824804054,-12.364124103852136,6.477516279048082,59.2467674441428,18.89653308498356,40.35023435915924,47.87594059943321,43.31256681346897,4.563373785964238,4.0,1.0,1.0
